PTIME,speed_kmh,accel_long,accel_lat,throttle_pct,steering_deg,engine_rpm,brake_active,abs_esc_active,CASEID,VEHNO,crash_class,CRASHTYPE,DVTOTAL,DVLONG,DVLAT,SURFCOND,LIGHTCOND,WEATHER,MODELYR,source_year,event_id,source,is_crash
-5.0,71.967,0.0,17.0,0.0,,,0.0,,20335,1,3.0,69.0,26.0,-26.0,0.0,1.0,3.0,1.0,2019,2021,CISS_2021_20335_V1,CISS,True
-4.9,73.16060964342151,0.0,15.447609756097565,0.09083888698041888,,,0.0,,20335,1,3.0,69.0,26.0,-26.0,0.0,1.0,3.0,1.0,2019,2021,CISS_2021_20335_V1,CISS,True
-4.8,73.73879952456201,0.0,14.930146341463416,0.12111851597389212,,,0.0,,20335,1,3.0,69.0,26.0,-26.0,0.0,1.0,3.0,1.0,2019,2021,CISS_2021_20335_V1,CISS,True
-4.7,73.83288458399176,0.0,15.188878048780486,0.10597870147715563,,,0.0,,20335,1,3.0,69.0,26.0,-26.0,0.0,1.0,3.0,1.0,2019,2021,CISS_2021_20335_V1,CISS,True
-4.6,73.574179762281,0.0,15.965073170731712,0.06055925798694585,,,0.0,,20335,1,3.0,69.0,26.0,-26.0,0.0,1.0,3.0,1.0,2019,2021,CISS_2021_20335_V1,CISS,True
-4.5,73.09399999999998,0.0,16.999999999999996,0.0,,,0.0,,20335,1,3.0,69.0,26.0,-26.0,0.0,1.0,3.0,1.0,2019,2021,CISS_2021_20335_V1,CISS,True
-4.4,72.52366023771899,0.0,18.034926829268286,-0.06055925798694589,,,0.0,,20335,1,3.0,69.0,26.0,-26.0,0.0,1.0,3.0,1.0,2019,2021,CISS_2021_20335_V1,CISS,True
-4.3,71.99447541600824,0.0,18.811121951219516,-0.10597870147715555,,,0.0,,20335,1,3.0,69.0,26.0,-26.0,0.0,1.0,3.0,1.0,2019,2021,CISS_2021_20335_V1,CISS,True
-4.2,71.63776047543799,0.0,19.069853658536584,-0.12111851597389203,,,0.0,,20335,1,3.0,69.0,26.0,-26.0,0.0,1.0,3.0,1.0,2019,2021,CISS_2021_20335_V1,CISS,True
-4.1,71.5848303565785,0.0,18.552390243902437,-0.09083888698041881,,,0.0,,20335,1,3.0,69.0,26.0,-26.0,0.0,1.0,3.0,1.0,2019,2021,CISS_2021_20335_V1,CISS,True
-4.0,71.967,0.0,17.000000000000004,5.551115123125783e-17,,,0.0,,20335,1,3.0,69.0,26.0,-26.0,0.0,1.0,3.0,1.0,2019,2021,CISS_2021_20335_V1,CISS,True
-3.9,72.8113174057025,0.0,14.276682926829265,0.15939814496736543,,,0.0,,20335,1,3.0,69.0,26.0,-26.0,0.0,1.0,3.0,1.0,2019,2021,CISS_2021_20335_V1,CISS,True
-3.8,73.72776281140503,0.0,10.737365853658531,0.3667962899347308,,,0.0,,20335,1,3.0,69.0,26.0,-26.0,0.0,1.0,3.0,1.0,2019,2021,CISS_2021_20335_V1,CISS,True
-3.7,74.22204951425628,0.0,6.859707317073178,0.5944953624184125,,,0.0,,20335,1,3.0,69.0,26.0,-26.0,0.0,1.0,3.0,1.0,2019,2021,CISS_2021_20335_V1,CISS,True
-3.6,73.799890811405,0.0,3.121365853658539,0.8147962899347301,,,0.0,,20335,1,3.0,69.0,26.0,-26.0,0.0,1.0,3.0,1.0,2019,2021,CISS_2021_20335_V1,CISS,True
-3.5,71.967,0.0,8.881784197001252e-16,0.9999999999999998,,,0.0,,20335,1,3.0,69.0,26.0,-26.0,0.0,1.0,3.0,1.0,2019,2021,CISS_2021_20335_V1,CISS,True
-3.4,68.46712613947096,0.0,-2.1096585365853673,1.1269666781174854,,,0.0,,20335,1,3.0,69.0,26.0,-26.0,0.0,1.0,3.0,1.0,2019,2021,CISS_2021_20335_V1,CISS,True
-3.3,63.99616133837169,0.0,-3.144585365853659,1.1907935417382345,,,0.0,,20335,1,3.0,69.0,26.0,-26.0,0.0,1.0,3.0,1.0,2019,2021,CISS_2021_20335_V1,CISS,True
-3.2,59.488033467536944,0.0,-3.124682926829269,1.1911370663002405,,,0.0,,20335,1,3.0,69.0,26.0,-26.0,0.0,1.0,3.0,1.0,2019,2021,CISS_2021_20335_V1,CISS,True
-3.1,55.87667039780145,0.0,-2.0698536585365868,1.127653727241498,,,0.0,,20335,1,3.0,69.0,26.0,-26.0,0.0,1.0,3.0,1.0,2019,2021,CISS_2021_20335_V1,CISS,True
-3.0,54.096,0.0,8.881784197001252e-16,1.0,,,0.0,,20335,1,3.0,69.0,26.0,-26.0,0.0,1.0,3.0,1.0,2019,2021,CISS_2021_20335_V1,CISS,True
-2.9,54.81296203641361,0.0,3.0019512195122,0.8127351425626933,,,0.0,,20335,1,3.0,69.0,26.0,-26.0,0.0,1.0,3.0,1.0,2019,2021,CISS_2021_20335_V1,CISS,True
-2.8,57.626543835108215,0.0,6.600975609756106,0.5900295431123321,,,0.0,,20335,1,3.0,69.0,26.0,-26.0,0.0,1.0,3.0,1.0,2019,2021,CISS_2021_20335_V1,CISS,True
-2.7,61.868744615596015,0.0,10.399024390243898,0.36095637238062567,,,0.0,,20335,1,3.0,69.0,26.0,-26.0,0.0,1.0,3.0,1.0,2019,2021,CISS_2021_20335_V1,CISS,True
-2.6,66.87156359738921,0.0,13.998048780487807,0.1545888010992788,,,0.0,,20335,1,3.0,69.0,26.0,-26.0,0.0,1.0,3.0,1.0,2019,2021,CISS_2021_20335_V1,CISS,True
-2.5,71.96699999999998,0.0,17.0,-3.469446951953614e-17,,,0.0,,20335,1,3.0,69.0,26.0,-26.0,0.0,1.0,3.0,1.0,2019,2021,CISS_2021_20335_V1,CISS,True
-2.4,76.46817771487463,0.0,19.06985365853659,-0.08190724836825843,,,0.0,,20335,1,3.0,69.0,26.0,-26.0,0.0,1.0,3.0,1.0,2019,2021,CISS_2021_20335_V1,CISS,True
-2.3,79.61271932119546,0.0,20.124682926829273,-0.10291171418756442,,,0.0,,20335,1,3.0,69.0,26.0,-26.0,0.0,1.0,3.0,1.0,2019,2021,CISS_2021_20335_V1,CISS,True
-2.2,80.61937207007901,0.0,20.144585365853665,-0.08296255582274142,,,0.0,,20335,1,3.0,69.0,26.0,-26.0,0.0,1.0,3.0,1.0,2019,2021,CISS_2021_20335_V1,CISS,True
-2.1,78.7068832126417,0.0,19.109658536585368,-0.04200893163861224,,,0.0,,20335,1,3.0,69.0,26.0,-26.0,0.0,1.0,3.0,1.0,2019,2021,CISS_2021_20335_V1,CISS,True
-2.0,73.094,0.0,17.0,-1.1221492485224971e-17,,,0.0,,20335,1,3.0,69.0,26.0,-26.0,0.0,1.0,3.0,1.0,2019,2021,CISS_2021_20335_V1,CISS,True
-1.9,63.421815104087926,0.0,13.878634146341462,0.026893850910340102,,,0.0,,20335,1,3.0,69.0,26.0,-26.0,0.0,1.0,3.0,1.0,2019,2021,CISS_2021_20335_V1,CISS,True
-1.8,51.02080288010993,0.0,10.14029268292683,0.037617313637925115,,,0.0,,20335,1,3.0,69.0,26.0,-26.0,0.0,1.0,3.0,1.0,2019,2021,CISS_2021_20335_V1,CISS,True
-1.7,37.64378310408793,0.0,6.262634146341463,0.034893850910340085,,,0.0,,20335,1,3.0,69.0,26.0,-26.0,0.0,1.0,3.0,1.0,2019,2021,CISS_2021_20335_V1,CISS,True
-1.6,25.04357555204399,0.0,2.723317073170736,0.021446925455170067,,,0.0,,20335,1,3.0,69.0,26.0,-26.0,0.0,1.0,3.0,1.0,2019,2021,CISS_2021_20335_V1,CISS,True
-1.5,14.973000000000003,0.0,7.771561172376096e-16,3.469446951953614e-18,,,0.0,,20335,1,3.0,69.0,26.0,-26.0,0.0,1.0,3.0,1.0,2019,2021,CISS_2021_20335_V1,CISS,True
-1.4,8.817825868773618,0.0,-1.5523902439024393,-0.025668155273102053,,,0.0,,20335,1,3.0,69.0,26.0,-26.0,0.0,1.0,3.0,1.0,2019,2021,CISS_2021_20335_V1,CISS,True
-1.3,6.495621158364829,0.0,-2.069853658536584,-0.04755754036413602,,,0.0,,20335,1,3.0,69.0,26.0,-26.0,0.0,1.0,3.0,1.0,2019,2021,CISS_2021_20335_V1,CISS,True
-1.2,7.556903513569229,0.0,-1.8111219512195103,-0.05661284781861904,,,0.0,,20335,1,3.0,69.0,26.0,-26.0,0.0,1.0,3.0,1.0,2019,2021,CISS_2021_20335_V1,CISS,True
-1.1,11.552190579182408,0.0,-1.034926829268294,-0.04377877018206808,,,0.0,,20335,1,3.0,69.0,26.0,-26.0,0.0,1.0,3.0,1.0,2019,2021,CISS_2021_20335_V1,CISS,True
-1.0,18.031999999999996,0.0,-8.881784197001252e-16,0.0,,,0.0,,20335,1,3.0,69.0,26.0,-26.0,0.0,1.0,3.0,1.0,2019,2021,CISS_2021_20335_V1,CISS,True
-0.9,26.546849420817587,0.0,1.0349268292682918,0.083778770182068,,,0.0,,20335,1,3.0,69.0,26.0,-26.0,0.0,1.0,3.0,1.0,2019,2021,CISS_2021_20335_V1,CISS,True
-0.8,36.64725648643077,0.0,1.8111219512195107,0.21661284781861892,,,0.0,,20335,1,3.0,69.0,26.0,-26.0,0.0,1.0,3.0,1.0,2019,2021,CISS_2021_20335_V1,CISS,True
-0.7,47.883738841635186,0.0,2.0698536585365845,0.40755754036413616,,,0.0,,20335,1,3.0,69.0,26.0,-26.0,0.0,1.0,3.0,1.0,2019,2021,CISS_2021_20335_V1,CISS,True
-0.6,59.80681413122639,0.0,1.552390243902438,0.6656681552731021,,,0.0,,20335,1,3.0,69.0,26.0,-26.0,0.0,1.0,3.0,1.0,2019,2021,CISS_2021_20335_V1,CISS,True
