CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EDRSUMMNO,EDREVENTNO,PCODE,PTIME,PVALUE,CASEWGT,PSUSTRAT,VERSION
13683,33,47,1-33-2019-047-01,1,2,1,1,1010,-5.0000,0.0000,30.7980431661218,12,4
13683,33,47,1-33-2019-047-01,1,2,1,1,1010,-4.5000,0.0000,30.7980431661218,12,4
13683,33,47,1-33-2019-047-01,1,2,1,1,1010,-4.0000,0.0000,30.7980431661218,12,4
13683,33,47,1-33-2019-047-01,1,2,1,1,1010,-3.5000,1.0000,30.7980431661218,12,4
13683,33,47,1-33-2019-047-01,1,2,1,1,1010,-3.0000,2.0000,30.7980431661218,12,4
13683,33,47,1-33-2019-047-01,1,2,1,1,1010,-2.5000,4.0000,30.7980431661218,12,4
13683,33,47,1-33-2019-047-01,1,2,1,1,1010,-2.0000,7.0000,30.7980431661218,12,4
13683,33,47,1-33-2019-047-01,1,2,1,1,1010,-1.5000,7.0000,30.7980431661218,12,4
13683,33,47,1-33-2019-047-01,1,2,1,1,1010,-1.0000,11.0000,30.7980431661218,12,4
13683,33,47,1-33-2019-047-01,1,2,1,1,1010,-0.5000,14.0000,30.7980431661218,12,4
13683,33,47,1-33-2019-047-01,1,2,1,1,1010,0.0000,17.0000,30.7980431661218,12,4
13683,33,47,1-33-2019-047-01,1,2,1,1,1030,-5.0000,0.0000,30.7980431661218,12,4
13683,33,47,1-33-2019-047-01,1,2,1,1,1040,-5.0000,1.0000,30.7980431661218,12,4
13683,33,47,1-33-2019-047-01,1,2,1,1,1060,-5.0000,0.0000,30.7980431661218,12,4
13683,33,47,1-33-2019-047-01,1,2,1,1,1070,-5.0000,0.0000,30.7980431661218,12,4
13683,33,47,1-33-2019-047-01,1,2,1,1,1080,-5.0000,0.0000,30.7980431661218,12,4
13683,33,47,1-33-2019-047-01,1,2,1,1,1050,-5.0000,0.0000,30.7980431661218,12,4
13683,33,47,1-33-2019-047-01,1,2,1,1,1030,-4.5000,0.0000,30.7980431661218,12,4
13683,33,47,1-33-2019-047-01,1,2,1,1,1040,-4.5000,1.0000,30.7980431661218,12,4
13683,33,47,1-33-2019-047-01,1,2,1,1,1060,-4.5000,0.0000,30.7980431661218,12,4
13683,33,47,1-33-2019-047-01,1,2,1,1,1070,-4.5000,0.0000,30.7980431661218,12,4
13683,33,47,1-33-2019-047-01,1,2,1,1,1080,-4.5000,0.0000,30.7980431661218,12,4
13683,33,47,1-33-2019-047-01,1,2,1,1,1050,-4.5000,0.0000,30.7980431661218,12,4
13683,33,47,1-33-2019-047-01,1,2,1,1,1030,-4.0000,0.0000,30.7980431661218,12,4
13683,33,47,1-33-2019-047-01,1,2,1,1,1040,-4.0000,0.0000,30.7980431661218,12,4
13683,33,47,1-33-2019-047-01,1,2,1,1,1060,-4.0000,0.0000,30.7980431661218,12,4
