CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EDRSUMMNO,EDREVENTNO,PCODE,PTIME,PVALUE,CASEWGT,PSUSTRAT,VERSION
16091,24,5,1-24-2020-005-09,9,1,2,1,1070,5.0000,0.0000,1227.410706975,1,5
16091,24,5,1-24-2020-005-09,9,1,2,1,1070,3.8000,0.0000,1227.410706975,1,5
16091,24,5,1-24-2020-005-09,9,1,2,1,1070,4.0000,0.0000,1227.410706975,1,5
16091,24,5,1-24-2020-005-09,9,1,2,1,1070,4.2000,0.0000,1227.410706975,1,5
16091,24,5,1-24-2020-005-09,9,1,2,1,1070,4.4000,0.0000,1227.410706975,1,5
16091,24,5,1-24-2020-005-09,9,1,2,1,1070,4.6000,0.0000,1227.410706975,1,5
16091,24,5,1-24-2020-005-09,9,1,2,1,1070,4.8000,0.0000,1227.410706975,1,5
16091,24,5,1-24-2020-005-09,9,1,2,1,1070,2.6000,0.0000,1227.410706975,1,5
16091,24,5,1-24-2020-005-09,9,1,2,1,1070,2.8000,0.0000,1227.410706975,1,5
16091,24,5,1-24-2020-005-09,9,1,2,1,1070,3.0000,0.0000,1227.410706975,1,5
16091,24,5,1-24-2020-005-09,9,1,2,1,1070,3.2000,0.0000,1227.410706975,1,5
16091,24,5,1-24-2020-005-09,9,1,2,1,1070,3.4000,0.0000,1227.410706975,1,5
16091,24,5,1-24-2020-005-09,9,1,2,1,1070,3.6000,0.0000,1227.410706975,1,5
16091,24,5,1-24-2020-005-09,9,1,2,1,1070,1.4000,0.0000,1227.410706975,1,5
16091,24,5,1-24-2020-005-09,9,1,2,1,1070,1.6000,0.0000,1227.410706975,1,5
16091,24,5,1-24-2020-005-09,9,1,2,1,1070,1.8000,0.0000,1227.410706975,1,5
16091,24,5,1-24-2020-005-09,9,1,2,1,1070,2.0000,0.0000,1227.410706975,1,5
16091,24,5,1-24-2020-005-09,9,1,2,1,1070,2.2000,0.0000,1227.410706975,1,5
16091,24,5,1-24-2020-005-09,9,1,2,1,1070,2.4000,0.0000,1227.410706975,1,5
16091,24,5,1-24-2020-005-09,9,1,2,1,1070,0.2000,0.0000,1227.410706975,1,5
16091,24,5,1-24-2020-005-09,9,1,2,1,1070,0.4000,0.0000,1227.410706975,1,5
16091,24,5,1-24-2020-005-09,9,1,2,1,1070,0.6000,0.0000,1227.410706975,1,5
16091,24,5,1-24-2020-005-09,9,1,2,1,1070,0.8000,0.0000,1227.410706975,1,5
16091,24,5,1-24-2020-005-09,9,1,2,1,1070,1.0000,0.0000,1227.410706975,1,5
16091,24,5,1-24-2020-005-09,9,1,2,1,1070,1.2000,0.0000,1227.410706975,1,5
16091,24,5,1-24-2020-005-09,9,1,2,1,1070,-1.0000,0.0000,1227.410706975,1,5
16091,24,5,1-24-2020-005-09,9,1,2,1,1070,-0.8000,0.0000,1227.410706975,1,5
16091,24,5,1-24-2020-005-09,9,1,2,1,1070,-0.6000,0.0000,1227.410706975,1,5
16091,24,5,1-24-2020-005-09,9,1,2,1,1070,-0.4000,0.0000,1227.410706975,1,5
16091,24,5,1-24-2020-005-09,9,1,2,1,1070,-0.2000,0.0000,1227.410706975,1,5
16091,24,5,1-24-2020-005-09,9,1,2,1,1070,0.0000,0.0000,1227.410706975,1,5
16091,24,5,1-24-2020-005-09,9,1,2,1,1070,-2.2000,0.0000,1227.410706975,1,5
