CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,ADAPT,CASEWGT,PSUSTRAT,VERSION
2400066,73,2,1-73-2024-002-09,9,1,3,33.1279885103634,3,9
2401050,76,30,1-76-2024-030-10,10,1,3,84.6789860292199,3,9
2401369,19,23,1-19-2024-023-07,7,1,2,441.36432951908,9,9
2401369,19,23,1-19-2024-023-07,7,1,98,441.36432951908,9,9
2401604,54,38,1-54-2024-038-10,10,1,2,297.406603751546,9,9
2401604,54,38,1-54-2024-038-10,10,1,12,297.406603751546,9,9
2402011,77,67,1-77-2024-067-09,9,1,3,658.884544648382,9,9
2402875,27,93,1-27-2024-093-06,6,1,3,54.3276867228202,3,9
2403012,82,75,1-82-2024-075-02,2,1,3,23.9814262485552,1,9
2403472,25,88,1-25-2024-088-03,3,2,1,78.8459476035381,2,9
2403472,25,88,1-25-2024-088-03,3,2,7,78.8459476035381,2,9
2403472,25,88,1-25-2024-088-03,3,2,8,78.8459476035381,2,9
2403472,25,88,1-25-2024-088-03,3,2,9,78.8459476035381,2,9
2403472,25,88,1-25-2024-088-03,3,2,98,78.8459476035381,2,9
2403489,14,57,1-14-2024-057-03,3,1,3,220.01323547424,8,9
2403568,18,98,1-18-2024-098-05,5,2,1,50.9427492020977,6,9
2403568,18,98,1-18-2024-098-05,5,2,2,50.9427492020977,6,9
2403568,18,98,1-18-2024-098-05,5,2,3,50.9427492020977,6,9
2403568,18,98,1-18-2024-098-05,5,2,7,50.9427492020977,6,9
