CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,BAGNO,BAGLOCATION,BAGSTATUS,BAGTYPE,BAGDEPLOY,BAGMALFUNCTION,BAGFLAPSOPEN,BAGFLAPSDAM,BAGDAMAGE,BAGDAMSOURCE,PREVCRASH,PRIORMAINT,DEPLOYEVENT,BAGDVTOTAL,BAGDVLONG,BAGDVLAT,BAGDVENERGY,BAGDVSPEED,BAGDVBES,BAGDVEST,BAGDVRANK,CDCFORDEPLOY,CASEWGT,PSUSTRAT,VERSION
2400016,77,1,1-77-2024-001-06,6,1,1,1,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,540.867295936179,9,9
2400016,77,1,1-77-2024-001-06,6,1,2,8,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,540.867295936179,9,9
2400016,77,1,1-77-2024-001-06,6,1,3,2,1,99,7,0,60,60,60,60,,,,,,,,,,,,,540.867295936179,9,9
2400016,77,1,1-77-2024-001-06,6,1,4,8,1,99,7,0,60,60,60,60,,,,,,,,,,,,,540.867295936179,9,9
2400016,77,1,1-77-2024-001-06,6,1,5,5,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,540.867295936179,9,9
2400016,77,1,1-77-2024-001-06,6,1,6,5,1,99,7,0,60,60,60,60,,,,,,,,,,,,,540.867295936179,9,9
2400017,10,1,1-10-2024-001-02,2,1,1,1,1,99,1,0,1,0,0,50,9,9,1,25,-25,-4,36357,998,24,0,1,1,27.8730157541747,4,9
2400017,10,1,1-10-2024-001-02,2,1,2,2,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,27.8730157541747,4,9
2400017,10,1,1-10-2024-001-02,2,1,3,4,1,99,1,0,1,0,0,50,9,9,1,25,-25,-4,36357,998,24,0,1,1,27.8730157541747,4,9
2400017,10,1,1-10-2024-001-02,2,1,4,5,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,27.8730157541747,4,9
2400017,10,1,1-10-2024-001-02,2,1,5,5,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,27.8730157541747,4,9
2400017,10,1,1-10-2024-001-02,2,1,6,5,1,99,7,0,60,60,60,60,,,,,,,,,,,,,27.8730157541747,4,9
2400017,10,1,1-10-2024-001-02,2,1,7,5,1,99,7,0,60,60,60,60,,,,,,,,,,,,,27.8730157541747,4,9
2400017,10,1,1-10-2024-001-02,2,1,8,8,1,99,1,0,1,0,0,50,9,9,1,25,-25,-4,36357,998,24,0,1,1,27.8730157541747,4,9
2400017,10,1,1-10-2024-001-02,2,1,9,8,1,99,1,0,1,0,0,50,9,9,1,25,-25,-4,36357,998,24,0,1,1,27.8730157541747,4,9
2400018,59,1,1-59-2024-001-05,5,1,1,1,9,79,79,79,79,79,79,79,9,9,79,,,,,,,,,79,62.0563788379138,6,9
2400018,59,1,1-59-2024-001-05,5,2,1,1,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,62.0563788379138,6,9
2400018,59,1,1-59-2024-001-05,5,2,2,2,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,62.0563788379138,6,9
2400018,59,1,1-59-2024-001-05,5,2,3,4,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,62.0563788379138,6,9
2400018,59,1,1-59-2024-001-05,5,2,4,5,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,62.0563788379138,6,9
2400018,59,1,1-59-2024-001-05,5,2,5,5,1,99,1,0,1,0,0,50,9,9,1,999,999,999,9999999,999,14,2,1,1,62.0563788379138,6,9
2400018,59,1,1-59-2024-001-05,5,2,6,8,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,62.0563788379138,6,9
2400018,59,1,1-59-2024-001-05,5,2,7,8,1,99,1,0,1,0,97,97,9,9,1,999,999,999,9999999,999,14,2,1,1,62.0563788379138,6,9
2400019,13,1,1-13-2024-001-05,5,1,1,1,1,99,1,0,1,0,97,97,9,9,2,999,999,999,9999999,999,999,8,1,1,20.2147445391711,7,9
2400019,13,1,1-13-2024-001-05,5,1,2,5,1,99,1,0,1,0,0,50,9,9,2,999,999,999,9999999,999,999,8,1,1,20.2147445391711,7,9
2400019,13,1,1-13-2024-001-05,5,1,3,8,1,99,1,0,1,0,97,97,9,9,2,999,999,999,9999999,999,999,8,1,1,20.2147445391711,7,9
2400019,13,1,1-13-2024-001-05,5,1,4,4,1,99,1,0,1,0,97,97,9,9,2,999,999,999,9999999,999,999,8,1,1,20.2147445391711,7,9
2400019,13,1,1-13-2024-001-05,5,1,5,2,1,99,1,0,1,0,0,50,9,9,2,999,999,999,9999999,999,999,8,1,1,20.2147445391711,7,9
2400019,13,1,1-13-2024-001-05,5,1,6,4,1,99,1,0,1,0,0,50,9,9,2,999,999,999,9999999,999,999,8,1,1,20.2147445391711,7,9
2400019,13,1,1-13-2024-001-05,5,1,7,5,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,20.2147445391711,7,9
2400019,13,1,1-13-2024-001-05,5,1,8,8,1,99,1,0,1,0,97,97,9,9,2,999,999,999,9999999,999,999,8,1,1,20.2147445391711,7,9
2400019,13,1,1-13-2024-001-05,5,2,1,1,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,20.2147445391711,7,9
2400019,13,1,1-13-2024-001-05,5,2,2,5,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,20.2147445391711,7,9
2400019,13,1,1-13-2024-001-05,5,2,3,8,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,20.2147445391711,7,9
2400019,13,1,1-13-2024-001-05,5,2,4,2,1,99,7,0,60,60,60,60,,,,,,,,,,,,,20.2147445391711,7,9
2400019,13,1,1-13-2024-001-05,5,2,5,5,1,99,7,0,60,60,60,60,,,,,,,,,,,,,20.2147445391711,7,9
2400019,13,1,1-13-2024-001-05,5,2,6,8,1,99,7,0,60,60,60,60,,,,,,,,,,,,,20.2147445391711,7,9
2400020,54,1,1-54-2024-001-08,8,1,1,1,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,161.994257211147,9,9
2400020,54,1,1-54-2024-001-08,8,1,2,2,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,161.994257211147,9,9
2400020,54,1,1-54-2024-001-08,8,1,3,8,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,161.994257211147,9,9
2400020,54,1,1-54-2024-001-08,8,1,4,8,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,161.994257211147,9,9
2400020,54,1,1-54-2024-001-08,8,1,5,3,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,161.994257211147,9,9
2400020,54,1,1-54-2024-001-08,8,1,6,4,1,99,7,99,60,60,60,60,9,9,60,,,,,,,,,60,161.994257211147,9,9
2400020,54,1,1-54-2024-001-08,8,1,7,5,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,161.994257211147,9,9
2400020,54,1,1-54-2024-001-08,8,1,8,5,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,161.994257211147,9,9
2400021,54,2,1-54-2024-002-09,9,1,1,1,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,339.94783934237,9,9
2400021,54,2,1-54-2024-002-09,9,1,2,2,1,99,7,0,60,60,60,60,,,,,,,,,,,,,339.94783934237,9,9
2400021,54,2,1-54-2024-002-09,9,1,3,5,1,99,1,0,1,0,0,50,9,9,2,999,999,999,9999999,999,29,3,1,1,339.94783934237,9,9
2400021,54,2,1-54-2024-002-09,9,1,4,5,1,99,7,0,60,60,60,60,,,,,,,,,,,,,339.94783934237,9,9
2400021,54,2,1-54-2024-002-09,9,1,5,8,1,99,1,0,1,0,0,50,9,9,2,999,999,999,9999999,999,29,3,1,1,339.94783934237,9,9
2400021,54,2,1-54-2024-002-09,9,1,6,8,1,99,7,0,60,60,60,60,,,,,,,,,,,,,339.94783934237,9,9
2400022,82,1,1-82-2024-001-03,3,1,1,1,1,99,1,0,99,0,0,50,9,9,1,27,-27,-5,46352,998,25,0,1,1,28.1106156827631,1,9
2400022,82,1,1-82-2024-001-03,3,1,2,8,1,99,1,0,99,0,0,50,9,9,1,27,-27,-5,46352,998,25,0,1,1,28.1106156827631,1,9
2400022,82,1,1-82-2024-001-03,3,1,3,4,1,99,1,0,99,0,0,50,9,9,1,27,-27,-5,46352,998,25,0,1,1,28.1106156827631,1,9
2400022,82,1,1-82-2024-001-03,3,1,4,8,1,99,7,0,60,60,60,60,,,,,,,,,,,,,28.1106156827631,1,9
2400022,82,1,1-82-2024-001-03,3,1,5,2,1,99,7,0,60,60,60,60,,,,,,,,,,,,,28.1106156827631,1,9
2400022,82,1,1-82-2024-001-03,3,1,6,12,1,99,7,0,60,60,60,60,,,,,,,,,,,,,28.1106156827631,1,9
2400022,82,1,1-82-2024-001-03,3,1,7,5,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,28.1106156827631,1,9
2400022,82,1,1-82-2024-001-03,3,1,8,5,1,99,7,0,60,60,60,60,,,,,,,,,,,,,28.1106156827631,1,9
2400022,82,1,1-82-2024-001-03,3,4,1,1,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,28.1106156827631,1,9
2400022,82,1,1-82-2024-001-03,3,4,2,8,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,28.1106156827631,1,9
2400022,82,1,1-82-2024-001-03,3,4,3,8,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,28.1106156827631,1,9
2400022,82,1,1-82-2024-001-03,3,4,4,12,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,28.1106156827631,1,9
2400022,82,1,1-82-2024-001-03,3,4,5,12,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,28.1106156827631,1,9
2400022,82,1,1-82-2024-001-03,3,4,6,4,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,28.1106156827631,1,9
2400022,82,1,1-82-2024-001-03,3,4,7,2,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,28.1106156827631,1,9
2400023,82,2,1-82-2024-002-03,3,1,1,1,1,1,1,0,1,0,0,50,1,1,1,25,-25,0,72346,998,25,0,1,1,28.1106156827631,1,9
2400023,82,2,1-82-2024-002-03,3,1,2,2,1,1,1,0,1,0,0,50,1,1,1,25,-25,0,72346,998,25,0,1,1,28.1106156827631,1,9
2400023,82,2,1-82-2024-002-03,3,1,3,4,1,1,1,0,1,0,0,50,1,1,1,25,-25,0,72346,998,25,0,1,1,28.1106156827631,1,9
2400023,82,2,1-82-2024-002-03,3,1,4,4,1,1,1,0,1,0,0,50,1,1,1,25,-25,0,72346,998,25,0,1,1,28.1106156827631,1,9
2400023,82,2,1-82-2024-002-03,3,1,5,8,1,1,7,0,60,60,60,60,1,1,60,,,,,,,,,60,28.1106156827631,1,9
2400023,82,2,1-82-2024-002-03,3,1,6,8,1,1,7,0,60,60,60,60,1,1,60,,,,,,,,,60,28.1106156827631,1,9
2400023,82,2,1-82-2024-002-03,3,1,7,5,1,1,7,0,60,60,60,60,1,1,60,,,,,,,,,60,28.1106156827631,1,9
2400023,82,2,1-82-2024-002-03,3,1,8,5,1,1,7,0,60,60,60,60,1,1,60,,,,,,,,,60,28.1106156827631,1,9
2400024,62,1,1-62-2024-001-06,6,1,1,1,1,99,1,0,1,0,0,50,9,9,1,25,-25,0,40090,998,25,0,1,1,63.0744733826381,7,9
2400024,62,1,1-62-2024-001-06,6,1,2,4,1,99,1,0,1,0,0,50,9,9,1,25,-25,0,40090,998,25,0,1,1,63.0744733826381,7,9
2400024,62,1,1-62-2024-001-06,6,1,3,2,1,99,1,0,1,0,0,50,9,9,1,25,-25,0,40090,998,25,0,1,1,63.0744733826381,7,9
2400024,62,1,1-62-2024-001-06,6,1,4,4,1,99,1,0,1,0,0,50,9,9,1,25,-25,0,40090,998,25,0,1,1,63.0744733826381,7,9
2400024,62,1,1-62-2024-001-06,6,1,5,5,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,63.0744733826381,7,9
2400024,62,1,1-62-2024-001-06,6,1,6,5,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,63.0744733826381,7,9
2400024,62,1,1-62-2024-001-06,6,1,7,5,1,99,7,0,60,60,60,60,,,,,,,,,,,,,63.0744733826381,7,9
2400024,62,1,1-62-2024-001-06,6,1,8,5,1,99,7,0,60,60,60,60,,,,,,,,,,,,,63.0744733826381,7,9
2400024,62,1,1-62-2024-001-06,6,1,9,8,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,63.0744733826381,7,9
2400024,62,1,1-62-2024-001-06,6,1,10,8,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,63.0744733826381,7,9
2400025,62,2,1-62-2024-002-10,10,1,1,1,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,1646.87203897318,7,9
