CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EVENTNO,OBJCLASS,OBJCONT,PDOF,OCLOCK,ENDSHIFT,OVERUNDER,HEADINGANG,CDC,CDCPLANE,CDCLONGLAT,CDCVERTLAT,CDCDISTRIB,CDCEXTENT,DAMAPILLAR,DAMBPILLAR,DAMCPILLAR,DAMOTHPILLAR,SILLHEIGHT,CMAXHEIGHT,DOORSILLDIFF,DVBASIS,DVTOTAL,DVLONG,DVLAT,DVENERGY,DVSPEED,DVMOMENT,DVBARRIER,DVESTIMATE,DVRANK,DIRECTLOCATION,FIELDLLOCATION,CMAXLOCATION,FIELDL,FIELDLD,DIRECTL,DIRECTD,DIRECTWIDTH,CMAX,C1,C2,C3,C4,C5,C6,ROLLLAT,ROLLVERT,CASEWGT,PSUSTRAT,VERSION
2400996,77,35,1-77-2024-035-03,3,1,2,3,44,998,0,0,0,888,00FDLW99,F,D,L,W,99,8,8,8,8,888,888,888,7,999,999,999,9999999,999,999,999,6,8,"Begins 80cm left of center point, extending right",Unknown,Right Front Bumper Corner,999,999,160,0,160,999,999,999,999,999,999,999,,,110.200563996459,9,9
2400988,18,38,1-18-2024-038-04,4,1,1,1,2,40,1,0,0,80,01RFEW02,R,F,E,W,02,8,8,8,8,888,888,888,1,18,-14,-12,3434,998,-34,7,0,1,"Begins 58cm forward of front axle, extending rearward","Begins 62cm forward of front axle, extending rearward",192 cm forward of center,50,169,50,167,46,10,0,0,4,6,8,10,,,84.630238881144,6,9
2400988,18,38,1-18-2024-038-04,4,2,1,1,1,350,12,0,0,310,12FDEW01,F,D,E,W,01,8,8,8,8,888,888,888,1,13,-13,2,37173,998,46,19,0,1,"Begins 35cm left of center point, extending right","Begins 83cm left of center point, extending right",2 cm left of center,166,0,166,3,76,23,0,1,23,14,0,2,,,84.630238881144,6,9
2400486,16,16,1-16-2024-016-03,3,2,1,1,1,80,3,0,0,175,03RYEW01,R,Y,E,W,01,0,1,0,0,999,999,999,1,14,-2,-14,14325,998,27,13,0,1,"Begins 43cm forward of rear axle, extending forward","Begins 43cm forward of rear axle, extending forward",44 cm rearward of center,190,0,190,0,190,9,0,9,5,7,6,1,,,112.722559063275,5,9
2400340,24,7,1-24-2024-007-08,8,1,3,3,51,0,12,0,0,888,12FRE999,F,R,E,9,99,8,8,8,8,888,888,888,11,999,999,999,9999999,999,999,999,9,8,Unknown,Unknown,Unknown,999,999,999,999,999,999,999,999,999,999,999,999,,,59.5669287216797,1,9
2400340,24,7,1-24-2024-007-08,8,1,4,3,51,50,2,0,0,888,02RBEW02,R,B,E,W,02,8,8,8,8,888,888,888,12,999,999,999,9999999,999,999,999,7,2,"Begins 26cm rear of rear axle, extending rearward",Unknown,Unknown,999,999,999,999,59,999,999,999,999,999,999,999,,,59.5669287216797,1,9
2400340,24,7,1-24-2024-007-08,8,1,6,3,54,280,9,0,0,888,09LZEW01,L,Z,E,W,01,8,8,8,8,888,888,888,12,999,999,999,9999999,999,999,999,6,8,"Begins 24cm forward of rear axle, extending rearward",Unknown,Unknown,999,999,999,999,109,999,999,999,999,999,999,999,,,59.5669287216797,1,9
2400340,24,7,1-24-2024-007-08,8,2,1,1,1,180,6,0,0,280,06BDEW05,B,D,E,W,05,8,8,8,8,888,888,888,12,999,999,999,9999999,999,999,999,8,1,Unknown,Unknown,Unknown,999,999,999,999,999,999,999,999,999,999,999,999,,,59.5669287216797,1,9
2401032,14,16,1-14-2024-016-04,4,1,1,1,2,0,12,0,0,220,12FDEW02,F,D,E,W,02,8,8,8,8,888,888,888,3,29,-29,0,30068,998,4,24,0,1,"Begins 38cm left of center point, extending right","Begins 42cm left of center point, extending right",22 cm left of center,85,0,150,4,85,23,8,12,11,10,9,7,,,677.371691967794,8,9
2400429,59,15,1-59-2024-015-05,5,1,1,4,76,10,12,0,0,888,12FDEW01,F,D,E,W,01,8,8,8,8,888,888,888,10,999,999,999,9999999,999,999,999,7,1,"Begins 50cm left of center point, extending right",Unknown,unknown,999,999,999,999,104,999,999,999,999,999,999,999,,,53.1907731759788,6,9
2400985,18,35,1-18-2024-035-10,10,2,1,1,1,340,11,0,0,180,11FZEW01,F,Z,E,W,01,8,8,8,8,888,888,888,3,12,-12,4,9988,998,118,10,0,1,"Begins 25cm right of center point, extending right","Begins 73cm left of center point, extending right",70 cm right of center,146,0,146,49,48,4,0,0,0,1,2,4,,,3169.43297739792,6,9
2400271,10,5,1-10-2024-005-01,1,1,1,3,64,50,2,1,0,888,02FREE09,F,R,E,E,09,8,8,8,8,888,888,888,12,999,999,999,9999999,999,999,999,7,1,Unknown,Unknown,Unknown,999,999,999,999,999,999,999,999,999,999,999,999,,,29.6296036839938,4,9
2400070,13,2,1-13-2024-002-01,1,1,4,3,54,350,12,0,0,888,12FLEE06,F,L,E,E,06,8,8,8,8,888,888,888,8,999,999,999,9999999,999,999,999,6,8,Unknown,Unknown,Unknown,999,999,999,999,999,999,999,999,999,999,999,999,,,148.493580370567,7,9
2400516,26,8,1-26-2024-008-05,5,2,1,1,1,330,11,0,0,100,11FYEW01,F,Y,E,W,01,8,8,8,8,888,888,888,3,22,-19,11,39840,998,108,18,0,1,Unknown,Unknown,UNKNOWN - NOT MEASURED,999,999,156,999,999,999,999,999,999,999,999,999,,,21.9285367853072,10,9
2400516,26,8,1-26-2024-008-05,5,2,2,1,1,260,9,0,0,150,09LZEW01,L,Z,E,W,01,8,8,8,8,888,888,888,12,999,999,999,9999999,999,999,999,6,2,Unknown,Unknown,UNKNOWN - NOT MEASURED,999,999,999,999,999,999,999,999,999,999,999,999,,,21.9285367853072,10,9
2400516,26,8,1-26-2024-008-05,5,2,5,3,43,0,12,0,0,888,12FDEW01,F,D,E,W,01,8,8,8,8,888,888,888,12,999,999,999,9999999,999,999,999,6,8,Unknown,Unknown,UNKNOWN - NOT MEASURED,999,999,999,999,999,999,999,999,999,999,999,999,,,21.9285367853072,10,9
2400965,77,32,1-77-2024-032-03,3,2,1,1,1,10,12,0,0,210,12FDEW02,F,D,E,W,02,8,8,8,8,888,888,888,1,27,-26,-5,107469,998,-35,43,0,1,"Begins 63cm right of center point, extending left","Begins 68cm right of center point, extending left",32 cm left of center,136,0,140,-3,133,45,33,31,45,37,16,1,,,110.200563996459,9,9
2400477,11,11,1-11-2024-011-04,4,1,1,1,2,0,12,0,2,155,12FDEW01,F,D,E,W,01,8,8,8,8,888,888,888,12,999,999,999,9999999,999,999,999,6,1,"Begins 80cm right of center point, extending left",Unknown,80cm left of FCP,999,999,999,999,160,999,999,999,999,999,999,999,,,649.602537945758,8,9
2400752,19,14,1-19-2024-014-03,3,1,1,1,2,60,2,0,0,300,02RDAW02,R,D,A,W,02,8,8,8,8,888,888,888,5,999,999,999,9999999,999,999,13,2,1,"Begins 2cm forward of rear axle, extending forward","Begins 2cm forward of rear axle, extending forward",82 cm rearward of center,233,-20,233,-19,236,10,0,10,7,1,1,1,,,137.40249401059,9,9
2400752,19,14,1-19-2024-014-03,3,1,2,1,3,260,9,0,0,10,09LZEW01,L,Z,E,W,01,8,8,8,8,888,888,888,12,999,999,999,9999999,999,999,999,9,2,"Begins 48cm rear of rear axle, extending forward",Unknown,22cm rear LR axle,999,999,999,999,138,999,999,999,999,999,999,999,,,137.40249401059,9,9
2400887,16,28,1-16-2024-028-04,4,1,1,1,2,0,12,0,0,20,12FREE03,F,R,E,E,03,8,8,8,8,888,888,888,5,999,999,999,9999999,999,999,999,6,2,Unknown,Unknown,unknown,999,999,999,999,999,999,999,999,999,999,999,999,,,724.275671728201,5,9
2400154,77,4,1-77-2024-004-05,5,1,2,1,2,60,2,0,0,190,02RPEW01,R,P,E,W,01,0,0,0,0,999,999,999,12,999,999,999,9999999,999,999,999,6,2,"Begins 77cm forward of rear axle, extending forward",Unknown,Unknown,999,999,999,999,53,999,999,999,999,999,999,999,,,90.6570748528622,9,9
2400870,62,25,1-62-2024-025-06,6,1,1,1,2,350,12,0,0,320,12LYEW01,L,Y,E,W,01,8,8,8,8,888,888,888,8,999,999,999,9999999,999,999,999,6,2,"Begins 142cm forward of rear axle, extending forward",Unknown,Unknown,999,999,999,999,157,999,999,999,999,999,999,999,,,1513.74233408127,7,9
2400870,62,25,1-62-2024-025-06,6,1,2,3,42,320,11,0,0,888,11FLEE03,F,L,E,E,03,8,8,8,8,888,888,888,12,999,999,999,9999999,999,999,999,7,1,"Begins 53cm left of center point, extending left",Unknown,Unknown,999,999,999,999,27,999,999,999,999,999,999,999,,,1513.74233408127,7,9
