CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,OCCNO,CHILDSEATNO,SEATLOC,CHILDMANUF,CHILDMAKE,CHILDMODEL,CHILDMODELNO,CHILDSEATYPE,CHILDDATEMAN,HOWUSED,DATASOURCE,ORIENTATION,HARNESSDESIGN,RETAINERCLIPDESIGN,TETHERDESIGN,LATCHDESIGN,HARNESSUSE,RETAINERCLIPUSE,TETHERUSE,LATCHUSE,BELTROUT,LOCKCLIPUSE,PLACEMENT,CHILDPOSITION,BELTRETYPE,LATCHPLATE,LATCHANCHOR,LATCHTETHER,CASEWGT,PSUSTRAT,VERSION
2401729,28,48,1-28-2024-048-06,6,1,4,1,21,12,19,5016,308153PQ,5,01/15/2012,3,2,2,2,0,1,1,1,0,1,3,0,0,1,1,3,1,1,1,46.0829401699488,3,9
2401729,28,48,1-28-2024-048-06,6,1,6,2,23,12,19,4030,39312408,4,10/17/2022,2,2,2,2,1,1,1,2,3,1,1,1,0,1,1,3,1,1,1,46.0829401699488,3,9
2401827,76,51,1-76-2024-051-03,3,3,3,1,21,98,98,9998,99999999,99,9999999999,9,5,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,71.5495535595937,3,9
2404221,57,113,1-57-2024-113-03,3,2,3,1,21,98,98,9998,99999999,99,9999999999,9,5,2,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,139.736179967937,1,9
2404074,79,84,1-79-2024-084-09,9,2,2,1,23,13,23,4011,99999999,4,9999999999,2,2,2,2,1,1,1,5,5,9,9,9,9,1,1,5,9,1,1,325.337766812006,8,9
2404262,60,62,1-60-2024-062-04,4,1,2,1,23,13,23,5041,1946242,5,12/02/2021,2,1,2,2,1,1,1,5,5,1,1,0,0,1,1,3,1,1,1,795.683244945331,8,9
2404270,20,109,1-20-2024-109-03,3,2,3,1,21,13,23,9998,2203483,2,9999999999,2,1,2,2,1,1,9,5,3,2,3,3,0,1,1,1,2,1,1,176.372469252349,11,9
2404270,20,109,1-20-2024-109-03,3,2,4,2,23,10,12,2014,CC254-FMB,2,9999999999,2,1,2,2,1,1,1,5,3,2,3,3,0,1,1,1,2,1,1,176.372469252349,11,9
2404274,81,104,1-81-2024-104-05,5,2,3,1,22,98,98,9998,99999999,99,9999999999,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,5,1,0,1,127.116650862835,8,9
2404286,10,79,1-10-2024-079-04,4,2,2,1,23,98,98,9998,99999999,99,9999999999,9,1,1,9,9,9,9,9,9,9,9,9,9,1,9,5,1,9,9,353.526720994783,4,9
