CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,DISTRACTN,CASEWGT,PSUSTRAT,VERSION
2401904,73,60,1-73-2024-060-03,3,1,9,68.2979904850395,3,9
2405150,62,153,1-62-2024-153-06,6,1,1,1749.72999838321,7,9
2400547,59,19,1-59-2024-019-04,4,1,9,105.325659634205,6,9
2403985,27,124,1-27-2024-124-06,6,1,3,172.570486288372,3,9
2401163,25,28,1-25-2024-028-03,3,1,10,55.0753664902521,2,9
2404532,77,144,1-77-2024-144-09,9,1,1,74.095201462238,9,9
2402829,20,80,1-20-2024-080-03,3,1,10,81.8606256970461,11,9
2402190,19,31,1-19-2024-031-03,3,1,1,109.751530405425,9,9
2400032,19,1,1-19-2024-001-04,4,1,10,686.171980556767,9,9
2405485,30,188,1-30-2024-188-NM1,21,2,10,122.593345242516,10,9
2404011,52,43,1-52-2024-043-02,2,1,1,21.737445977484,12,9
2401429,52,19,1-52-2024-019-07,7,1,99,2619.08789895051,12,9
2403201,17,98,1-17-2024-098-08,8,1,1,98.1097831692489,4,9
2405242,17,171,1-17-2024-171-NM2,22,1,2,85.8489914277837,4,9
2402611,22,75,1-22-2024-075-10,10,1,6,185.561788413348,12,9
2401406,14,20,1-14-2024-020-04,4,1,2,450.741350654507,8,9
2404303,73,117,1-73-2024-117-03,3,1,8,111.013202420727,3,9
2402631,15,101,1-15-2024-101-04,4,1,1,60.8903261931205,1,9
2406212,66,120,1-66-2024-120-09,9,1,99,97.5596917228585,6,9
2405714,76,165,1-76-2024-165-07,7,1,1,318.840064048268,3,9
2401741,77,58,1-77-2024-058-06,6,1,2,216.01935162615,9,9
2400759,30,24,1-30-2024-024-02,2,1,3,18.7124163743047,10,9
2401008,17,32,1-17-2024-032-04,4,1,2,131.910982492372,4,9
2402076,66,50,1-66-2024-050-04,4,1,99,114.973892842,6,9
2401990,21,39,1-21-2024-039-09,9,1,6,1610.50311914975,11,9
2401300,22,39,1-22-2024-039-05,5,1,1,25.2675524846257,12,9
2400553,77,17,1-77-2024-017-05,5,1,1,90.6570748528622,9,9
2403315,18,93,1-18-2024-093-05,5,1,10,50.9427492020977,6,9
2401692,52,24,1-52-2024-024-03,3,2,8,14.3319114740878,12,9
2403507,26,101,1-26-2024-101-02,2,1,1,22.5600458961745,10,9
2400902,52,12,1-52-2024-012-06,6,1,9,98.2336933778546,12,9
2404197,28,130,1-28-2024-130-03,3,1,1,28.3089754479373,3,9
2405771,57,179,1-57-2024-179-06,6,1,99,210.079816306198,1,9
2405139,12,101,1-12-2024-101-03,3,1,1,164.057323491007,9,9
2405210,52,51,1-52-2024-051-07,7,1,3,1637.98271959596,12,9
2404214,19,55,1-19-2024-055-04,4,1,8,515.327236385689,9,9
2404214,19,55,1-19-2024-055-04,4,1,9,515.327236385689,9,9
2405897,73,149,1-73-2024-149-05,5,1,3,47.7981654710363,3,9
2404452,25,117,1-25-2024-117-04,4,1,9,213.041617839475,2,9
2403172,77,107,1-77-2024-107-09,9,1,8,2300.04288758448,9,9
2400848,79,21,1-79-2024-021-03,3,1,10,104.756877618907,8,9
