CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EDRSUMMNO,EDREVENTNO,EVENTDESC,CDCEVENT,IGCYCRASH,WARNLAMP,NUMEVNTS,EVENT1TO2,FILEREC,MAXDVRESTIME,MAXDVLONG,MAXDVLONGTIME,MAXDVLAT,MAXDVLATTIME,CASEWGT,PSUSTRAT,VERSION
2400503,60,8,1-60-2024-008-03,3,1,1,1,Event 1,1,9328,1,1,0.0000,1,230.0000,-13.0000,132.5000,-3.0000,257.5000,298.61564899349,8,9
2400841,62,24,1-62-2024-024-03,3,1,1,1,Event 1,1,9180,0,1,0.0000,1,50.0000,5.0000,40.0000,19.0000,50.0000,408.645387459911,7,9
2401368,57,28,1-57-2024-028-03,3,2,1,1,Most Recent Event,1,6119,0,1,9995.0000,1,9997.0000,-21.0000,134.0000,0.0000,0.0000,113.193207903283,1,9
2401312,26,34,1-26-2024-034-05,5,1,1,1,Most Recent Event,12,4457,1,2,0.1000,1,9997.0000,-9.0000,84.0000,3.0000,30.0000,29.4855896961851,10,9
2400356,76,9,1-76-2024-009-07,7,1,1,2,1st Prior Event - Non-Deployment,95,10350,1,2,0.2000,1,9997.0000,0.0000,0.0000,9.0000,118.0000,72.7960942583928,3,9
2406358,21,159,1-21-2024-159-06,6,1,1,1,Event Record 1,1,2746,0,1,9997.0000,1,80.0000,-25.0000,85.0000,-13.0000,75.0000,6493.58221985842,11,9
2400666,20,17,1-20-2024-017-03,3,1,1,6,Side Crash,2,999997,7,97,0.0965,7,9997.0000,997.0000,9997.0000,997.0000,9997.0000,27.4936400859491,11,9
2400666,20,17,1-20-2024-017-03,3,1,1,3,Side Crash,3,999997,7,97,0.1135,7,9997.0000,997.0000,9997.0000,997.0000,9997.0000,27.4936400859491,11,9
2400456,19,9,1-19-2024-009-03,3,2,1,1,Event Record 1,1,8764,0,1,9997.0000,1,9997.0000,-14.4900,222.0000,30.5900,188.0000,77.5073834776398,9,9
2400744,76,21,1-76-2024-021-10,10,1,1,3,2nd Prior Event,99,999997,7,97,9997.0000,1,9997.0000,3.3000,9997.0000,997.0000,9997.0000,444.564676677323,3,9
2400592,33,8,1-33-2024-008-04,4,2,1,1,Side Crash,1,999997,7,97,9995.0000,7,9997.0000,997.0000,9997.0000,997.0000,9997.0000,415.349865952481,12,9
2400526,28,13,1-28-2024-013-04,4,1,1,2,1st Prior Event - Non-Deployment,95,2439,0,1,9995.0000,1,9997.0000,-14.0000,140.0000,-3.0000,126.0000,47.851485985308,3,9
2400715,73,24,1-73-2024-024-06,6,1,1,3,2nd Prior Event,97,6938,0,97,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,62.7249966038343,3,9
2400715,73,24,1-73-2024-024-06,6,1,1,6,5th Prior Event,97,999997,7,97,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,62.7249966038343,3,9
2400714,73,23,1-73-2024-023-10,10,1,1,1,First Record,1,13362,0,1,9997.0000,1,9997.0000,-5.0000,300.0000,997.0000,9997.0000,2512.5488603596,3,9
2401326,66,28,1-66-2024-028-10,10,2,1,3,2nd Prior Event,97,10949,0,1,0.0000,1,9997.0000,9.0000,58.0000,1.0000,208.0000,727.168496132888,6,9
2401323,27,44,1-27-2024-044-09,9,2,1,2,Second Record,1,22121,0,2,9997.0000,1,9997.0000,-27.7000,156.0000,9.5400,91.0000,158.05014073623,3,9
2401618,57,31,1-57-2024-031-03,3,1,1,2,Record 2,2,545,1,2,2.2500,1,140.0000,-11.0000,140.0000,-2.0000,140.0000,507.864905147841,1,9
2401294,27,40,1-27-2024-040-04,4,1,1,3,Record 3,95,12108,0,3,1.5800,1,248.0000,-17.0000,248.0000,7.0000,250.0000,94.2504458585864,3,9
2400561,18,19,1-18-2024-019-07,7,2,1,2,Side Crash Record 2,2,4455,0,2,0.7000,1,9997.0000,2.0000,207.5000,-33.0000,300.0000,950.591365303636,6,9
2401633,62,41,1-62-2024-041-02,2,1,1,9,Frontal/Rear/Side Crash,1,2195,0,97,0.0055,7,9997.0000,-39.7000,150.5000,997.0000,9997.0000,40.5230025519482,7,9
2401633,62,41,1-62-2024-041-02,2,1,1,3,Frontal/Rear/Side Crash,95,2195,1,97,0.0250,7,9997.0000,1.9000,46.5000,997.0000,9997.0000,40.5230025519482,7,9
2401633,62,41,1-62-2024-041-02,2,1,1,6,Side Crash,95,999997,7,97,1.2240,7,9997.0000,997.0000,9997.0000,997.0000,9997.0000,40.5230025519482,7,9
2401419,27,47,1-27-2024-047-03,3,1,1,3,2nd Prior Event,1,3465,0,97,0.0410,7,9997.0000,-5.6000,94.5000,997.0000,9997.0000,11.8514312322575,3,9
2406359,21,160,1-21-2024-160-02,2,4,1,1,Non-Deployment,2,32605,0,97,9997.0000,1,9997.0000,-0.2737,50.0000,997.0000,9997.0000,93.4168746042218,11,9
2404239,22,126,1-22-2024-126-03,3,2,1,1,Rollover,1,6946,0,97,0.0320,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,26.0912892801948,12,9
2400379,20,8,1-20-2024-008-07,7,2,1,1,Most Recent Frontal/Rear Event,2,999997,7,97,9997.0000,1,9997.0000,-18.4000,9997.0000,997.0000,9997.0000,432.198032471815,11,9
2401013,11,24,1-11-2024-024-03,3,1,1,3,2nd Prior Event,97,999997,7,97,9995.0000,7,9997.0000,997.0000,9997.0000,997.0000,9997.0000,85.9711922432037,8,9
2401048,76,28,1-76-2024-028-04,4,1,1,1,Event Record 1,2,1724,0,1,9997.0000,1,9997.0000,-27.3700,198.0000,1.6100,68.0000,86.4714255045695,3,9
2400787,54,22,1-54-2024-022-06,6,2,1,1,First Record,1,26755,0,1,9997.0000,1,9997.0000,-36.0700,274.0000,6.0700,130.0000,431.29120176655,9,9
2400560,18,18,1-18-2024-018-03,3,1,1,1,Most Recent Event,1,4642,0,1,0.0000,1,9997.0000,5.0000,188.0000,10.0000,230.0000,34.6070615401308,6,9
2400572,13,11,1-13-2024-011-03,3,1,1,1,Event Record 1,4,5962,0,1,9997.0000,1,9997.0000,0.0000,292.5000,-1.0000,257.5000,435.984145595408,7,9
2400706,31,11,1-31-2024-011-06,6,1,1,2,Record 2,97,21540,0,2,9997.0000,1,118.0000,-10.0000,118.0000,0.0000,78.0000,238.979638420053,6,9
2400538,20,12,1-20-2024-012-03,3,2,1,1,Event Record 1,1,15213,0,1,9997.0000,1,152.5000,-33.0000,152.5000,-11.0000,55.0000,71.8583094019882,11,9
2400915,66,16,1-66-2024-016-07,7,2,1,1,Event Record 1,1,12099,0,1,9997.0000,1,9997.0000,-27.3700,100.0000,9.6600,92.0000,240.716767785159,6,9
2400915,66,16,1-66-2024-016-07,7,1,1,3,2nd Prior Event,97,4912,0,1,0.0000,1,9997.0000,-19.0000,150.0000,-16.0000,174.0000,240.716767785159,6,9
2401757,62,43,1-62-2024-043-05,5,2,1,1,Event Record 1,1,17601,0,1,9997.0000,1,145.0000,-20.0000,145.0000,-5.0000,75.0000,36.6153826086227,7,9
2400743,76,20,1-76-2024-020-03,3,1,1,2,Side Crash Record 2,1,3294,0,1,9997.0000,1,9997.0000,-12.0000,300.0000,48.0000,282.5000,71.5495535595937,3,9
2405478,28,169,1-28-2024-169-06,6,1,1,1,Most Recent Event,1,8916,0,1,9995.0000,1,9997.0000,-26.0000,150.0000,2.0000,104.0000,229.009376117751,3,9
2405480,28,171,1-28-2024-171-09,9,1,1,1,Non-Deployment,1,37081,0,97,9997.0000,1,9997.0000,-7.2128,185.0000,997.0000,9997.0000,446.363671492895,3,9
2405718,28,175,1-28-2024-175-09,9,1,1,1,Most Recent Event,1,1505,0,1,0.0000,1,9997.0000,-45.0000,200.0000,-19.0000,100.0000,159.603096768965,3,9
2404859,29,74,1-29-2024-074-06,6,2,1,1,Event Record 1,1,16278,1,1,9997.0000,1,125.0000,8.0000,102.5000,5.0000,125.0000,1928.26533178592,2,9
2400235,27,7,1-27-2024-007-06,6,1,1,1,EVENT 1,2,21474,0,1,0.0000,1,280.0000,-7.0000,280.0000,18.0000,280.0000,61.805879129382,3,9
2400269,30,7,1-30-2024-007-06,6,1,1,1,EVENT 1,1,8058,0,1,0.0000,1,102.5000,-17.0000,240.0000,-7.0000,102.5000,370.101700695762,10,9
2400901,52,11,1-52-2024-011-03,3,2,1,2,EVENT 2,2,4088,1,2,0.4000,1,292.5000,12.0000,65.0000,-14.0000,292.5000,19.4411121960784,12,9
2401078,48,37,1-48-2024-037-06,6,1,1,2,EVENT 2,1,13038,0,2,0.1000,1,282.5000,-2.0000,102.5000,-16.0000,282.5000,157.161135633244,12,9
2402720,60,30,1-60-2024-030-01,1,2,1,2,Non-Deployment,97,44421,0,97,0.2000,7,9997.0000,-3.6386,100.0000,997.0000,9997.0000,101.909134009317,8,9
2403939,62,110,1-62-2024-110-02,2,1,1,2,1st Prior Event,1,10682,0,97,9997.0000,1,9997.0000,-73.7000,133.0000,997.0000,9997.0000,27.4104501869369,7,9
2405513,62,165,1-62-2024-165-02,2,2,1,1,Event Record 1,1,1109,1,1,9997.0000,1,110.0000,-47.0000,110.0000,14.0000,72.5000,40.5230025519482,7,9
2404805,66,95,1-66-2024-095-01,1,1,1,3,Side Crash,95,999997,7,97,0.0650,7,9997.0000,997.0000,9997.0000,997.0000,9997.0000,106.258770256521,6,9
2404969,66,98,1-66-2024-098-01,1,1,1,1,Most Recent Event,1,999997,7,97,9997.0000,7,9997.0000,997.0000,9997.0000,997.0000,9997.0000,106.258770256521,6,9
2404937,69,116,1-69-2024-116-01,1,1,1,2,1st Prior Event,95,13433,0,97,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,7.66811372485411,8,9
2405299,69,129,1-69-2024-129-05,5,1,1,1,"Record 1, Most Recent",95,6912,0,1,0.0000,1,295.0000,-1.0000,297.5000,1.0000,285.0000,7.30201599951961,8,9
2405921,69,149,1-69-2024-149-01,1,1,1,2,Event 2,1,17314,0,97,0.6100,1,80.0000,-8.0500,80.0000,-6.4400,80.0000,9.82023560759747,8,9
2406054,69,153,1-69-2024-153-01,1,1,1,1,Deployment,95,999997,7,97,9997.0000,7,9997.0000,997.0000,9997.0000,997.0000,9997.0000,7.66811372485411,8,9
2405765,73,147,1-73-2024-147-03,3,2,1,1,Most Recent Event - Deployment Event,1,5772,0,1,9995.0000,1,9997.0000,-2.0000,68.0000,4.0000,38.0000,30.3986890211754,3,9
2404770,77,154,1-77-2024-154-02,2,1,1,1,"Record 1, Most Recent",1,5572,0,1,0.0000,1,76.0000,-8.0000,166.0000,-2.0000,80.0000,83.1566199866033,9,9
2404307,69,98,1-69-2024-098-05,5,1,1,3,2nd Prior Event,2,12211,0,97,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,24.1360940214581,8,9
2400321,19,8,1-19-2024-008-05,5,1,1,1,Event Record 1,1,9078,0,1,9997.0000,1,185.0000,-45.0000,177.5000,-28.0000,127.5000,49.1552833588875,9,9
2400215,16,5,1-16-2024-005-03,3,1,1,1,Record 1,1,3615,0,1,9997.0000,1,180.0000,-23.0000,168.0000,6.0000,180.0000,644.838532287301,5,9
2400671,66,11,1-66-2024-011-10,10,2,1,3,2nd Prior Event,97,999997,7,97,9997.0000,1,9997.0000,-7.4000,126.5000,997.0000,9997.0000,403.982497851604,6,9
2400337,11,8,1-11-2024-008-04,4,1,1,2,Frontal/Rear/Side Crash,1,5900,0,97,0.0095,7,9997.0000,-3.6000,118.0000,997.0000,9997.0000,308.948683709192,8,9
2400701,16,24,1-16-2024-024-02,2,1,1,3,Side Crash,2,999997,7,97,11.1750,7,9997.0000,997.0000,9997.0000,997.0000,9997.0000,18.740072057542,5,9
2400390,26,6,1-26-2024-006-02,2,3,1,1,Most Recent Event,3,4594,0,97,0.0245,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,21.1529220587709,10,9
2400211,24,3,1-24-2024-003-03,3,2,1,1,Event Record 1,1,1874,0,1,9997.0000,1,9997.0000,-9.6600,150.0000,-1.6100,126.0000,29.9215032432892,1,9
2401502,48,50,1-48-2024-050-02,2,1,1,1,First Record,1,2975,0,1,9997.0000,1,267.5000,-11.0000,9997.0000,997.0000,9997.0000,74.210049573419,12,9
2400626,76,15,1-76-2024-015-03,3,1,1,2,Side Crash Record 2,95,7389,0,1,9997.0000,1,9997.0000,-11.0000,300.0000,-50.0000,292.5000,71.5495535595937,3,9
2400416,33,4,1-33-2024-004-07,7,1,1,3,2nd Prior Event,97,2356,0,97,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,340.191805857762,12,9
2400804,66,13,1-66-2024-013-06,6,1,1,1,Most Recent Event,95,17615,0,2,0.6000,1,9997.0000,-14.0000,138.0000,-12.0000,146.0000,124.972344097308,6,9
2400371,28,7,1-28-2024-007-03,3,1,1,1,Record 1,1,5368,0,1,9997.0000,1,9997.0000,-1.0000,180.0000,-5.0000,287.5000,28.3089754479373,3,9
2400806,66,15,1-66-2024-015-06,6,1,1,1,Event Record 1,1,5739,0,1,9997.0000,1,9997.0000,-17.7100,146.0000,-22.5400,60.0000,124.972344097308,6,9
2400805,66,14,1-66-2024-014-10,10,1,1,3,2nd Prior Event,99,999997,7,97,9997.0000,1,9997.0000,997.0000,9997.0000,1.0000,9997.0000,727.168496132888,6,9
2400799,22,22,1-22-2024-022-07,7,2,1,1,Most Recent Event - Deployment,1,6569,0,1,9997.0000,1,9997.0000,-21.0000,154.0000,8.0000,90.0000,98.6738695779625,12,9
2400742,76,19,1-76-2024-019-07,7,1,1,2,Event Record 2,95,11432,0,1,9997.0000,1,9997.0000,-20.0000,288.0000,997.0000,9997.0000,80.4588410219785,3,9
2401014,11,25,1-11-2024-025-03,3,2,1,2,Frontal/Rear/Side Crash,1,5183,0,97,9995.0000,7,9997.0000,34.8000,158.0000,997.0000,9997.0000,85.9711922432037,8,9
2400916,66,19,1-66-2024-019-10,10,1,1,2,Event Record 2,2,19079,0,2,9997.0000,1,9997.0000,8.0500,182.0000,14.4900,208.0000,2078.08596894865,6,9
2401419,27,47,1-27-2024-047-03,3,1,1,6,5th Prior Event,97,999997,7,97,0.9075,7,9997.0000,997.0000,9997.0000,997.0000,9997.0000,11.8514312322575,3,9
2400613,28,15,1-28-2024-015-04,4,1,1,1,Event Record 1,1,4947,0,1,9997.0000,1,9997.0000,-32.2000,172.0000,-3.2200,116.0000,64.9819660427781,3,9
2400422,77,14,1-77-2024-014-08,8,1,1,1,Most Recent Frontal/Rear Event,95,999997,7,97,9997.0000,1,9997.0000,-4.5000,9997.0000,997.0000,9997.0000,157.408312207112,9,9
2400651,22,17,1-22-2024-017-04,4,1,1,2,Event Record 2,2,1699,1,2,1.2000,1,9997.0000,-31.0000,297.5000,-12.0000,297.5000,53.2870024901003,12,9
2401051,27,32,1-27-2024-032-06,6,1,1,1,Event Record 1,1,11084,0,1,9997.0000,1,210.0000,-9.0000,210.0000,3.0000,182.5000,50.9387159232509,3,9
2401028,31,19,1-31-2024-019-10,10,1,1,1,Event 1,2,25395,0,1,9997.0000,1,70.0000,-6.4400,70.0000,-1.6100,70.0000,419.593794787767,6,9
2401431,76,36,1-76-2024-036-10,10,1,1,1,First Record,1,10814,0,1,9997.0000,1,9997.0000,-35.0000,300.0000,997.0000,9997.0000,254.03695808766,3,9
2400960,57,19,1-57-2024-019-NM1,21,2,1,1,"Record 1, Most Recent",1,45232,0,1,0.0000,1,9997.0000,-20.0000,290.0000,16.0000,143.0000,15.0398443849994,1,9
2400746,33,9,1-33-2024-009-03,3,2,1,1,Rollover,1,6631,0,97,0.0565,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,26.4087044256374,12,9
2401758,62,44,1-62-2024-044-06,6,1,1,3,Event Record 3,1,14550,0,3,0.0500,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,1143.6537824324,7,9
2401872,62,48,1-62-2024-048-02,2,1,1,2,Event Record 2,3,1655,0,2,0.3000,1,295.0000,-25.0000,300.0000,24.0000,292.5000,40.5230025519482,7,9
2401070,26,25,1-26-2024-025-07,7,1,1,2,Frontal / Rear Crash Record 2,97,5889,0,1,9997.0000,1,9997.0000,-20.0000,257.5000,1.0000,257.5000,1644.96878847166,10,9
2401593,66,34,1-66-2024-034-03,3,2,1,2,Record 2,2,7579,1,2,0.7100,1,102.0000,-24.0000,102.0000,1.0000,132.0000,79.4686416678806,6,9
2400743,76,20,1-76-2024-020-03,3,2,1,1,Event Record 1,1,13608,0,1,9997.0000,1,117.5000,-34.0000,107.5000,-12.0000,122.5000,71.5495535595937,3,9
2400568,73,16,1-73-2024-016-06,6,1,1,1,Event Record 1,1,9261,0,1,9997.0000,1,9997.0000,-9.6600,62.0000,4.8300,22.0000,37.0946854309253,3,9
2401076,66,21,1-66-2024-021-10,10,2,1,2,Event Record 2,1,21859,1,2,1.1000,1,9997.0000,3.0000,65.0000,0.0000,147.5000,242.389498710963,6,9
2400428,62,15,1-62-2024-015-03,3,1,1,1,Side Crash,2,999997,7,97,0.3300,7,9997.0000,997.0000,9997.0000,997.0000,9997.0000,402.933322814975,7,9
2400428,62,15,1-62-2024-015-03,3,2,1,1,Most Recent Event,2,9066,0,97,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,402.933322814975,7,9
2400428,62,15,1-62-2024-015-03,3,2,1,4,3rd Prior Event,1,9066,0,97,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,402.933322814975,7,9
2400666,20,17,1-20-2024-017-03,3,1,1,9,Rollover,2,7576,0,97,0.2990,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,27.4936400859491,11,9
2401683,32,64,1-32-2024-064-05,5,2,1,1,Event Record 1,1,10390,0,1,9997.0000,1,287.5000,-13.0000,287.5000,-4.0000,102.5000,17.9817909745579,7,9
2400161,62,8,1-62-2024-008-09,9,2,1,2,1st Prior Frontal/Rear Event,97,999997,7,97,9997.0000,7,9997.0000,2.1000,9997.0000,997.0000,9997.0000,3480.57935768494,7,9
2400155,77,5,1-77-2024-005-04,4,1,1,4,3rd Prior Event,97,999997,7,97,9997.0000,1,9997.0000,-13.0000,9997.0000,997.0000,9997.0000,1319.74978076648,9,9
