CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EDRSUMMNO,EDREVENTNO,LFBELT,LF1STAGEDEP,LF2STAGEDEP,LFSWITCH,LFDISPOSAL,LFSIDEDEPTIME,LFCURTDEPTIME,LFPRETENDEPTIME,LFRETRACTDEPTIME,LFBUCKDEPTIME,LFTRACKPOS,LFOCCSIZE,LFOCCPOS,RFBELT,RF1STAGEDEP,RF2STAGEDEP,RFSWITCH,RFDISPOSAL,RFSIDEDEPTIME,RFCURTDEPTIME,RFPRETENDEPTIME,RFRETRACTDEPTIME,RFBUCKDEPTIME,RFTRACKPOS,RFOCCSIZE,RFOCCPOS,CASEWGT,PSUSTRAT,VERSION
2403355,60,38,1-60-2024-038-06,6,1,1,1,1,48.00,53.00,7,0,9997.00,9997.00,9997.00,9997.00,9997.00,0,7,7,0,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,0,0,7,504.487771668491,8,9
2404179,60,59,1-60-2024-059-NM1,21,2,1,1,1,211.00,361.00,7,8,9995.00,9995.00,9994.00,9999.00,9994.00,0,7,7,0,211.00,251.00,7,8,9995.00,9995.00,9994.00,9999.00,9994.00,7,7,7,43.22330010499,8,9
2405636,60,92,1-60-2024-092-03,3,1,1,1,1,0.00,9997.00,7,0,9997.00,9997.00,9997.00,9997.00,9997.00,7,7,7,1,0.00,9997.00,7,0,9997.00,9997.00,9997.00,9997.00,9997.00,7,5,7,225.387841771132,8,9
2405609,82,160,1-82-2024-160-02,2,1,1,8,0,9995.00,9995.00,7,8,9995.00,9995.00,9995.00,9997.00,9997.00,0,7,7,0,9995.00,9995.00,7,8,9995.00,9995.00,9995.00,9997.00,9997.00,7,4,7,23.9814262485552,1,9
2401963,27,61,1-27-2024-061-06,6,2,1,1,0,9995.00,9995.00,7,6,9995.00,9995.00,9995.00,9997.00,9997.00,8,8,7,0,9995.00,9995.00,7,6,9995.00,9995.00,9995.00,9997.00,9997.00,8,0,7,21.2396268743235,3,9
2402393,77,81,1-77-2024-081-06,6,2,1,1,1,9995.00,9995.00,7,6,9995.00,9995.00,9995.00,9997.00,9997.00,8,8,7,0,9995.00,9995.00,7,6,9995.00,9995.00,9995.00,9997.00,9997.00,8,4,7,396.912628940669,9,9
2404406,62,129,1-62-2024-129-02,2,1,1,1,0,9995.00,9995.00,7,8,9995.00,9997.00,9995.00,9995.00,9995.00,0,7,7,0,9995.00,9995.00,7,8,9995.00,9997.00,9995.00,9995.00,9995.00,0,5,7,41.3368831287418,7,9
2403071,69,61,1-69-2024-061-03,3,1,1,1,7,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,7,7,7,7,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,7,7,7,24.0868849457621,8,9
2403884,69,85,1-69-2024-085-04,4,2,1,1,1,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,7,7,7,0,9997.00,9997.00,1,8,9997.00,9997.00,9997.00,9997.00,9997.00,7,7,7,89.8384928002341,8,9
2406153,69,158,1-69-2024-158-05,5,1,1,1,1,24.00,174.00,7,8,9995.00,9995.00,9994.00,9999.00,9994.00,0,7,7,0,24.00,174.00,7,8,9994.00,9994.00,9995.00,9995.00,9995.00,0,7,7,7.30201599951961,8,9
