CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EDRSUMMNO,NUMEVENTS,CDRVERCOLL,CDRVERREPT,MODTYPE,IGCYCDOWN,CASEWGT,PSUSTRAT,VERSION
2400077,59,3,1-59-2024-003-02,2,1,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,16609,48.7900687173874,6,9
2400078,59,4,1-59-2024-004-08,8,1,1,3,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,16667,111.392066987082,6,9
2400135,21,2,1-21-2024-002-07,7,1,1,1,Crash Data Retrieval Tool 23.3,Crash Data Retrieval Tool 24.3.648,1,15704,8974.81562110273,11,9
2400139,29,2,1-29-2024-002-03,3,2,1,1,Crash Data Retrieval Tool 23.3,Crash Data Retrieval Tool 24.3.648,1,4084,526.965913964518,2,9
2400138,15,3,1-15-2024-003-06,6,2,1,2,Crash Data Retrieval Tool 23.3,Crash Data Retrieval Tool 24.3.648,1,12045,70.1346927021324,1,9
2400146,22,3,1-22-2024-003-06,6,1,1,2,Crash Data Retrieval Tool 23.3,Crash Data Retrieval Tool 24.3.648,1,11711,264.995949253924,12,9
2400146,22,3,1-22-2024-003-06,6,2,1,1,Crash Data Retrieval Tool 23.3,Crash Data Retrieval Tool 24.3.648,1,999997,264.995949253924,12,9
2400144,18,3,1-18-2024-003-06,6,2,1,1,Crash Data Retrieval Tool 23.3,Crash Data Retrieval Tool 24.3.648,1,999997,261.884069240543,6,9
2400148,79,6,1-79-2024-006-09,9,1,1,4,Crash Data Retrieval Tool 23.3,Crash Data Retrieval Tool 24.3.648,1,11751,134.548153434236,8,9
2400151,81,6,1-81-2024-006-03,3,2,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,2194,368.540152823667,8,9
2400154,77,4,1-77-2024-004-05,5,1,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,11159,90.6570748528622,9,9
2400155,77,5,1-77-2024-005-04,4,1,1,4,Crash Data Retrieval Tool 23.3,Crash Data Retrieval Tool 24.3.648,1,999997,1319.74978076648,9,9
2400157,73,5,1-73-2024-005-03,3,1,1,1,Crash Data Retrieval Tool 23.3,Crash Data Retrieval Tool 24.3.648,1,6668,23.5881329232141,3,9
2400155,77,5,1-77-2024-005-04,4,2,1,1,Crash Data Retrieval Tool 23.3,Crash Data Retrieval Tool 24.3.648,1,7537,1319.74978076648,9,9
2400158,73,6,1-73-2024-006-06,6,1,1,3,Crash Data Retrieval Tool 23.3,Crash Data Retrieval Tool 24.3.648,1,14830,61.3505113045855,3,9
2400155,77,5,1-77-2024-005-04,4,3,1,0,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,999997,1319.74978076648,9,9
2400159,73,7,1-73-2024-007-09,9,1,1,3,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,999997,119.848974462893,3,9
2400156,77,6,1-77-2024-006-06,6,1,1,2,Crash Data Retrieval Tool 23.3,Crash Data Retrieval Tool 24.3.648,1,4969,1192.83431401126,9,9
2403669,48,120,1-48-2024-120-03,3,2,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,14655,54.9604072040948,12,9
2403681,48,122,1-48-2024-122-06,6,1,1,2,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,20855,94.3884388953899,12,9
2403677,10,61,1-10-2024-061-03,3,1,1,2,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,12689,95.3279654203058,4,9
2403677,10,61,1-10-2024-061-03,3,2,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,460,95.3279654203058,4,9
2403672,18,99,1-18-2024-099-04,4,2,1,2,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,4826,214.488758379428,6,9
2403649,81,87,1-81-2024-087-04,4,2,1,3,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,2932,1054.52369162555,8,9
2403683,57,89,1-57-2024-089-03,3,1,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,7688,142.803718227195,1,9
2403688,54,90,1-54-2024-090-09,9,1,1,2,Crash Data Retrieval Tool 23.3,Crash Data Retrieval Tool 24.3.648,1,19428,117.274582131211,9,9
2403685,12,62,1-12-2024-062-03,3,2,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,17026,164.057323491007,9,9
2403686,12,63,1-12-2024-063-09,9,1,1,0,Crash Data Retrieval Tool 23.4.1,Crash Data Retrieval Tool 24.3.648,2,999997,1204.16320291651,9,9
2403687,12,64,1-12-2024-064-04,4,2,1,0,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,999997,633.331791547114,9,9
2403692,17,113,1-17-2024-113-08,8,1,1,1,Crash Data Retrieval Tool 24.0,Crash Data Retrieval Tool 24.3.648,1,19077,129.915935315377,4,9
2403697,33,63,1-33-2024-063-01,1,1,1,2,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,16741,35.1791324819626,12,9
2403694,17,115,1-17-2024-115-06,6,1,1,2,Crash Data Retrieval Tool 24.0,Crash Data Retrieval Tool 24.3.648,1,14223,499.364284240013,4,9
2403693,17,114,1-17-2024-114-07,7,1,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,8329,1761.97755269954,4,9
2403695,17,116,1-17-2024-116-02,2,1,1,8,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,4425,95.1292066667208,4,9
2403701,20,98,1-20-2024-098-03,3,2,1,1,E-N-H-01-00-0062,EDR002-R01,1,5649,186.446044786686,11,9
2403704,24,104,1-24-2024-104-06,6,1,1,2,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,7145,119.641759930104,1,9
