CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,GLAZLOC,GLAZTYPE,GLAZPRE,GLAZIMP,GLAZOCC,CASEWGT,PSUSTRAT,VERSION
2400024,62,1,1-62-2024-001-06,6,1,1,1,1,2,3,63.0744733826381,7,9
2400033,19,2,1-19-2024-002-05,5,1,1,1,1,2,3,49.1552833588875,9,9
2400097,19,3,1-19-2024-003-03,3,1,1,1,1,1,3,130.467157753061,9,9
2400130,27,3,1-27-2024-003-08,8,1,1,1,1,2,3,27.4102566170998,3,9
2400158,73,6,1-73-2024-006-06,6,1,1,1,1,1,3,61.3505113045855,3,9
2400158,73,6,1-73-2024-006-06,6,1,7,2,2,1,2,61.3505113045855,3,9
2400156,77,6,1-77-2024-006-06,6,1,1,1,1,1,3,1192.83431401126,9,9
2400152,81,7,1-81-2024-007-02,2,3,1,1,1,2,3,23.5191438097523,8,9
2400170,13,3,1-13-2024-003-02,2,1,10,2,1,6,1,10.955434091132,7,9
2400200,19,5,1-19-2024-005-08,8,2,1,1,1,2,3,143.73874178702,9,9
2400213,14,3,1-14-2024-003-03,3,1,1,1,1,1,3,1131.22927972053,8,9
2400222,25,3,1-25-2024-003-05,5,2,1,1,1,2,3,47.0105431448925,2,9
2400235,27,7,1-27-2024-007-06,6,1,1,1,1,1,2,61.805879129382,3,9
2400263,21,5,1-21-2024-005-08,8,1,3,99,9,9,9,74.902781366511,11,9
2403575,20,97,1-20-2024-097-02,2,1,2,2,3,1,9,19.9171728154044,11,9
2403575,20,97,1-20-2024-097-02,2,1,3,2,9,6,9,19.9171728154044,11,9
2403575,20,97,1-20-2024-097-02,2,1,4,2,9,6,9,19.9171728154044,11,9
2403575,20,97,1-20-2024-097-02,2,1,5,6,1,1,9,19.9171728154044,11,9
2403575,20,97,1-20-2024-097-02,2,1,7,2,9,6,9,19.9171728154044,11,9
2403575,20,97,1-20-2024-097-02,2,1,8,6,1,6,9,19.9171728154044,11,9
2403575,20,97,1-20-2024-097-02,2,1,10,6,1,6,9,19.9171728154044,11,9
2403575,20,97,1-20-2024-097-02,2,1,13,6,9,6,9,19.9171728154044,11,9
2403572,33,61,1-33-2024-061-02,2,2,1,1,1,2,3,26.28784040081,12,9
2403586,69,77,1-69-2024-077-08,8,1,2,2,2,6,1,99.4639493060289,8,9
2403616,32,123,1-32-2024-123-NM1,21,1,1,1,1,3,2,73.4062485290255,7,9
2403623,17,112,1-17-2024-112-09,9,1,1,1,1,2,3,124.444730519243,4,9
2403621,27,116,1-27-2024-116-06,6,1,1,1,1,1,3,35.6254961100411,3,9
2403624,82,92,1-82-2024-092-06,6,2,1,1,1,2,3,333.226313697198,1,9
2400263,21,5,1-21-2024-005-08,8,1,10,99,1,9,9,74.902781366511,11,9
2400279,77,9,1-77-2024-009-08,8,1,1,1,1,2,3,102.349519441103,9,9
2400287,81,9,1-81-2024-009-06,6,1,1,1,1,2,3,1021.97406520686,8,9
2400271,10,5,1-10-2024-005-01,1,1,1,1,1,2,3,29.6296036839938,4,9
2400271,10,5,1-10-2024-005-01,1,1,3,2,2,6,1,29.6296036839938,4,9
2400271,10,5,1-10-2024-005-01,1,1,7,5,2,2,1,29.6296036839938,4,9
2400348,16,9,1-16-2024-009-01,1,1,2,2,2,6,1,15.8174891263142,5,9
2400348,16,9,1-16-2024-009-01,1,1,3,2,2,6,1,15.8174891263142,5,9
2400348,16,9,1-16-2024-009-01,1,1,7,2,2,6,1,15.8174891263142,5,9
2400348,16,9,1-16-2024-009-01,1,1,8,2,1,6,1,15.8174891263142,5,9
2400351,69,7,1-69-2024-007-05,5,1,1,1,1,2,4,9.01516669072706,8,9
2400370,28,6,1-28-2024-006-09,9,1,1,1,1,1,3,112.3042323572,3,9
2400399,16,12,1-16-2024-012-05,5,1,1,1,1,2,3,15.6592746300539,5,9
2400327,30,8,1-30-2024-008-03,3,2,1,1,1,2,3,147.061529962125,10,9
2400441,48,19,1-48-2024-019-06,6,2,2,99,9,9,8,331.155309276651,12,9
2400425,81,13,1-81-2024-013-08,8,1,1,1,1,1,3,473.74855910244,8,9
