CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,INTEGRITY,CASEWGT,PSUSTRAT,VERSION
2403960,33,70,1-33-2024-070-08,8,2,9,29.5346785988684,12,9
2405437,82,156,1-82-2024-156-03,3,1,0,149.786835379749,1,9
2403216,16,94,1-16-2024-094-01,1,2,1,47.1549460249765,5,9
2403216,16,94,1-16-2024-094-01,1,2,4,47.1549460249765,5,9
2403216,16,94,1-16-2024-094-01,1,2,6,47.1549460249765,5,9
2400204,54,9,1-54-2024-009-05,5,2,7,144.976226836895,9,9
2401512,13,41,1-13-2024-041-01,1,1,7,142.42459784573,7,9
2400819,81,19,1-81-2024-019-01,1,1,5,96.2081604062078,8,9
2400631,69,12,1-69-2024-012-08,8,2,0,148.766413435097,8,9
2400127,26,2,1-26-2024-002-06,6,1,2,1075.13840105018,10,9
2400070,13,2,1-13-2024-002-01,1,1,7,148.493580370567,7,9
2401001,69,17,1-69-2024-017-02,2,2,1,17.6221452227151,8,9
2400852,30,27,1-30-2024-027-05,5,2,6,31.7722666149377,10,9
2400687,57,15,1-57-2024-015-02,2,1,1,36.8561902184078,1,9
2400166,48,9,1-48-2024-009-01,1,1,6,73.4941053746274,12,9
2400807,25,19,1-25-2024-019-03,3,3,6,107.654306093074,2,9
2400760,30,25,1-30-2024-025-02,2,1,6,16.2875943881497,10,9
2400872,57,18,1-57-2024-018-02,2,3,6,9.61567555511826,1,9
2400340,24,7,1-24-2024-007-08,8,1,0,59.5669287216797,1,9
2400271,10,5,1-10-2024-005-01,1,1,6,29.6296036839938,4,9
2405914,17,193,1-17-2024-193-05,5,2,0,73.9642155230616,4,9
2402084,24,51,1-24-2024-051-09,9,2,0,2577.43990619842,1,9
2401586,22,47,1-22-2024-047-10,10,2,0,520.337693702736,12,9
2404199,28,132,1-28-2024-132-07,7,1,0,77.5080834922841,3,9
2404242,17,133,1-17-2024-133-04,4,2,0,172.988606472898,4,9
2402570,32,93,1-32-2024-093-05,5,1,0,52.966553872157,7,9
2402570,32,93,1-32-2024-093-05,5,3,0,52.966553872157,7,9
2402576,48,84,1-48-2024-084-06,6,2,6,86.4307074675267,12,9
2402029,62,50,1-62-2024-050-05,5,1,1,183.403138311325,7,9
2404734,15,181,1-15-2024-181-08,8,1,0,24.1312824272688,1,9
2404740,82,127,1-82-2024-127-05,5,1,0,23.9814262485552,1,9
2402968,20,83,1-20-2024-083-09,9,1,0,339.011405965121,11,9
2402968,20,83,1-20-2024-083-09,9,2,0,339.011405965121,11,9
2400804,66,13,1-66-2024-013-06,6,1,0,124.972344097308,6,9
2401886,57,37,1-57-2024-037-03,3,1,0,168.570265700135,1,9
2401886,57,37,1-57-2024-037-03,3,2,0,168.570265700135,1,9
2401394,25,30,1-25-2024-030-09,9,1,0,123.800297630527,2,9
2401145,69,20,1-69-2024-020-03,3,2,0,75.2386140829049,8,9
2402719,25,67,1-25-2024-067-06,6,2,0,312.083424999818,2,9
2404391,59,129,1-59-2024-129-02,2,1,0,48.7900687173874,6,9
2402476,16,74,1-16-2024-074-03,3,2,0,168.955904269261,5,9
2402227,16,65,1-16-2024-065-05,5,1,0,20.614517650874,5,9
2402227,16,65,1-16-2024-065-05,5,2,0,20.614517650874,5,9
2405965,28,180,1-28-2024-180-07,7,1,0,380.711991081105,3,9
2400063,29,1,1-29-2024-001-04,4,2,0,398.469602501026,2,9
2405473,32,148,1-32-2024-148-02,2,1,0,15.2800393080999,7,9
2405132,17,166,1-17-2024-166-07,7,1,0,1222.27023854147,4,9
2403950,48,127,1-48-2024-127-09,9,1,0,454.362406013,12,9
2403950,48,127,1-48-2024-127-09,9,2,0,454.362406013,12,9
2403999,25,104,1-25-2024-104-09,9,1,0,1107.00046057656,2,9
2400753,19,15,1-19-2024-015-06,6,2,0,694.278924469739,9,9
2406163,17,202,1-17-2024-202-03,3,2,0,56.2627107467575,4,9
2401786,18,66,1-18-2024-066-04,4,1,0,655.073704482614,6,9
2401245,79,28,1-79-2024-028-04,4,1,0,222.177481341307,8,9
2401294,27,40,1-27-2024-040-04,4,1,0,94.2504458585864,3,9
2405573,14,110,1-14-2024-110-02,2,2,0,73.7387227230028,8,9
2405032,77,161,1-77-2024-161-05,5,1,5,90.6570748528622,9,9
2405032,77,161,1-77-2024-161-05,5,1,6,90.6570748528622,9,9
2405032,77,161,1-77-2024-161-05,5,1,7,90.6570748528622,9,9
2402917,81,60,1-81-2024-060-04,4,2,0,1581.17356728117,8,9
2400114,14,2,1-14-2024-002-07,7,1,0,1752.86120972687,8,9
2400114,14,2,1-14-2024-002-07,7,2,7,1752.86120972687,8,9
2400163,18,4,1-18-2024-004-07,7,2,0,1361.28415936014,6,9
2400655,21,13,1-21-2024-013-03,3,1,9,177.853805987358,11,9
2400704,81,17,1-81-2024-017-06,6,1,0,2054.68257038709,8,9
2406114,11,185,1-11-2024-185-06,6,2,0,982.981326542976,8,9
2403930,29,49,1-29-2024-049-04,4,2,0,562.25403332024,2,9
2406183,32,159,1-32-2024-159-02,2,1,0,33.6745556127473,7,9
2406254,33,110,1-33-2024-110-04,4,2,0,330.088144283669,12,9
2401938,60,20,1-60-2024-020-02,2,1,0,98.7373875661215,8,9
2401938,60,20,1-60-2024-020-02,2,2,0,98.7373875661215,8,9
2401013,11,24,1-11-2024-024-03,3,1,0,85.9711922432037,8,9
2404594,14,85,1-14-2024-085-05,5,1,0,76.4230415651045,8,9
2404594,14,85,1-14-2024-085-05,5,2,0,76.4230415651045,8,9
2404262,60,62,1-60-2024-062-04,4,1,0,795.683244945331,8,9
2404262,60,62,1-60-2024-062-04,4,2,0,795.683244945331,8,9
2402602,69,48,1-69-2024-048-05,5,1,0,20.2105701272305,8,9
2402270,66,52,1-66-2024-052-10,10,1,0,242.389498710963,6,9
2402009,30,67,1-30-2024-067-03,3,3,0,502.051585863858,10,9
2400349,16,10,1-16-2024-010-04,4,1,0,437.74021765386,5,9
2405057,17,162,1-17-2024-162-04,4,2,0,397.570667842794,4,9
2404762,66,94,1-66-2024-094-10,10,1,0,242.389498710963,6,9
2402993,27,94,1-27-2024-094-07,7,2,0,35.5728790039804,3,9
2403088,24,84,1-24-2024-084-09,9,2,0,96.3610685705963,1,9
2403254,15,127,1-15-2024-127-05,5,1,0,13.6400789963135,1,9
2403254,15,127,1-15-2024-127-05,5,2,4,13.6400789963135,1,9
2403491,14,59,1-14-2024-059-04,4,1,0,894.026417553178,8,9
2403752,27,119,1-27-2024-119-03,3,1,6,32.3914110115022,3,9
2403752,27,119,1-27-2024-119-03,3,2,0,32.3914110115022,3,9
2404250,21,90,1-21-2024-090-04,4,1,0,291.806377579817,11,9
2404250,21,90,1-21-2024-090-04,4,2,0,291.806377579817,11,9
2402827,57,64,1-57-2024-064-06,6,1,0,721.306737429465,1,9
2402827,57,64,1-57-2024-064-06,6,2,0,721.306737429465,1,9
2402590,33,43,1-33-2024-043-05,5,1,0,25.3427821602115,12,9
2401831,27,58,1-27-2024-058-07,7,2,0,79.1723766293606,3,9
2401333,26,35,1-26-2024-035-01,1,3,0,37.8344754262411,10,9
2405246,31,109,1-31-2024-109-10,10,1,0,419.593794787767,6,9
2404748,17,152,1-17-2024-152-04,4,1,0,380.588800310182,4,9
2404748,17,152,1-17-2024-152-04,4,2,0,380.588800310182,4,9
2403609,28,107,1-28-2024-107-06,6,1,9,61.8342882077077,3,9
2404107,60,57,1-60-2024-057-07,7,1,0,5732.58189021946,8,9
2404107,60,57,1-60-2024-057-07,7,2,0,5732.58189021946,8,9
2406265,17,203,1-17-2024-203-02,2,1,0,71.3662616428737,4,9
2406265,17,203,1-17-2024-203-02,2,2,0,71.3662616428737,4,9
2406314,81,164,1-81-2024-164-07,7,1,0,307.519910408279,8,9
2404605,13,75,1-13-2024-075-08,8,1,0,444.288622217649,7,9
2404273,81,103,1-81-2024-103-NM1,21,3,0,34.7221032435964,8,9
2401808,16,52,1-16-2024-052-05,5,1,0,17.1930300888655,5,9
2400314,17,9,1-17-2024-009-03,3,1,0,60.7880401010966,4,9
2400314,17,9,1-17-2024-009-03,3,2,0,60.7880401010966,4,9
2405767,77,184,1-77-2024-184-03,3,1,0,184.132204995162,9,9
2405816,14,116,1-14-2024-116-10,10,2,0,24230.4540548434,8,9
2405269,62,157,1-62-2024-157-04,4,2,0,1438.83646958712,7,9
2403205,66,67,1-66-2024-067-08,8,2,0,136.694074174878,6,9
2403872,12,69,1-12-2024-069-04,4,2,0,269.223385585816,9,9
2400786,26,17,1-26-2024-017-03,3,3,0,381.076602666498,10,9
2400955,59,33,1-59-2024-033-06,6,1,0,293.492594938454,6,9
2406196,27,190,1-27-2024-190-04,4,2,0,148.721534412378,3,9
2402209,25,52,1-25-2024-052-03,3,1,0,72.4488725969622,2,9
2402209,25,52,1-25-2024-052-03,3,2,0,72.4488725969622,2,9
2401880,54,44,1-54-2024-044-10,10,1,0,594.813207503092,9,9
2401951,52,28,1-52-2024-028-10,10,1,0,9291.95853337927,12,9
2401216,57,25,1-57-2024-025-03,3,2,0,150.626658607379,1,9
2405126,15,199,1-15-2024-199-06,6,1,0,108.78223753879,1,9
2405126,15,199,1-15-2024-199-06,6,2,0,108.78223753879,1,9
