CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,INTRUNO,SEATLOC,INTCOMP,INTRUSION,INTMAG,INTDIRECT,CASEWGT,PSUSTRAT,VERSION
2404973,21,116,1-21-2024-116-01,1,1,9,88,96,999,8,8,21.1221156250567,11,9
2400776,27,27,1-27-2024-027-06,6,2,1,13,16,26,3,3,20.2078569673904,3,9
2400776,27,27,1-27-2024-027-06,6,2,2,23,8,13,2,3,20.2078569673904,3,9
2400776,27,27,1-27-2024-027-06,6,2,3,23,14,20,3,3,20.2078569673904,3,9
2400776,27,27,1-27-2024-027-06,6,2,4,23,6,3,1,3,20.2078569673904,3,9
2405946,16,128,1-16-2024-128-02,2,1,1,11,21,2,0,2,28.4733610013342,5,9
2405946,16,128,1-16-2024-128-02,2,1,2,11,2,3,1,2,28.4733610013342,5,9
2405946,16,128,1-16-2024-128-02,2,1,3,12,3,6,1,2,28.4733610013342,5,9
2405946,16,128,1-16-2024-128-02,2,1,4,12,21,2,0,2,28.4733610013342,5,9
2405946,16,128,1-16-2024-128-02,2,1,5,13,21,8,2,2,28.4733610013342,5,9
2405946,16,128,1-16-2024-128-02,2,1,6,13,4,24,3,2,28.4733610013342,5,9
2405946,16,128,1-16-2024-128-02,2,1,7,13,5,2,0,2,28.4733610013342,5,9
2405946,16,128,1-16-2024-128-02,2,1,8,13,15,4,1,3,28.4733610013342,5,9
2405946,16,128,1-16-2024-128-02,2,1,9,13,6,999,2,2,28.4733610013342,5,9
2405946,16,128,1-16-2024-128-02,2,1,10,13,12,999,2,3,28.4733610013342,5,9
2405946,16,128,1-16-2024-128-02,2,1,11,11,5,999,1,2,28.4733610013342,5,9
2405946,16,128,1-16-2024-128-02,2,1,12,88,96,999,8,8,28.4733610013342,5,9
2402411,54,61,1-54-2024-061-08,8,1,1,11,22,999,9,2,161.994257211147,9,9
2402411,54,61,1-54-2024-061-08,8,1,2,13,7,999,9,2,161.994257211147,9,9
2402411,54,61,1-54-2024-061-08,8,1,3,13,2,999,9,2,161.994257211147,9,9
2402411,54,61,1-54-2024-061-08,8,1,4,13,4,999,9,2,161.994257211147,9,9
2402411,54,61,1-54-2024-061-08,8,1,5,12,3,999,9,2,161.994257211147,9,9
2402411,54,61,1-54-2024-061-08,8,1,7,12,34,999,9,2,161.994257211147,9,9
2402411,54,61,1-54-2024-061-08,8,1,8,13,8,8,2,2,161.994257211147,9,9
2402411,54,61,1-54-2024-061-08,8,1,9,12,6,999,9,2,161.994257211147,9,9
2402411,54,61,1-54-2024-061-08,8,1,6,12,19,999,9,2,161.994257211147,9,9
2402411,54,61,1-54-2024-061-08,8,1,10,13,30,999,9,2,161.994257211147,9,9
2402411,54,61,1-54-2024-061-08,8,1,11,13,24,999,9,2,161.994257211147,9,9
2402079,11,52,1-11-2024-052-03,3,2,1,13,19,22,3,1,212.616287924737,8,9
2402079,11,52,1-11-2024-052-03,3,2,2,12,19,12,2,1,212.616287924737,8,9
2402079,11,52,1-11-2024-052-03,3,2,3,11,19,3,1,1,212.616287924737,8,9
2402079,11,52,1-11-2024-052-03,3,2,4,11,21,14,2,2,212.616287924737,8,9
2402079,11,52,1-11-2024-052-03,3,2,5,12,21,13,2,2,212.616287924737,8,9
2402079,11,52,1-11-2024-052-03,3,2,6,13,21,19,3,2,212.616287924737,8,9
2402079,11,52,1-11-2024-052-03,3,2,7,13,20,10,2,1,212.616287924737,8,9
2402079,11,52,1-11-2024-052-03,3,2,8,13,22,999,3,1,212.616287924737,8,9
2402079,11,52,1-11-2024-052-03,3,2,9,12,22,999,2,1,212.616287924737,8,9
2402079,11,52,1-11-2024-052-03,3,2,10,11,22,999,1,1,212.616287924737,8,9
2402079,11,52,1-11-2024-052-03,3,2,11,13,7,999,2,1,212.616287924737,8,9
2405067,24,142,1-24-2024-142-03,3,2,1,13,15,999,9,3,101.332311537624,1,9
2404403,62,126,1-62-2024-126-02,2,1,1,13,22,5,1,1,41.3368831287418,7,9
2404403,62,126,1-62-2024-126-02,2,1,2,11,21,999,9,2,41.3368831287418,7,9
2404403,62,126,1-62-2024-126-02,2,1,3,13,21,999,9,2,41.3368831287418,7,9
2404618,77,148,1-77-2024-148-10,10,1,1,21,17,8,2,3,257.957670739438,9,9
2404618,77,148,1-77-2024-148-10,10,1,2,11,21,8,2,1,257.957670739438,9,9
2404618,77,148,1-77-2024-148-10,10,1,3,12,21,21,3,1,257.957670739438,9,9
2404618,77,148,1-77-2024-148-10,10,1,4,13,21,13,2,1,257.957670739438,9,9
2404618,77,148,1-77-2024-148-10,10,1,5,12,32,28,3,1,257.957670739438,9,9
2404618,77,148,1-77-2024-148-10,10,1,6,13,19,5,1,1,257.957670739438,9,9
2404618,77,148,1-77-2024-148-10,10,1,7,21,19,999,0,1,257.957670739438,9,9
2404618,77,148,1-77-2024-148-10,10,1,8,13,22,999,0,1,257.957670739438,9,9
2400885,16,26,1-16-2024-026-02,2,1,4,88,96,999,8,8,15.1092509057653,5,9
2402634,27,86,1-27-2024-086-09,9,1,1,11,5,9,2,3,66.9899073843268,3,9
2402634,27,86,1-27-2024-086-09,9,2,1,11,5,13,2,2,66.9899073843268,3,9
2402634,27,86,1-27-2024-086-09,9,2,2,11,15,9,2,3,66.9899073843268,3,9
2402634,27,86,1-27-2024-086-09,9,2,3,21,8,5,1,3,66.9899073843268,3,9
2402634,27,86,1-27-2024-086-09,9,2,4,21,15,8,2,3,66.9899073843268,3,9
2402142,77,73,1-77-2024-073-01,1,1,1,11,2,10,2,2,96.927477716339,9,9
2402142,77,73,1-77-2024-073-01,1,1,2,12,3,12,2,2,96.927477716339,9,9
2402142,77,73,1-77-2024-073-01,1,1,3,13,4,9,2,2,96.927477716339,9,9
2402142,77,73,1-77-2024-073-01,1,1,4,11,5,8,2,2,96.927477716339,9,9
2402142,77,73,1-77-2024-073-01,1,1,5,11,21,8,2,2,96.927477716339,9,9
2402142,77,73,1-77-2024-073-01,1,1,6,12,21,16,3,2,96.927477716339,9,9
2402142,77,73,1-77-2024-073-01,1,1,7,13,21,20,3,2,96.927477716339,9,9
2402142,77,73,1-77-2024-073-01,1,1,8,11,1,22,3,2,96.927477716339,9,9
2405296,19,74,1-19-2024-074-09,9,1,1,11,22,999,1,1,803.524783167018,9,9
2405296,19,74,1-19-2024-074-09,9,1,2,12,19,999,2,1,803.524783167018,9,9
2405296,19,74,1-19-2024-074-09,9,1,3,21,19,999,1,1,803.524783167018,9,9
