CASEID,PSU,CASENO,CASENUMBER,CATEGORY,JKWGT1,JKWGT2,JKWGT3,JKWGT4,JKWGT5,JKWGT6,JKWGT7,JKWGT8,JKWGT9,JKWGT10,JKWGT11,JKWGT12,JKWGT13,JKWGT14,JKWGT15,JKWGT16,JKWGT17,JKWGT18,JKWGT19,JKWGT20,JKWGT21,JKWGT22,JKWGT23,JKWGT24,JKWGT25,JKWGT26,JKWGT27,JKWGT28,JKWGT29,JKWGT30,JKWGT31,JKWGT32,JKWGT33,JKWGT34,JKWGT35,JKWGT36,JKWGT37,JKWGT38,JKWGT39,JKWGT40,CASEWGT,PSUSTRAT,VERSION
2406348,27,193,1-27-2024-193-01,1,42.524353706,42.524353706,42.524353706,42.524353706,42.524353706,42.524353706,43.004129166,42.055381905,0,84.008796183,42.524353706,42.524353706,42.524353706,42.524353706,41.710060852,43.385437259,43.329937417,41.803631956,42.524353706,42.524353706,42.524353706,42.524353706,42.524353706,42.524353706,42.524353706,42.524353706,42.524353706,42.524353706,41.701368483,43.333502688,39.83569537,45.931330326,42.524353706,42.524353706,42.524353706,42.524353706,43.57345664,41.503471803,43.083597452,41.962354534,42.5243537061726,3,9
2400884,14,13,1-14-2024-013-NM2,22,679.67565854,677.52786447,674.06626915,682.36171858,650.22020791,703.79286754,678.22341992,678.14768567,678.36600103,678.0061819,670.440442,687.19463878,679.33884013,678.51632308,677.92343209,678.46328226,678.23360932,678.13964748,709.16018377,654.26710634,675.54845487,681.1749915,829.84740804,577.99425311,0,1526.0183126,666.44738507,689.61304025,678.20168297,678.16869847,677.59662288,678.84211672,691.39981367,667.01921621,685.0041991,671.24950684,678.55794213,677.82959051,678.62022656,677.76088318,678.185114701579,8,9
2400892,31,18,1-31-2024-018-07,7,230.89396651,230.8449959,230.80262168,230.93652155,230.74383772,230.99832641,231.94227663,229.77055158,232.17296423,229.586318,231.05490182,230.68904448,231.0523635,230.69750227,0,476.42845976,250.979209,214.73493594,229.09098362,232.72997016,225.6582449,235.07016889,231.62180493,230.2693486,230.56272137,231.21161869,230.87532249,230.85075348,220.6176142,241.32893828,207.23868526,261.58427456,230.71035553,231.03499391,230.71709846,231.02761474,224.01083643,239.23770102,223.00110693,240.03826538,230.868935151332,6,9
2406372,18,157,1-18-2024-157-06,6,92.770740395,92.770740395,92.770740395,92.770740395,92.770740395,92.770740395,95.302227086,90.395609479,91.049810486,94.564726512,92.770740395,92.770740395,92.770740395,92.770740395,90.734688991,94.898155213,0,178.92920505,92.770740395,92.770740395,92.770740395,92.770740395,92.770740395,92.770740395,92.770740395,92.770740395,92.770740395,92.770740395,92.432105623,93.059190875,94.232720209,90.299693444,92.770740395,92.770740395,92.770740395,92.770740395,96.517465214,89.021650247,87.710756372,98.971427802,92.770740395174,6,9
2401646,12,29,1-12-2024-029-03,3,325.17730249,325.59089753,325.29073513,325.47217182,325.09932697,325.67492478,326.52324773,324.18420195,323.8950823,326.87793013,325.19902435,325.56846505,329.56712967,320.95409952,324.00365597,326.70436167,343.07651117,309.35089697,325.47455987,325.28427781,325.63693421,325.14191224,325.58150823,325.19799287,325.24029925,325.52361225,325.62145849,325.15838745,326.85776537,323.91884527,0,897.09171417,325.57410508,325.19198129,325.11145419,325.66301057,334.77297146,315.96278015,326.85921253,323.85942592,325.380358257164,9,9
2401649,33,27,1-33-2024-027-03,3,17.205429887,17.227313581,17.211431713,17.221031695,17.201304132,17.23175954,17.276645087,17.152884025,17.137586439,17.295411659,17.206579211,17.226126658,17.437699678,16.981976338,17.143331172,17.286227992,18.152493467,16.368040229,17.221158049,17.21109005,17.229749424,17.203557357,17.226816785,17.206524635,17.208763104,17.223753455,17.22893059,17.204429076,17.294344723,17.13884376,13.751867002,23.732973478,17.226425077,17.206206557,17.201945794,17.231129149,17.713145551,16.717881043,0,34.271399654,17.2161737549189,12,9
2401651,69,30,1-69-2024-030-06,6,115.20011794,116.79753351,115.36975869,116.62367112,116.09101845,115.89579831,115.99332624,115.99332624,115.99332624,115.99332624,115.86553246,116.12140223,114.27687404,117.76212736,115.99332624,115.99332624,115.99332624,115.99332624,111.341381,121.05094603,117.17769742,114.8326575,237.56505768,0,116.75571866,115.24082579,117.26761319,114.74643563,115.99332624,115.99332624,115.99332624,115.99332624,115.12172317,116.87822806,116.362348,115.62663765,115.99332624,115.99332624,115.99332624,115.99332624,115.993326241037,8,9
2401652,17,52,1-17-2024-052-07,7,364.3013953,365.16039586,362.6347555,366.78877098,364.70329414,364.69200954,364.58157559,364.81750874,364.70777318,364.69130943,0,707.07681164,364.38601352,365.40279786,364.55726908,364.85250816,364.85259047,364.55939331,366.15270639,362.76074108,433.3220191,315.83918927,396.18700973,339.18557563,358.67181412,371.70737132,356.82026764,371.81968676,364.79059129,364.61067369,364.64854606,364.75504533,361.71046454,367.74611028,365.61917189,363.79648147,364.64890749,364.74924049,364.58795624,364.81322747,364.699531711488,4,9
2406378,16,134,1-16-2024-134-07,7,109.8205134,110.0794635,109.31809633,110.57034548,109.94166785,109.93826605,109.90497517,109.97609842,109.94301808,109.938055,113.41706087,106.57595533,0,220.30507363,109.89764785,109.98664918,109.98667399,109.89828821,110.37860057,109.35607533,130.62713242,95.211334252,119.43259447,102.24922148,108.12344744,112.05308264,107.56528931,112.0869407,109.96798402,109.91374695,109.92516377,109.95726851,109.03946411,110.85894029,110.21776387,109.66830455,109.92527272,109.95551861,109.90689865,109.97480781,109.940533649153,5,9
2401654,17,54,1-17-2024-054-07,7,364.3013953,365.16039586,362.6347555,366.78877098,364.70329414,364.69200954,364.58157559,364.81750874,364.70777318,364.69130943,0,707.07681164,364.38601352,365.40279786,364.55726908,364.85250816,364.85259047,364.55939331,366.15270639,362.76074108,433.3220191,315.83918927,396.18700973,339.18557563,358.67181412,371.70737132,356.82026764,371.81968676,364.79059129,364.61067369,364.64854606,364.75504533,361.71046454,367.74611028,365.61917189,363.79648147,364.64890749,364.74924049,364.58795624,364.81322747,364.699531711488,4,9
2401655,17,55,1-17-2024-055-07,7,364.30139528,365.16039584,362.63475548,366.78877095,364.70329411,364.69200951,364.58157556,364.81750871,364.70777315,364.69130941,0,707.07681159,364.3860135,365.40279783,364.55726905,364.85250813,364.85259045,364.55939328,366.15270636,362.76074106,433.32201907,315.83918924,396.1870097,339.18557561,358.6718141,371.70737129,356.82026761,371.81968673,364.79059126,364.61067367,364.64854604,364.7550453,361.71046451,367.74611025,365.61917186,363.79648144,364.64890747,364.74924046,364.58795622,364.81322744,364.699531685358,4,9
2401657,20,47,1-20-2024-047-10,10,1208.8377039,1239.4800781,1212.1596418,1235.8154601,1224.6938082,1222.5332929,1223.5918645,1223.9852082,1223.2737769,1224.3092424,1220.5506627,1227.0357019,1220.4912615,1220.559965,1218.2842842,1229.8937305,1227.2444869,1220.6468472,1224.2244191,1201.0754259,1236.561898,1211.2775678,1269.4195339,1183.7289218,1266.1872698,1176.1072253,1230.5242259,1216.9860999,1226.055726,1221.5924856,1221.0372328,1226.8453125,1190.0646159,1255.5899894,0,2420.4802833,1223.240349,1224.3285493,1221.3749953,1226.2609069,1223.79041483901,11,9
2406382,52,64,1-52-2024-064-02,2,23.794892522,23.794892522,23.794892522,23.794892522,23.794892522,23.794892522,23.905841489,23.684317049,23.890658463,23.700922284,23.794892522,23.794892522,23.794892522,23.794892522,23.178430517,24.464631431,24.228038567,23.403284391,23.794892522,23.794892522,23.794892522,23.794892522,23.794892522,23.794892522,23.794892522,23.794892522,23.794892522,23.794892522,23.904762659,23.684312005,23.528206822,24.123559587,23.794892522,23.794892522,23.794892522,23.794892522,48.148905186,0,23.690949288,23.908137932,23.7948925221775,12,9
2402008,11,51,1-11-2024-051-03,3,56.985529847,59.019648685,57.672500209,58.331839362,57.78977194,58.194080188,57.995459673,58.004592266,57.9949861,58.005444371,57.949519201,58.049188372,54.419870085,62.102156136,57.993919553,58.006349525,58.061311643,57.944943338,61.76765087,54.031309165,59.359789535,56.741303115,0,111.76425717,60.141886213,55.846225376,59.905091846,56.258427132,58.019407268,57.981437995,58.692690876,56.870661276,57.598641195,58.408835523,58.136629233,57.867061751,58.016842802,57.982713313,57.99819823,58.002040166,58.0001927129368,8,9
2406386,12,128,1-12-2024-128-08,8,295.54788512,295.54788512,295.54788512,295.54788512,295.54788512,295.54788512,298.01321626,293.11657232,298.17238518,292.88464429,295.54788512,295.54788512,295.54788512,295.54788512,276.85927934,316.26043226,292.46946908,298.62121827,295.54788512,295.54788512,295.54788512,295.54788512,295.54788512,295.54788512,295.54788512,295.54788512,295.54788512,295.54788512,283.81900937,310.53597588,0,565.76369676,295.54788512,295.54788512,295.54788512,295.54788512,301.87309827,289.32599297,287.19933015,304.54007905,295.547885122293,9,9
2402009,30,67,1-30-2024-067-03,3,498.30719221,505.85952779,499.21506872,504.92233023,502.04043751,502.08358235,502.01061651,502.08966854,502.00651725,502.09704439,501.2189744,502.89649789,500.98676096,502.7737299,501.99728518,502.10487943,502.58063334,501.57334545,482.05618545,523.78766695,507.57780673,496.66365349,514.44186672,490.25816089,505.13390664,499.01415565,507.94315337,496.31588205,502.21790769,501.88924441,508.04587286,492.2743244,0,1011.1776231,503.23258489,500.89919986,502.19570958,501.9002836,502.03432156,502.06757748,502.051585863858,10,9
2402010,22,61,1-22-2024-061-10,10,425.0964355,429.91071452,425.63783535,429.27866583,427.36730165,427.33197836,431.88415264,423.03109111,427.41313407,427.41108709,426.75040196,428.07248858,432.66195867,419.88065694,415.90800677,439.67142165,442.2910667,413.52995491,445.42729267,401.95226781,427.50705937,427.31747022,432.93729541,423.12791801,439.33132605,413.44043238,425.09350775,429.65394495,429.98765619,424.88053095,410.94199391,445.28279377,418.77972821,435.19772403,431.16105793,424.01971192,0,843.69684787,426.87227908,427.96962882,427.411727770955,12,9
2406389,29,113,1-29-2024-113-NM1,21,106.70972199,108.18940599,106.86686,108.02835748,215.06992397,0,107.44446982,107.44446982,107.44446982,107.44446982,107.32609461,107.56310644,105.85452234,109.08290804,107.44446982,107.44446982,107.44446982,107.44446982,103.13537889,112.12933657,108.54155133,106.36934385,110.02810462,104.97938693,108.15067294,106.74742961,108.62484019,106.28947664,107.44446982,107.44446982,107.44446982,107.44446982,106.63710501,108.26415324,107.78629421,107.10480665,107.44446982,107.44446982,107.44446982,107.44446982,107.444469820023,2,9
2406390,21,161,1-21-2024-161-02,2,98.467298318,99.832689243,98.612298746,99.684080365,99.228795506,99.0619311,99.145293094,99.145293094,99.145293094,99.145293094,99.036061366,99.254766042,97.678155611,100.65717581,99.145293094,99.145293094,99.145293094,99.145293094,95.169043001,103.4682935,100.15763433,98.153211515,101.52936396,96.870617015,99.796947994,98.502093345,100.23448984,98.079513373,99.145293094,99.145293094,99.145293094,99.145293094,98.400290389,99.901662904,198.92142887,0,99.145293094,99.145293094,99.145293094,99.145293094,99.1452930935043,11,9
2406391,22,194,1-22-2024-194-NM1,21,23.396083575,23.396083575,23.396083575,23.396083575,23.396083575,23.396083575,23.644735739,23.152606727,23.406041698,23.386133923,23.396083575,23.396083575,23.396083575,23.396083575,22.869276014,23.947734068,24.142422984,22.694505131,23.396083575,23.396083575,23.396083575,23.396083575,23.396083575,23.396083575,23.396083575,23.396083575,23.396083575,23.396083575,23.493599186,23.29937414,22.545267554,24.313634439,23.396083575,23.396083575,23.396083575,23.396083575,0,46.162808893,23.412764943,23.379425961,23.3960835753343,12,9
2402011,77,67,1-77-2024-067-09,9,658.48137637,659.2945697,659.35537702,658.41923738,657.13764364,660.73085732,663.74248972,654.03967525,666.16978965,651.46222287,656.91233595,661.00567249,659.84977742,657.94820467,663.52774024,654.11511608,676.95412492,641.72970612,660.14260076,657.53840842,655.40078495,661.46829333,660.32044532,657.55046884,655.04849993,663.53921128,659.16518921,658.61976257,689.15490818,632.84020541,1055.2488454,0,696.599913,622.58675698,657.53121498,660.29929127,700.08801706,618.07977431,650.17856296,668.26903316,658.884544648382,9,9
2402012,77,68,1-77-2024-068-09,9,658.48137637,659.2945697,659.35537702,658.41923738,657.13764364,660.73085732,663.74248972,654.03967525,666.16978965,651.46222287,656.91233595,661.00567249,659.84977742,657.94820467,663.52774024,654.11511608,676.95412492,641.72970612,660.14260076,657.53840842,655.40078495,661.46829333,660.32044532,657.55046884,655.04849993,663.53921128,659.16518921,658.61976257,689.15490818,632.84020541,1055.2488454,0,696.599913,622.58675698,657.53121498,660.29929127,700.08801706,618.07977431,650.17856296,668.26903316,658.884544648382,9,9
2401643,73,52,1-73-2024-052-04,4,150.05702043,150.1181281,150.05895876,150.115883,150.05856065,150.11389635,151.33335729,148.84852967,302.57762491,0,150.10464924,150.0693661,150.16581224,150.01635559,147.18509615,153.06155963,152.50670419,147.52327621,151.35600288,148.49927301,150.11038584,150.06412616,150.12809435,150.04777555,150.09252152,150.0813296,150.15923876,150.02122471,152.28059684,148.03334344,151.45092248,148.52326328,150.1382022,150.03873236,150.08061644,150.09325546,150.8728887,149.41892921,151.83377586,148.28222258,150.08691079434,3,9
2406352,26,138,1-26-2024-138-NM1,21,89.079451476,90.314666383,89.210627601,90.180225837,89.768347719,89.617392122,89.692806405,89.692806405,89.692806405,89.692806405,89.593988802,89.79184223,88.365545432,91.060546615,89.692806405,89.692806405,89.692806405,89.692806405,86.095650971,93.603653067,90.608631293,88.795309629,91.849580566,87.634997357,90.282332695,89.110929155,90.678159412,88.728637848,89.692806405,89.692806405,89.692806405,89.692806405,178.03766413,0,89.978155558,89.409261395,89.692806405,89.692806405,89.692806405,89.692806405,89.692806404866,10,9
2402006,17,64,1-17-2024-064-07,7,178.54894729,178.96995486,177.73210501,179.7680431,178.74592324,178.7403925,178.68626736,178.80190133,178.74811847,178.74004937,0,346.54772668,178.5904198,179.08875929,178.67435442,178.81905501,178.81909535,178.67539553,179.45629941,177.79385221,212.37687076,154.79697712,194.17650996,166.23935084,175.78981486,182.17871439,174.88234736,182.23376168,178.78870873,178.70052873,178.71909048,178.77128718,177.27909774,180.2372478,179.19480707,178.30148231,178.71926762,178.76844215,178.6893946,178.79980302,178.74407922116,4,9
2400887,16,28,1-16-2024-028-04,4,720.29976312,728.33797925,720.24788101,728.35218886,714.21315894,733.6401191,724.18159371,724.37008622,724.27972804,724.27162315,735.30458822,713.38838159,0,1414.794287,724.21534421,724.33987914,724.36110872,724.19705945,654.66930857,820.28339984,732.41117538,716.33047496,742.04384572,707.34674264,730.49864692,718.13894017,740.37481217,709.44250303,724.31984287,724.23236308,724.25593537,724.2970707,719.07893939,729.56683172,726.5494147,722.01654669,724.23319832,724.31745969,724.22657386,724.32533577,724.275671728201,5,9
2406358,21,159,1-21-2024-159-06,6,6449.1765332,6538.6036553,6458.6734258,6528.8704251,6499.051262,6488.1223746,6493.5822199,6493.5822199,6493.5822199,6493.5822199,6486.4280204,6500.7522182,6397.4911441,6592.6039125,6493.5822199,6493.5822199,6493.5822199,6493.5822199,6233.1552637,6776.7198021,6559.8861348,6428.605224,6649.7284138,6344.6009049,6536.2627601,6451.455455,6564.9198334,6423.7783187,6493.5822199,6493.5822199,6493.5822199,6493.5822199,6444.7878075,6543.1211279,13028.481871,0,6493.5822199,6493.5822199,6493.5822199,6493.5822199,6493.58221985842,11,9
2406359,21,160,1-21-2024-160-02,2,92.778053023,94.064554367,92.914675613,93.924531816,93.495552413,93.338329101,93.416874604,93.416874604,93.416874604,93.416874604,93.313954069,93.520022422,92.034505417,94.841403737,93.416874604,93.416874604,93.416874604,93.416874604,89.67036436,97.490100617,94.370724775,92.482113533,95.663198578,91.2736248,94.030878176,92.810837662,94.443139719,92.412673523,93.416874604,93.416874604,93.416874604,93.416874604,92.714916679,94.129542867,187.42814305,0,93.416874604,93.416874604,93.416874604,93.416874604,93.4168746042218,11,9
2400888,16,29,1-16-2024-029-09,9,1883.1141742,1937.6789647,1901.3802553,1919.3167915,1868.634388,1950.34995,1910.7897775,1909.7948418,1910.1053604,1910.4645611,1887.0085203,1936.2969137,0,3797.6211967,1910.6286925,1909.9492538,1912.4426302,1908.2580996,1721.9066622,2133.1942734,2210.0699178,1688.8975073,1995.7953948,1833.4431251,1750.4790895,2152.2749873,1858.6346104,1964.0654934,1915.5096604,1905.6747092,1946.5124369,1843.779549,2004.4634461,1818.8251074,1912.4332868,1908.3418355,1912.6235461,1907.8936943,1908.2041503,1912.4838819,1910.29204097108,5,9
2400889,31,15,1-31-2024-015-07,7,401.75550172,401.67029286,401.59656172,401.8295475,401.49427764,401.93708796,403.57956134,399.80075975,403.98095776,399.48019331,402.03552916,401.39893739,402.03111249,401.41365395,0,828.98551999,436.70382367,373.63878854,398.61831149,404.95014808,392.64534612,409.02209388,403.02194058,400.66866656,401.17913519,402.30821653,401.72306113,401.68031105,383.8746487,419.9123526,360.59531236,455.15663773,401.43601862,402.0008894,401.44775132,401.98804965,389.77885538,416.27359978,388.02192605,417.66658177,401.711947163317,6,9
2400890,31,16,1-31-2024-016-10,10,417.32085231,422.04707172,417.85234924,421.42658405,419.55018128,419.5155041,426.12041213,413.32012057,422.27488868,416.91311395,418.94456551,420.2424694,424.74799193,412.20047733,0,833.1310283,397.18578541,441.21745223,437.27983088,394.60002245,419.68738265,419.50126134,425.0182924,415.38834164,431.29536765,405.8780531,417.31797812,421.79499881,394.99379372,445.69670152,645.58179579,303.71823317,411.11968606,427.23737475,423.27454468,416.26382345,426.14649403,413.13668427,412.71462053,427.1450756,419.593794787767,6,9
2400891,31,17,1-31-2024-017-04,4,222.0083757,222.0987841,222.01124345,222.09546249,222.01065445,222.09252325,223.89670771,220.22042156,223.83080391,220.31057855,222.07884222,222.02664104,222.16933247,221.94821233,0,452.9071434,225.63266672,218.25971778,223.9302117,219.70369863,222.08732948,222.01888859,222.1135291,221.99469796,222.06089934,222.04434096,222.15960705,221.95541616,225.29814238,219.0143589,224.07064463,219.73919208,222.1284836,221.98131862,222.04328584,222.06198519,223.21544745,221.06432394,224.63707368,219.38257395,222.052598299916,6,9
2400965,77,32,1-77-2024-032-03,3,110.1317926,110.27186992,110.17021023,110.23165962,110.10538368,110.30032846,110.58764042,109.79544704,109.69752734,110.70776506,110.13914941,110.26427244,111.61854932,108.70146856,109.73429932,110.6489805,116.19393754,104.77166938,110.23246841,110.16802325,110.28746173,110.11980655,110.26868993,110.13880007,110.15312849,110.24908159,110.28222038,110.12538642,110.70093562,109.70557543,176.05113902,0,110.26618261,110.13676406,110.10949095,110.29629333,113.38167572,107.0109971,110.70142575,109.68545115,110.200563996459,9,9
2400966,77,33,1-77-2024-033-09,9,1062.2562199,1063.568056,1063.6661498,1062.1559778,1060.0885224,1065.8850623,1070.7434005,1055.0909077,1074.6590989,1050.9329847,1059.725058,1066.3283916,1064.4637121,1061.3961121,1070.3969686,1055.2126081,1092.0562913,1035.2325764,1064.9360921,1060.7350325,1057.2866376,1067.0746874,1065.2229893,1060.7544882,1056.7183346,1070.4154735,1063.3593406,1062.4794632,1111.7384849,1020.892114,1702.3179238,0,1123.7486995,1004.3513435,1060.7234281,1065.1888638,1129.3756775,997.08071967,1048.8621961,1078.0455796,1062.90660730513,9,9
