CASEID,PSU,CASENO,CASENUMBER,CATEGORY,NMNO,CONFLICTNO,EVENTNO,VEHNO,CONFPLANE,CASEWGT,PSUSTRAT,VERSION
2401146,20,28,1-20-2024-028-NM1,21,1,1,1,1,1,43.971490849978,11,9
2401146,20,28,1-20-2024-028-NM1,21,1,2,1,1,3,43.971490849978,11,9
2401146,20,28,1-20-2024-028-NM1,21,2,1,2,1,1,43.971490849978,11,9
2401146,20,28,1-20-2024-028-NM1,21,2,2,2,1,5,43.971490849978,11,9
2401146,20,28,1-20-2024-028-NM1,21,2,3,2,1,6,43.971490849978,11,9
2401146,20,28,1-20-2024-028-NM1,21,2,4,2,1,2,43.971490849978,11,9
2401146,20,28,1-20-2024-028-NM1,21,2,5,2,1,10,43.971490849978,11,9
2400518,26,10,1-26-2024-010-NM2,22,1,2,1,1,10,585.861766834301,10,9
2400846,82,22,1-82-2024-022-NM2,22,1,2,1,1,10,774.715121583303,1,9
2401442,26,39,1-26-2024-039-NM1,21,1,1,2,2,2,25.7030205312635,10,9
2401206,31,25,1-31-2024-025-NM2,22,1,1,1,1,1,197.377933176122,6,9
2401206,31,25,1-31-2024-025-NM2,22,1,2,1,1,10,197.377933176122,6,9
2401459,15,57,1-15-2024-057-NM2,22,1,1,1,1,1,62.2950385720824,1,9
2400683,59,24,1-59-2024-024-NM1,21,1,1,1,1,1,62.3822922049643,6,9
2400683,59,24,1-59-2024-024-NM1,21,1,2,1,1,10,62.3822922049643,6,9
2400111,16,3,1-16-2024-003-NM2,22,1,1,1,1,1,1277.06637139415,5,9
2401016,24,22,1-24-2024-022-NM1,21,1,1,1,1,1,81.6170730667138,1,9
2401016,24,22,1-24-2024-022-NM1,21,1,2,1,1,5,81.6170730667138,1,9
2401016,24,22,1-24-2024-022-NM1,21,1,3,1,1,6,81.6170730667138,1,9
2400611,24,13,1-24-2024-013-NM2,22,1,1,1,1,1,147.143075961834,1,9
2400611,24,13,1-24-2024-013-NM2,22,1,2,1,1,5,147.143075961834,1,9
2400611,24,13,1-24-2024-013-NM2,22,1,3,1,1,10,147.143075961834,1,9
2401800,60,18,1-60-2024-018-NM1,21,1,1,1,1,1,135.73456108388,8,9
2401800,60,18,1-60-2024-018-NM1,21,1,2,1,1,5,135.73456108388,8,9
2401800,60,18,1-60-2024-018-NM1,21,1,3,1,1,10,135.73456108388,8,9
2401306,26,31,1-26-2024-031-NM1,21,1,1,1,1,1,25.7030205312635,10,9
2401306,26,31,1-26-2024-031-NM1,21,1,2,1,1,5,25.7030205312635,10,9
2401306,26,31,1-26-2024-031-NM1,21,1,3,1,1,6,25.7030205312635,10,9
2401306,26,31,1-26-2024-031-NM1,21,1,4,1,1,10,25.7030205312635,10,9
2400052,27,1,1-27-2024-001-NM1,21,1,3,1,1,10,20.5862279366663,3,9
2401297,27,43,1-27-2024-043-NM1,21,1,1,1,1,1,20.2398432682456,3,9
2401297,27,43,1-27-2024-043-NM1,21,1,2,1,1,5,20.2398432682456,3,9
2401297,27,43,1-27-2024-043-NM1,21,1,3,1,1,6,20.2398432682456,3,9
2401297,27,43,1-27-2024-043-NM1,21,1,4,1,1,10,20.2398432682456,3,9
2401250,30,41,1-30-2024-041-NM1,21,1,1,1,1,3,28.3509494483113,10,9
2401250,30,41,1-30-2024-041-NM1,21,1,2,1,1,5,28.3509494483113,10,9
2400923,21,22,1-21-2024-022-NM1,21,1,1,1,1,1,12.4076963253184,11,9
2400923,21,22,1-21-2024-022-NM1,21,1,2,1,1,6,12.4076963253184,11,9
2400923,21,22,1-21-2024-022-NM1,21,1,3,1,1,10,12.4076963253184,11,9
2401353,10,20,1-10-2024-020-NM2,22,1,1,1,1,1,1035.08583897877,4,9
2401353,10,20,1-10-2024-020-NM2,22,1,2,1,1,10,1035.08583897877,4,9
2400448,82,13,1-82-2024-013-NM2,22,1,1,1,1,1,387.535062825824,1,9
2400448,82,13,1-82-2024-013-NM2,22,1,2,1,1,10,387.535062825824,1,9
2400825,10,13,1-10-2024-013-NM1,21,1,1,1,1,1,60.5767032793963,4,9
2400825,10,13,1-10-2024-013-NM1,21,1,2,1,1,10,60.5767032793963,4,9
2401793,20,53,1-20-2024-053-NM2,22,1,1,1,1,1,172.732860679058,11,9
2401793,20,53,1-20-2024-053-NM2,22,1,2,1,1,10,172.732860679058,11,9
2401489,59,49,1-59-2024-049-NM2,22,1,1,1,1,3,122.869992801552,6,9
2401324,66,26,1-66-2024-026-NM2,22,1,1,1,1,1,110.074249285118,6,9
2401324,66,26,1-66-2024-026-NM2,22,1,2,1,1,5,110.074249285118,6,9
2401324,66,26,1-66-2024-026-NM2,22,1,3,1,1,6,110.074249285118,6,9
2401324,66,26,1-66-2024-026-NM2,22,1,4,1,1,10,110.074249285118,6,9
2401842,22,56,1-22-2024-056-NM2,22,1,1,1,1,3,24.4305122731702,12,9
2401788,69,33,1-69-2024-033-NM1,21,1,1,1,1,1,7.66811372485411,8,9
2401788,69,33,1-69-2024-033-NM1,21,1,3,1,1,6,7.66811372485411,8,9
2401788,69,33,1-69-2024-033-NM1,21,1,5,1,1,10,7.66811372485411,8,9
2401812,24,43,1-24-2024-043-NM1,21,1,1,1,1,1,23.1726143074507,1,9
2401844,26,46,1-26-2024-046-NM1,21,1,1,5,2,5,25.7030205312635,10,9
2401844,26,46,1-26-2024-046-NM1,21,1,2,5,2,6,25.7030205312635,10,9
2401844,26,46,1-26-2024-046-NM1,21,1,3,5,2,10,25.7030205312635,10,9
2401862,30,62,1-30-2024-062-NM2,22,1,1,1,1,1,511.59271785067,10,9
2401755,81,34,1-81-2024-034-NM1,21,1,2,1,1,1,46.909790827141,8,9
2401755,81,34,1-81-2024-034-NM1,21,1,3,1,1,6,46.909790827141,8,9
2401755,81,34,1-81-2024-034-NM1,21,1,4,1,1,10,46.909790827141,8,9
2401453,22,45,1-22-2024-045-NM2,22,1,1,1,1,3,29.8393033504253,12,9
2401179,32,40,1-32-2024-040-NM1,21,1,1,2,2,1,15.2268214619951,7,9
2401179,32,40,1-32-2024-040-NM1,21,1,2,2,2,10,15.2268214619951,7,9
2401980,26,53,1-26-2024-053-NM2,22,1,1,1,1,1,326.204869245419,10,9
2401980,26,53,1-26-2024-053-NM2,22,1,2,1,1,10,326.204869245419,10,9
2404163,25,113,1-25-2024-113-NM2,22,1,1,1,1,3,217.706177804094,2,9
2404163,25,113,1-25-2024-113-NM2,22,1,2,1,1,10,217.706177804094,2,9
2402090,16,59,1-16-2024-059-NM1,21,1,1,1,1,1,19.3635256654646,5,9
2402090,16,59,1-16-2024-059-NM1,21,1,2,1,1,5,19.3635256654646,5,9
2402090,16,59,1-16-2024-059-NM1,21,1,3,1,1,6,19.3635256654646,5,9
2402090,16,59,1-16-2024-059-NM1,21,1,4,2,2,1,19.3635256654646,5,9
2404160,25,110,1-25-2024-110-NM2,22,1,1,1,1,3,217.706177804094,2,9
2404160,25,110,1-25-2024-110-NM2,22,1,2,1,1,10,217.706177804094,2,9
2402306,30,80,1-30-2024-080-NM2,22,1,1,1,1,1,2370.57424915505,10,9
2402306,30,80,1-30-2024-080-NM2,22,1,2,1,1,10,2370.57424915505,10,9
2403275,20,88,1-20-2024-088-NM2,22,1,1,1,1,1,204.607683671141,11,9
2403275,20,88,1-20-2024-088-NM2,22,1,2,1,1,5,204.607683671141,11,9
2403275,20,88,1-20-2024-088-NM2,22,1,3,1,1,6,204.607683671141,11,9
