CASEID,PSU,CASENO,CASENUMBER,CATEGORY,NMNO,DEVICE,MOTORIZATION,NUMWHEELS,FRONTREFLECT_CLEAR,FRONTREFLECT_RED,FRONTREFLECT_AMBER,FRONTREFLECT_OTH,SIDEREFLECT_CLEAR,SIDEREFLECT_RED,SIDEREFLECT_AMBER,SIDEREFLECT_OTH,REARREFLECT_CLEAR,REARREFLECT_RED,REARREFLECT_AMBER,REARREFLECT_OTH,FRONTLIGHT_CLEAR,FRONTLIGHT_RED,FRONTLIGHT_AMBER,FRONTLIGHT_OTH,REARLIGHT_CLEAR,REARLIGHT_RED,REARLIGHT_AMBER,REARLIGHT_OTH,LIGHTFLASH,CASEWGT,PSUSTRAT,VERSION
2405009,30,172,1-30-2024-172-NM2,22,1,9,3,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,699.896518145871,10,9
2402161,62,56,1-62-2024-056-NM1,21,1,3,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,60.6701620601723,7,9
2404700,69,110,1-69-2024-110-NM1,21,1,3,2,2,9,9,9,9,1,0,0,0,9,9,9,9,1,0,0,0,0,1,0,0,2,7.66811372485411,8,9
2404943,24,137,1-24-2024-137-NM2,22,1,5,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,103.775968566411,1,9
2405121,22,155,1-22-2024-155-NM2,22,1,9,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,64.1408737687855,12,9
2402124,28,61,1-28-2024-061-NM2,22,1,3,2,2,9,9,9,9,9,9,9,9,9,9,9,9,0,0,0,0,0,0,0,0,0,37.9334438090452,3,9
2403020,22,90,1-22-2024-090-NM2,22,1,3,3,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,24.4305122731702,12,9
2404886,22,148,1-22-2024-148-NM2,22,1,3,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.1496027167127,12,9
2402434,30,83,1-30-2024-083-NM2,22,1,3,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,361.666104097377,10,9
2403576,30,126,1-30-2024-126-NM2,22,1,3,3,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,516.81832296578,10,9
2404117,24,116,1-24-2024-116-NM2,22,1,3,3,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,150.695729579903,1,9
2401206,31,25,1-31-2024-025-NM2,22,1,5,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,197.377933176122,6,9
2403198,33,54,1-33-2024-054-NM1,21,1,9,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,55.7364737376608,12,9
2403198,33,54,1-33-2024-054-NM1,21,2,9,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,55.7364737376608,12,9
2405491,22,168,1-22-2024-168-NM2,22,1,9,3,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,63.7015832881093,12,9
2403175,10,48,1-10-2024-048-NM2,22,1,3,3,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,917.555786243938,4,9
2404658,81,117,1-81-2024-117-NM1,21,1,9,3,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,26.5893987350207,8,9
2405846,15,225,1-15-2024-225-NM2,22,1,3,3,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,31.8783964598429,1,9
2401615,59,51,1-59-2024-051-NM2,22,1,3,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,173.711917950995,6,9
2401143,30,39,1-30-2024-039-NM2,22,1,3,3,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,269.894765505706,10,9
2403799,69,82,1-69-2024-082-NM1,21,1,3,1,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,2,12.0111452927932,8,9
2402754,26,79,1-26-2024-079-NM2,22,1,97,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1030.55932741376,10,9
2404160,25,110,1-25-2024-110-NM2,22,1,3,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,217.706177804094,2,9
2404652,30,158,1-30-2024-158-NM2,22,1,7,3,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,415.467981801604,10,9
