CASEID,PSU,CASENO,CASENUMBER,CATEGORY,NMNO,NMFACTORTYPE,NMFACTOR,CASEWGT,PSUSTRAT,VERSION
2401800,60,18,1-60-2024-018-NM1,21,1,1,1063,135.73456108388,8,9
2402515,22,71,1-22-2024-071-NM2,22,1,1,1060,85.2845477308788,12,9
2402420,48,79,1-48-2024-079-NM1,21,1,1,1066,85.8427679861707,12,9
2401592,28,42,1-28-2024-042-NM2,22,1,1,1060,37.9334438090452,3,9
2403886,24,109,1-24-2024-109-NM1,21,1,1,1066,23.1726143074507,1,9
2404202,52,45,1-52-2024-045-NM1,21,1,1,1064,23.3488363699868,12,9
2402620,31,52,1-31-2024-052-NM2,22,1,1,1063,197.377933176122,6,9
2404422,33,84,1-33-2024-084-NM1,21,1,1,1013,41.0900179301514,12,9
2402547,59,79,1-59-2024-079-NM1,21,1,1,1061,62.3822922049643,6,9
2403715,25,97,1-25-2024-097-NM2,22,1,1,1063,209.921679437629,2,9
2403715,25,97,1-25-2024-097-NM2,22,1,1,1064,209.921679437629,2,9
2403432,62,93,1-62-2024-093-NM2,22,1,1,1008,1033.17136515517,7,9
2401453,22,45,1-22-2024-045-NM2,22,1,1,1101,29.8393033504253,12,9
2401206,31,25,1-31-2024-025-NM2,22,1,1,1013,197.377933176122,6,9
2400470,30,16,1-30-2024-016-NM2,22,1,1,1060,614.931666902505,10,9
2404100,20,107,1-20-2024-107-NM1,21,1,1,1062,44.2957867500321,11,9
2400815,23,13,1-23-2024-013-NM1,21,1,1,1065,75.3524398717664,5,9
2404100,20,107,1-20-2024-107-NM1,21,1,1,1091,44.2957867500321,11,9
2402990,32,105,1-32-2024-105-NM2,22,1,1,1064,564.925282878733,7,9
2402990,32,105,1-32-2024-105-NM2,22,1,1,1063,564.925282878733,7,9
2403660,10,59,1-10-2024-059-NM2,22,1,1,1063,271.413807736263,4,9
2404502,31,95,1-31-2024-095-NM2,22,1,1,1042,343.437603726452,6,9
2404449,11,136,1-11-2024-136-NM1,21,1,1,1065,37.1071357763572,8,9
2404592,11,140,1-11-2024-140-NM1,21,1,1,1060,37.1071357763572,8,9
2405074,16,123,1-16-2024-123-NM1,21,1,1,1066,43.3211199928482,5,9
2404887,17,158,1-17-2024-158-NM2,22,1,1,1064,62.2469031035836,4,9
2404886,22,148,1-22-2024-148-NM2,22,1,1,1066,35.1496027167127,12,9
2401339,59,43,1-59-2024-043-NM2,22,1,1,1063,260.431399312795,6,9
2402083,24,50,1-24-2024-050-NM1,21,1,1,1008,23.1726143074507,1,9
2401615,59,51,1-59-2024-051-NM2,22,1,1,1063,173.711917950995,6,9
2404163,25,113,1-25-2024-113-NM2,22,1,1,1042,217.706177804094,2,9
2402106,82,48,1-82-2024-048-NM2,22,1,1,1066,217.855164636431,1,9
2405527,48,179,1-48-2024-179-NM1,21,1,1,1060,85.8427679861707,12,9
2405527,48,179,1-48-2024-179-NM1,21,1,1,1087,85.8427679861707,12,9
2405049,30,174,1-30-2024-174-NM1,21,1,1,1063,35.2170995864478,10,9
2403275,20,88,1-20-2024-088-NM2,22,1,1,1008,204.607683671141,11,9
2404202,52,45,1-52-2024-045-NM1,21,1,1,1008,23.3488363699868,12,9
2405303,30,179,1-30-2024-179-NM2,22,1,1,1063,503.501583789456,10,9
2405228,82,149,1-82-2024-149-NM2,22,1,1,1091,530.041651146454,1,9
2405218,28,164,1-28-2024-164-NM2,22,1,1,1062,142.962485684357,3,9
2405595,52,55,1-52-2024-055-NM2,22,1,1,1063,153.764846051201,12,9
2404179,60,59,1-60-2024-059-NM1,21,1,1,1008,43.22330010499,8,9
2403413,81,77,1-81-2024-077-NM1,21,1,1,1060,23.4695700092411,8,9
2406065,79,118,1-79-2024-118-NM1,21,1,1,1008,131.970085856043,8,9
2404463,14,82,1-14-2024-082-NM2,22,1,1,1080,398.655902879135,8,9
2404887,17,158,1-17-2024-158-NM2,22,1,1,1062,62.2469031035836,4,9
2405998,20,141,1-20-2024-141-NM1,21,1,1,1060,35.0220589332575,11,9
2405972,21,146,1-21-2024-146-NM1,21,1,1,1096,9.08918343004306,11,9
2404650,82,126,1-82-2024-126-NM2,22,1,1,1066,272.240647923415,1,9
2404946,60,72,1-60-2024-072-NM1,21,1,1,1065,43.22330010499,8,9
2404887,17,158,1-17-2024-158-NM2,22,1,1,1061,62.2469031035836,4,9
2405218,28,164,1-28-2024-164-NM2,22,1,1,1063,142.962485684357,3,9
2405218,28,164,1-28-2024-164-NM2,22,1,1,1064,142.962485684357,3,9
2406001,81,158,1-81-2024-158-NM2,22,1,1,1060,1666.588526805,8,9
2404943,24,137,1-24-2024-137-NM2,22,1,1,1013,103.775968566411,1,9
