CASEID,PSU,CASENO,CASENUMBER,CATEGORY,NMNO,TRAJCLASS,TRAJTYPE,TRAJCONF,EVIDSPEED,EVIDBRAKE,EVIDSTEERING,EVIDFRP,EVIDSTATURE,EVIDVEHPROFILE,EVIDCORNER,EVIDINITORIENT,EVIDAVOID,EVIDVIDEO,EVIDWITNESS,EVIDEXPERIMENT,EVIDSIM,EVIDOTHER,CASEWGT,PSUSTRAT,VERSION
2404827,25,127,1-25-2024-127-NM1,21,1,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.3961698932894,2,9
2405491,22,168,1-22-2024-168-NM2,22,1,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.7015832881093,12,9
2401183,22,34,1-22-2024-034-NM2,22,1,1,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,24.4305122731702,12,9
2401183,22,34,1-22-2024-034-NM2,22,1,2,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,24.4305122731702,12,9
2403175,10,48,1-10-2024-048-NM2,22,1,1,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,917.555786243938,4,9
2403175,10,48,1-10-2024-048-NM2,22,1,2,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,917.555786243938,4,9
2405096,32,144,1-32-2024-144-NM1,21,1,1,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,65.0700959465246,7,9
2405096,32,144,1-32-2024-144-NM1,21,1,2,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,65.0700959465246,7,9
2405167,57,157,1-57-2024-157-NM1,21,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19.2604769426058,1,9
2403378,16,98,1-16-2024-098-NM1,21,1,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,23.4984908001716,5,9
2401718,21,32,1-21-2024-032-NM2,22,1,1,6,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,2513.96756463306,11,9
2402952,30,102,1-30-2024-102-NM1,21,1,1,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,73.645145385009,10,9
2402952,30,102,1-30-2024-102-NM1,21,1,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,73.645145385009,10,9
