CASEID,PSU,CASENO,CASENUMBER,CATEGORY,NMNO,TRAJCLASS,SEQUENCENO,CONFLICTNO,CASEWGT,PSUSTRAT,VERSION
2400619,16,21,1-16-2024-021-NM1,21,1,2,2,2,61.8147074429554,5,9
2400619,16,21,1-16-2024-021-NM1,21,1,2,3,3,61.8147074429554,5,9
2400625,60,9,1-60-2024-009-NM1,21,1,1,1,1,140.53984277194,8,9
2400625,60,9,1-60-2024-009-NM1,21,1,1,2,3,140.53984277194,8,9
2400625,60,9,1-60-2024-009-NM1,21,1,1,3,4,140.53984277194,8,9
2400625,60,9,1-60-2024-009-NM1,21,1,1,4,2,140.53984277194,8,9
2400625,60,9,1-60-2024-009-NM1,21,1,2,1,1,140.53984277194,8,9
2400625,60,9,1-60-2024-009-NM1,21,1,2,2,3,140.53984277194,8,9
2400625,60,9,1-60-2024-009-NM1,21,1,2,3,4,140.53984277194,8,9
2400630,69,11,1-69-2024-011-NM1,21,1,1,1,1,7.66811372485411,8,9
2400630,69,11,1-69-2024-011-NM1,21,1,1,3,2,7.66811372485411,8,9
2400630,69,11,1-69-2024-011-NM1,21,1,1,4,3,7.66811372485411,8,9
2400630,69,11,1-69-2024-011-NM1,21,1,1,2,4,7.66811372485411,8,9
2400630,69,11,1-69-2024-011-NM1,21,1,2,1,1,7.66811372485411,8,9
2400630,69,11,1-69-2024-011-NM1,21,1,2,3,2,7.66811372485411,8,9
2400630,69,11,1-69-2024-011-NM1,21,1,2,4,3,7.66811372485411,8,9
2400630,69,11,1-69-2024-011-NM1,21,1,2,2,4,7.66811372485411,8,9
2400652,22,18,1-22-2024-018-NM2,22,1,1,1,99,29.4805146666259,12,9
2400662,26,13,1-26-2024-013-NM2,22,1,1,1,1,1176.30815772609,10,9
2400662,26,13,1-26-2024-013-NM2,22,1,1,2,2,1176.30815772609,10,9
2400662,26,13,1-26-2024-013-NM2,22,1,2,1,1,1176.30815772609,10,9
2400662,26,13,1-26-2024-013-NM2,22,1,2,2,2,1176.30815772609,10,9
2400677,11,17,1-11-2024-017-NM1,21,1,1,1,1,37.1071357763572,8,9
2400677,11,17,1-11-2024-017-NM1,21,1,1,4,4,37.1071357763572,8,9
2400677,11,17,1-11-2024-017-NM1,21,1,1,2,2,37.1071357763572,8,9
2400677,11,17,1-11-2024-017-NM1,21,1,1,3,3,37.1071357763572,8,9
2400677,11,17,1-11-2024-017-NM1,21,1,1,5,5,37.1071357763572,8,9
2400678,11,18,1-11-2024-018-NM1,21,1,1,1,1,37.1071357763572,8,9
2400678,11,18,1-11-2024-018-NM1,21,1,1,2,2,37.1071357763572,8,9
2400678,11,18,1-11-2024-018-NM1,21,1,1,3,3,37.1071357763572,8,9
2400678,11,18,1-11-2024-018-NM1,21,1,2,1,1,37.1071357763572,8,9
2400678,11,18,1-11-2024-018-NM1,21,1,2,2,2,37.1071357763572,8,9
2400678,11,18,1-11-2024-018-NM1,21,1,2,3,3,37.1071357763572,8,9
2400683,59,24,1-59-2024-024-NM1,21,1,1,1,1,62.3822922049643,6,9
