CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,CONTACT,CONTACTAREA,CONTCOMP,NMNO,LONGLOC,LATLOC,CRUSH,BOTTOMOUT,BODYREGION,EVIDENCE,CONFIDENCE,CASEWGT,PSUSTRAT,VERSION
2400729,32,21,1-32-2024-021-NM1,21,1,A,1,700,1,999,999,999,0,851,3,3,10.924164677076,7,9
2400729,32,21,1-32-2024-021-NM1,21,1,B,5,770,1,120,30,23,0,811,1,1,10.924164677076,7,9
2400677,11,17,1-11-2024-017-NM1,21,1,A,1,701,1,40,-43,999,0,842,2,3,37.1071357763572,8,9
2400677,11,17,1-11-2024-017-NM1,21,1,B,5,770,1,90,-46,999,0,812,1,3,37.1071357763572,8,9
2400677,11,17,1-11-2024-017-NM1,21,1,C,5,770,1,140,-45,999,0,813,1,3,37.1071357763572,8,9
2400677,11,17,1-11-2024-017-NM1,21,1,D,5,770,1,170,-58,999,0,732,1,3,37.1071357763572,8,9
2400677,11,17,1-11-2024-017-NM1,21,1,J,2,732,1,210,-94,999,0,732,5,3,37.1071357763572,8,9
2400677,11,17,1-11-2024-017-NM1,21,1,E,6,775,1,235,-54,999,0,401,5,3,37.1071357763572,8,9
2400677,11,17,1-11-2024-017-NM1,21,1,F,6,785,1,274,-45,999,0,401,5,3,37.1071357763572,8,9
2400677,11,17,1-11-2024-017-NM1,21,1,G,6,776,1,274,-45,999,0,401,5,3,37.1071357763572,8,9
2400677,11,17,1-11-2024-017-NM1,21,1,H,6,777,1,274,-24,999,0,401,5,3,37.1071357763572,8,9
2400677,11,17,1-11-2024-017-NM1,21,1,I,6,785,1,275,14,999,0,101,2,3,37.1071357763572,8,9
2400618,16,20,1-16-2024-020-NM1,21,2,A,1,703,1,82,-65,999,0,831,1,2,19.3635256654646,5,9
2400618,16,20,1-16-2024-020-NM1,21,2,B,5,770,1,127,-72,999,0,819,1,2,19.3635256654646,5,9
2400618,16,20,1-16-2024-020-NM1,21,2,C,6,775,1,205,-56,999,0,601,12,1,19.3635256654646,5,9
2400112,28,2,1-28-2024-002-NM2,22,1,A,1,703,1,999,999,999,0,401,1,1,55.8454658150129,3,9
2400112,28,2,1-28-2024-002-NM2,22,1,B,1,702,1,999,999,999,0,741,1,2,55.8454658150129,3,9
2400693,77,22,1-77-2024-022-NM2,22,1,A,5,770,1,150,64,0,0,711,3,3,426.24158292944,9,9
2400693,77,22,1-77-2024-022-NM2,22,1,B,1,706,1,100,66,0,0,811,2,2,426.24158292944,9,9
