CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,SPEEDPRE,SPEEDPREACC,VEHHDG,CONTPLANE,SPEEDIMP,SPEEDIMPACC,SPEEDIMPSRC,FRPDISTANCE,DRIFATIGUE,VEHLIGHTS,LIGHTSBEAM,PROPULSION,HOODMAT,HOODOEM,HOODLENGTH,HOODWIDTHFORW,HOODWIDTHMID,HOODWIDTHREAR,HOODDEPAVAIL,HOODDEPACT,HOODBAGAVAIL,HOODBAGDEPLY,FRNTCONTACT,FRNTCRUSH,FRNTWSCONTACT,FRNTBUMPCOVER,FRNTBUMPREINF,FRNTEAD,FRNTBUMPBTMHT,FRNTBUMPTOPHT,FRNTBUMPLEAD,FRNTGRHOODFORW,FRNTGRTRANS,FRNTGRHOODREAR,FRNTGRWSBASE,FRNTGRWSTOP,FRNTGRHEADCONT,FRNTPROFILE,SIDECONTACT,SIDEGRNDCLEAR,SIDEBUMPBTMHT,SIDEBUMPTOPHT,SIDEWHEELCNTR,SIDEWHEELTOP,SIDEWHEELWELL,SIDEAPILLBTM,SIDEAPILLTOP,SIDEMIRRORTOP,SIDEAPILLWSBTM,SIDEAPILLWSTOP,SIDEMIRRORCNTR,SIDEGRTRANS,SIDEGRTOHOOD,SIDEGRTOHOODCNTR,SIDEGRHEADCONT,VISIONOBSCUREDBY,DISTRACTEDBY,DRIRELATEDFACT,ROADWAYRELFACT,WEATHERRELFACT,OTHERENVFACT,TRAFINTERRUPTIONFACT,DRILLNESS,DETECTDIST,DETECTDISTACC,CALCREVEAL,CALCREVEALACC,CASEWGT,PSUSTRAT,VERSION
2400118,69,3,1-69-2024-003-NM1,21,1,72,3,320,1,72,3,1,24,2,3,1,1,3,1,130,162,175,170,0,0,0,0,1,4,2,8,1,2,47,67,7,70,104,224,230,302,253,3,2,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,889,1,0,0,1,1,0,0,0,120,5,1.7,7,7.66811372485411,8,9
2400248,22,4,1-22-2024-004-NM2,22,1,6,3,65,1,6,3,3,0.2,2,3,1,2,3,1,96,129,167,148,0,0,0,0,1,1,0,1,2,1,30,65,3,108,100,210,207,300,889,3,2,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,889,0,0,1,0,0,0,0,0,3,0,0.8,1,105.99041920132,12,9
2400447,67,5,1-67-2024-005-NM2,22,1,4,2,315,1,8,1,3,0.5,2,99,99,1,9,9,999,999,999,999,0,0,0,0,9,9,0,9,9,9,999,999,999,999,999,999,999,999,889,9,2,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,889,1,0,0,0,1,0,0,0,14,4,9.8,9,483.798087598719,7,9
2400470,30,16,1-30-2024-016-NM2,22,1,60,4,10,3,32,4,1,24.2,2,0,0,1,9,9,999,999,999,999,0,0,0,0,9,9,9,9,9,9,999,999,999,999,999,999,999,999,999,9,9,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,1,0,1,0,1,0,0,0,888,8,88,88,614.931666902505,10,9
2400488,57,9,1-57-2024-009-NM1,21,1,28,4,220,1,13,0,0,999.9,2,3,3,1,3,1,101,69,163,139,0,0,0,0,1,0,0,9,9,9,39,50,5,72,65,248,255,342,889,1,2,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,889,0,0,1,0,0,0,0,0,30,5,5.9,10,15.1868109907281,1,9
2400448,82,13,1-82-2024-013-NM2,22,1,5,0,135,1,999,9,0,999.9,2,0,0,1,9,9,999,999,999,999,9,9,9,9,1,9,9,9,9,9,999,999,999,999,999,999,999,999,888,9,2,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,889,1,0,1,1,0,1,1,0,999,9,99,99,387.535062825824,1,9
2404650,82,126,1-82-2024-126-NM2,22,1,24,3,225,1,24,3,1,999.9,2,99,99,1,9,9,999,999,999,999,0,0,0,0,1,9,9,9,9,9,999,999,999,999,999,999,999,999,999,9,2,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,889,1,0,0,0,0,0,0,0,5,1,0.6,0,272.240647923415,1,9
2404658,81,117,1-81-2024-117-NM1,21,2,999,0,15,3,999,0,0,999.9,2,3,1,1,3,1,124,144,149,152,0,0,0,0,2,0,0,0,0,0,888,888,888,888,888,888,888,888,888,8,1,16,45,54,44,71,78,96,999,92,87,64,999,94,100,183,889,0,0,1,0,0,0,0,0,888,8,88,88,26.5893987350207,8,9
2404700,69,110,1-69-2024-110-NM1,21,1,44,4,90,1,44,4,1,999.9,2,99,99,1,3,9,102,150,159,155,0,0,0,0,1,2,2,1,2,1,47,64,9,97,101,199,204,299,237,3,2,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,889,1,9,1,0,0,1,0,0,65,5,6.1,10,7.66811372485411,8,9
2404711,25,125,1-25-2024-125-NM1,21,1,72,1,60,1,72,2,4,999.9,2,3,1,1,3,1,110,162,174,172,0,0,0,0,1,3,0,1,1,9,51,62,6,101,101,219,228,298,999,3,2,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,889,0,0,0,0,0,0,0,0,10,1,0.5,0,55.4169403670828,2,9
