CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,VEHFACTORTYPE,VEHFACTOR,CASEWGT,PSUSTRAT,VERSION
2400831,77,28,1-77-2024-028-NM2,22,1,1,1005,330.223105550016,9,9
2403003,26,86,1-26-2024-086-NM1,21,1,1,1005,25.7030205312635,10,9
2403003,26,86,1-26-2024-086-NM1,21,1,1,1004,25.7030205312635,10,9
2403177,13,71,1-13-2024-071-NM1,21,1,1,1014,64.2373320511644,7,9
2402975,24,81,1-24-2024-081-NM2,22,1,1,1006,262.129476205265,1,9
2402080,11,53,1-11-2024-053-NM1,21,1,1,1002,37.1071357763572,8,9
2402933,77,98,1-77-2024-098-NM1,21,1,1,1004,113.21347390618,9,9
2402888,15,114,1-15-2024-114-NM2,22,1,1,1004,35.5740146987417,1,9
2403715,25,97,1-25-2024-097-NM2,22,1,1,1001,209.921679437629,2,9
2403020,22,90,1-22-2024-090-NM2,22,1,1,1002,24.4305122731702,12,9
2403020,22,90,1-22-2024-090-NM2,22,1,1,1003,24.4305122731702,12,9
2403020,22,90,1-22-2024-090-NM2,22,1,1,1005,24.4305122731702,12,9
2403020,22,90,1-22-2024-090-NM2,22,1,1,1004,24.4305122731702,12,9
2403346,24,92,1-24-2024-092-NM1,21,1,1,1002,23.1726143074507,1,9
2402344,16,69,1-16-2024-069-NM1,21,1,1,1001,26.1808531062603,5,9
2402344,16,69,1-16-2024-069-NM1,21,1,1,1002,26.1808531062603,5,9
2402288,81,46,1-81-2024-046-NM2,22,1,1,1004,2408.08347527868,8,9
2402148,59,67,1-59-2024-067-NM1,21,1,1,1004,62.3822922049643,6,9
2403641,29,39,1-29-2024-039-NM2,22,1,1,1007,381.081668154122,2,9
2404051,59,121,1-59-2024-121-NM2,22,1,1,1014,778.982106600467,6,9
2402106,82,48,1-82-2024-048-NM2,22,1,1,1007,217.855164636431,1,9
2403191,12,53,1-12-2024-053-NM2,22,1,1,1014,279.612696685556,9,9
2402377,15,93,1-15-2024-093-NM2,22,1,1,1005,172.627983004139,1,9
2403403,29,33,1-29-2024-033-NM2,22,1,1,1004,717.115181555973,2,9
2401800,60,18,1-60-2024-018-NM1,21,1,1,1005,135.73456108388,8,9
2401800,60,18,1-60-2024-018-NM1,21,1,1,1004,135.73456108388,8,9
2401800,60,18,1-60-2024-018-NM1,21,1,1,1003,135.73456108388,8,9
2402515,22,71,1-22-2024-071-NM2,22,1,1,1014,85.2845477308788,12,9
2404311,19,58,1-19-2024-058-NM1,21,1,1,1006,58.1964149408969,9,9
2404311,19,58,1-19-2024-058-NM1,21,1,1,1007,58.1964149408969,9,9
2403877,17,122,1-17-2024-122-NM2,22,1,1,1010,97.286021862156,4,9
2404029,82,106,1-82-2024-106-NM2,22,1,1,1007,313.918669121444,1,9
2402620,31,52,1-31-2024-052-NM2,22,1,1,1004,197.377933176122,6,9
2402620,31,52,1-31-2024-052-NM2,22,1,1,1003,197.377933176122,6,9
2402547,59,79,1-59-2024-079-NM1,21,1,1,1002,62.3822922049643,6,9
2403715,25,97,1-25-2024-097-NM2,22,1,1,1004,209.921679437629,2,9
2403715,25,97,1-25-2024-097-NM2,22,1,1,1005,209.921679437629,2,9
2403644,21,77,1-21-2024-077-NM2,22,1,1,1004,1397.14293235216,11,9
2403644,21,77,1-21-2024-077-NM2,22,1,1,1005,1397.14293235216,11,9
2404371,22,130,1-22-2024-130-NM2,22,1,1,1005,24.4305122731702,12,9
2403389,15,132,1-15-2024-132-NM2,22,1,1,1004,43.1774985201338,1,9
2403389,15,132,1-15-2024-132-NM2,22,1,1,1005,43.1774985201338,1,9
2403963,18,109,1-18-2024-109-NM2,22,1,1,1005,178.115957125676,6,9
2402168,48,72,1-48-2024-072-NM2,22,1,1,1004,76.3842355060005,12,9
2404946,60,72,1-60-2024-072-NM1,21,1,1,1006,43.22330010499,8,9
2404946,60,72,1-60-2024-072-NM1,21,1,1,1098,43.22330010499,8,9
2404449,11,136,1-11-2024-136-NM1,21,1,1,1006,37.1071357763572,8,9
2401724,22,52,1-22-2024-052-NM2,22,1,1,1002,30.6635507189318,12,9
2404650,82,126,1-82-2024-126-NM2,22,1,1,1007,272.240647923415,1,9
2405167,57,157,1-57-2024-157-NM1,21,1,1,1006,19.2604769426058,1,9
2403346,24,92,1-24-2024-092-NM1,21,1,1,1006,23.1726143074507,1,9
2404970,20,120,1-20-2024-120-NM1,21,1,1,1098,42.5846152120555,11,9
2404700,69,110,1-69-2024-110-NM1,21,1,1,1002,7.66811372485411,8,9
