CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,OCCNO,AGE,HEIGHT,WEIGHT,SEX,FETALMORT,ROLE,RACE,ETHNICITY,EYEWEAR,PARBELTUSE,PARAIRBAG,PARINJSEV,CASEWGT,PSUSTRAT,VERSION
2401724,22,52,1-22-2024-052-NM2,22,1,1,57,188,104,1,8,1,1,2,1,8,2,0,30.6635507189318,12,9
2401715,26,45,1-26-2024-045-NM2,22,1,1,60,168,109,2,8,1,1,9,9,3,2,0,339.064613159241,10,9
2401752,13,46,1-13-2024-046-NM2,22,1,1,16,170,57,2,8,1,1,2,3,3,2,0,2482.68938093394,7,9
2401773,33,29,1-33-2024-029-NM2,22,1,1,33,178,107,1,8,1,7,1,1,3,2,0,84.6784527844662,12,9
2401793,20,53,1-20-2024-053-NM2,22,1,1,29,168,98,1,8,1,2,9,9,3,2,0,172.732860679058,11,9
2401842,22,56,1-22-2024-056-NM2,22,1,1,28,157,44,2,8,1,1,2,0,8,2,0,24.4305122731702,12,9
2401862,30,62,1-30-2024-062-NM2,22,1,1,36,175,54,2,8,1,1,2,0,3,2,0,511.59271785067,10,9
2401980,26,53,1-26-2024-053-NM2,22,1,1,20,165,61,2,8,1,1,9,9,3,2,0,326.204869245419,10,9
2405745,22,175,1-22-2024-175-NM2,22,1,1,61,155,64,2,8,1,1,2,1,8,2,0,38.9781737548834,12,9
2405729,82,163,1-82-2024-163-NM2,22,1,1,53,999,999,2,8,1,9,9,9,3,2,0,2077.73112331519,1,9
2405770,57,178,1-57-2024-178-NM2,22,1,1,999,999,999,9,8,1,9,9,9,8,3,9,167.365124450856,1,9
2405846,15,225,1-15-2024-225-NM2,22,1,1,28,999,999,2,8,1,9,9,9,3,7,0,31.8783964598429,1,9
2405849,18,144,1-18-2024-144-NM2,22,1,1,70,999,999,2,8,1,1,9,9,8,2,0,131.063519990856,6,9
2405854,29,101,1-29-2024-101-NM2,22,1,1,22,999,999,2,8,1,9,9,9,3,2,0,1234.79079181352,2,9
2405843,11,178,1-11-2024-178-NM2,22,1,1,22,185,86,1,8,1,2,2,0,3,2,0,142.256664296033,8,9
2405886,57,185,1-57-2024-185-NM2,22,1,1,48,999,999,2,8,1,9,9,9,3,2,0,382.264183805407,1,9
2405953,27,183,1-27-2024-183-NM2,22,1,1,17,160,107,2,8,1,1,2,0,3,2,0,130.19869272293,3,9
2405987,15,233,1-15-2024-233-NM2,22,1,1,52,999,999,2,8,1,9,9,9,3,7,0,32.4789185953742,1,9
2405941,11,180,1-11-2024-180-NM2,22,1,1,46,183,82,1,8,1,1,2,0,3,2,0,2346.62012709175,8,9
2406001,81,158,1-81-2024-158-NM2,22,2,1,67,999,999,2,8,1,1,2,1,3,2,0,1666.588526805,8,9
2406110,22,186,1-22-2024-186-NM2,22,1,1,38,999,999,1,8,1,9,9,9,8,2,0,94.6557465142525,12,9
2406207,22,188,1-22-2024-188-NM2,22,1,1,44,999,999,2,8,1,1,9,0,8,2,0,24.4305122731702,12,9
