CASEID,PSU,CASENO,CASENUMBER,CATEGORY,NMNO,PBTYPE,PBAGE,PBSEX,PEDCTYPE,PEDCGP,PEDLOC,PEDPOS,PEDDIR,MOTDIR,MOTMAN,PEDLEG,PEDSNR,BIKECTYPE,BIKECGP,BIKELOC,BIKEPOS,BIKEDIR,CASEWGT,PSUSTRAT,VERSION
2400448,82,13,1-82-2024-013-NM2,22,1,5,17,1,741,740,3,3,8,8,8,8,8,0,0,7,7,7,387.535062825824,1,9
2400825,10,13,1-10-2024-013-NM1,21,1,5,40,1,230,100,3,3,8,8,8,8,8,0,0,7,7,7,60.5767032793963,4,9
2400514,15,18,1-15-2024-018-NM2,22,1,6,13,1,0,0,7,77,7,7,7,7,7,151,150,1,3,1,48.0070740321826,1,9
2400960,57,19,1-57-2024-019-NM1,21,1,5,36,1,690,990,1,9,9,9,9,9,99,0,0,7,7,7,15.0398443849994,1,9
2400518,26,10,1-26-2024-010-NM2,22,1,6,54,1,0,0,7,77,7,7,7,7,7,180,190,1,3,3,585.861766834301,10,9
2401042,52,13,1-52-2024-013-NM1,21,1,5,28,1,680,990,3,3,8,8,8,8,8,0,0,7,7,7,20.9023614233441,12,9
2400470,30,16,1-30-2024-016-NM2,22,1,6,38,1,0,0,7,77,7,7,7,7,7,132,110,3,3,1,614.931666902505,10,9
2400693,77,22,1-77-2024-022-NM2,22,1,6,52,1,0,0,7,77,7,7,7,7,7,212,210,3,1,1,426.24158292944,9,9
2400830,77,27,1-77-2024-027-NM2,22,1,5,19,1,781,790,1,2,2,2,1,2,11a,0,0,7,7,7,330.223105550016,9,9
2400581,30,18,1-30-2024-018-NM1,21,1,5,32,1,760,750,3,3,8,8,8,8,8,0,0,7,7,7,28.3509494483113,10,9
2400684,59,25,1-59-2024-025-NM2,22,1,5,66,1,781,790,2,3,2,4,1,2,12b,0,0,7,7,7,264.2527724963,6,9
2400820,81,20,1-81-2024-020-NM1,21,1,5,69,1,680,990,3,5,8,8,8,8,8,0,0,7,7,7,29.8109810103183,8,9
2400820,81,20,1-81-2024-020-NM1,21,2,5,72,1,680,990,3,5,8,8,8,8,8,0,0,7,7,7,29.8109810103183,8,9
2400447,67,5,1-67-2024-005-NM2,22,1,6,13,2,0,0,7,77,7,7,7,7,7,157,158,1,3,1,483.798087598719,7,9
2400652,22,18,1-22-2024-018-NM2,22,1,5,14,1,741,740,1,1,3,2,3,2,3a,0,0,7,7,7,29.4805146666259,12,9
2400630,69,11,1-69-2024-011-NM1,21,1,5,19,1,741,740,3,3,8,8,8,8,8,0,0,7,7,7,7.66811372485411,8,9
2404084,69,91,1-69-2024-091-NM2,22,1,5,15,1,760,750,2,1,2,3,3,1,2b,0,0,7,7,7,98.6054556454264,8,9
2404711,25,125,1-25-2024-125-NM1,21,1,6,31,1,0,0,7,77,7,7,7,7,7,225,290,3,3,3,55.4169403670828,2,9
2404371,22,130,1-22-2024-130-NM2,22,1,6,17,2,0,0,7,77,7,7,7,7,7,141,140,1,3,2,24.4305122731702,12,9
2404053,10,70,1-10-2024-070-NM1,21,1,5,32,1,910,910,3,3,8,8,8,8,8,0,0,7,7,7,31.3806248143146,4,9
2404755,22,143,1-22-2024-143-NM2,22,1,6,23,1,0,0,7,77,7,7,7,7,7,213,215,3,3,1,85.2845477308788,12,9
2404267,15,171,1-15-2024-171-NM2,22,1,6,25,1,0,0,7,77,7,7,7,7,7,122,110,1,1,1,27.5756522213656,1,9
2404482,82,121,1-82-2024-121-NM2,22,1,5,40,1,781,790,1,2,3,1,1,2,11b,0,0,7,7,7,375.053029592921,1,9
2404218,24,120,1-24-2024-120-NM2,22,1,11,23,2,690,990,1,3,9,2,3,1,2d,0,0,7,7,7,253.744000679976,1,9
2404587,25,122,1-25-2024-122-NM2,22,1,6,21,2,0,0,7,77,7,7,7,7,7,213,215,1,2,1,117.391789482128,2,9
2404169,16,111,1-16-2024-111-NM2,22,1,6,40,1,0,0,7,77,7,7,7,7,7,213,215,1,2,1,253.20495381158,5,9
2404569,18,121,1-18-2024-121-NM2,22,1,6,30,1,0,0,7,77,7,7,7,7,7,143,140,1,3,1,142.413843051628,6,9
2404328,16,114,1-16-2024-114-NM1,21,1,5,15,2,150,100,3,5,8,8,8,8,8,0,0,7,7,7,55.2220906459898,5,9
