CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,TIRELOC,TIREMANUF,TIREMODEL,TIRESIZE,TIRETIN,TIRETREAD,TIRERESTR,TIRESIZETYPE,CASEWGT,PSUSTRAT,VERSION
2400402,31,5,1-31-2024-005-07,7,1,LF,103,Defender LTX,P275/55R20,B39Y 005X2520,4,0,1,230.868935151332,6,9
2400402,31,5,1-31-2024-005-07,7,1,LR,103,Defender LTX,P275/55R20,3R9Y 00DX0121,6,0,1,230.868935151332,6,9
2400402,31,5,1-31-2024-005-07,7,1,RF,103,Defender LTX,P275/55R20,B39Y 005X2520,5,0,1,230.868935151332,6,9
2400402,31,5,1-31-2024-005-07,7,1,RR,103,Defender LTX,P275/55R20,B39Y 005X,4,0,1,230.868935151332,6,9
2401896,48,64,1-48-2024-064-07,7,1,LF,103,x tour a/s,P195/65R15,F1TA 082X1719,4,0,1,1360.45275911138,12,9
2401896,48,64,1-48-2024-064-07,7,1,RF,103,x tour a/s,P195/65R15,F1TA 082X1719,1,0,1,1360.45275911138,12,9
2401896,48,64,1-48-2024-064-07,7,1,RR,103,x tour a/s,P195/65R15,F1TA 082X1119,3,0,1,1360.45275911138,12,9
2401896,48,64,1-48-2024-064-07,7,1,LR,103,x tour a/s,P195/65R15,F1TA 082X1719,3,0,1,1360.45275911138,12,9
2401647,12,30,1-12-2024-030-06,6,1,LF,103,Defender,P225/55R17,B98K 01KX2922,8,0,1,1644.10935042381,9,9
2402809,18,85,1-18-2024-085-06,6,1,LF,103,Latitude tour hp,P235/50R18,B9NP 00XX,5,0,1,458.423668559883,6,9
2402074,66,48,1-66-2024-048-03,3,1,RF,203,ms932 sport,P215/55R17,03XLMRB1A1823,6,0,1,79.4686416678806,6,9
2405726,27,176,1-27-2024-176-07,7,2,LF,83,EDGE A/S,P225/60R17,M641 JARR3918,4,0,1,352.3606808973,3,9
2401292,12,24,1-12-2024-024-04,4,1,LF,57,WildPeak A/T,P275/55R20,1R8KK3PDR2821,5,0,1,1344.85073916677,9,9
2401292,12,24,1-12-2024-024-04,4,1,LR,57,WildPeak A/T,P275/55R20,1R8KK3PDR2821,5,0,1,1344.85073916677,9,9
2401292,12,24,1-12-2024-024-04,4,1,RF,57,WildPeak A/T,P275/55R20,1R8KK3PDR2821,5,0,1,1344.85073916677,9,9
2401292,12,24,1-12-2024-024-04,4,1,RR,57,WildPeak A/T,P275/55R20,1R8KK3PDR2821,5,0,1,1344.85073916677,9,9
2401304,15,49,1-15-2024-049-04,4,1,LF,17,turanza ls1000,P235/40R19,17X18L10A0823,9,1,1,66.8680943932722,1,9
2401304,15,49,1-15-2024-049-04,4,1,LR,17,turanza ls1000,P235/40R19,17X18L10A0823,7,0,1,66.8680943932722,1,9
2401304,15,49,1-15-2024-049-04,4,1,RR,17,turanza ls1000,P235/40R19,17X18L10A0823,9,0,1,66.8680943932722,1,9
2401304,15,49,1-15-2024-049-04,4,1,RF,17,turanza ls1000,P235/40R19,17X18L10A0823,8,0,1,66.8680943932722,1,9
2404942,17,161,1-17-2024-161-06,6,2,LF,17,DUELER H/L,P245/55R19,EJHH CMJ 0719,4,1,1,383.615973992306,4,9
2400614,28,16,1-28-2024-016-03,3,1,RF,17,ECOPIA H/L 422,P235/60R18,7X45 EC2 4423,9,0,1,28.3089754479373,3,9
2401633,62,41,1-62-2024-041-02,2,1,LR,103,Primacy A/S,P225/60R18,1B91401TX1023,7,0,1,40.5230025519482,7,9
2405383,81,136,1-81-2024-136-02,2,1,LF,103,Defender,P235/60R18,1B9XF0A4X0723,6,1,1,21.7339142305401,8,9
2403897,28,118,1-28-2024-118-03,3,1,LR,57,ZIEX S/T Z05,P265/50R20,V47E 3M5R1421,6,0,1,28.3089754479373,3,9
2406061,17,200,1-17-2024-200-07,7,1,RF,203,MS932 Sport,P225/55R17,00BLNRB1A,2,0,1,333.907910781611,4,9
2401982,15,76,1-15-2024-076-04,4,2,LF,17,ecopia hl 422,P255/55R19,H4T4 DNL11417,11,0,1,41.2444654462738,1,9
2401982,15,76,1-15-2024-076-04,4,2,RR,17,ecopia hl 422,P255/55R19,H4T4 DNL11417,7,0,1,41.2444654462738,1,9
2401982,15,76,1-15-2024-076-04,4,2,RF,17,ecopia hl 422,P255/55R19,H4T4 DNL11417,9,0,1,41.2444654462738,1,9
2402974,24,80,1-24-2024-080-05,5,2,LF,40,HP100,P225/65R17,1YCUHDPCR0320,99,0,1,24.2721053029394,1,9
2402974,24,80,1-24-2024-080-05,5,2,RF,40,HP100,P225/65R17,1YCUHDPCR0320,99,0,1,24.2721053029394,1,9
2402974,24,80,1-24-2024-080-05,5,2,RR,40,HP100,P225/65R17,1YCUHDPCR0320,99,0,1,24.2721053029394,1,9
2406057,69,156,1-69-2024-156-04,4,1,LF,57,ZIEX ZE001 A/S,P225/55R18,R800 DA2R3720,6,0,1,119.132990921842,8,9
2402135,30,73,1-30-2024-073-01,1,1,RR,14,Legacy All Season Plus,P235/60R17,1N3DD21662923,13,0,1,78.0176264802272,10,9
2402135,30,73,1-30-2024-073-01,1,1,LR,14,Legacy All Season Plus,P235/60R17,1N3DD21662923,14,0,1,78.0176264802272,10,9
2402184,30,76,1-30-2024-076-05,5,1,RF,17,Dueler H/T,P265/70R17,EL70,7,0,1,41.0620689400047,10,9
2402184,30,76,1-30-2024-076-05,5,1,RR,17,Dueler H/T,P265/70R17,EL70,7,0,1,41.0620689400047,10,9
2402184,30,76,1-30-2024-076-05,5,1,LR,17,Dueler H/T,P265/70R17,EL70,7,0,1,41.0620689400047,10,9
2400020,54,1,1-54-2024-001-08,8,1,RF,17,Potenza RE,P215/60R16,0BX8 pFA 0107,99,0,1,161.994257211147,9,9
2405914,17,193,1-17-2024-193-05,5,1,RF,103,Defender,P265/65R18,1M3KA006X4822,6,0,1,73.9642155230616,4,9
2404050,62,116,1-62-2024-116-01,1,1,RF,203,Patagonia A/T,35X12.50R20LT,00KXW6FCL2423,4,1,4,187.399481537113,7,9
2404050,62,116,1-62-2024-116-01,1,1,RR,203,Patagonia A/T,35X12.50R20LT,00KXW6FCL5023,5,0,4,187.399481537113,7,9
2404050,62,116,1-62-2024-116-01,1,1,LR,203,Patagonia A/T,35X12.50R20LT,00KXW6FCL2723,6,0,4,187.399481537113,7,9
2402476,16,74,1-16-2024-074-03,3,1,RF,83,Edge Touring A/S,P235/50R19,1PL84JBTr,7,0,1,168.955904269261,5,9
2403950,48,127,1-48-2024-127-09,9,2,LR,206,S Fit as,P235/45R18,BCN9 1HL 4520,2,0,1,454.362406013,12,9
2403950,48,127,1-48-2024-127-09,9,2,RR,206,S Fit as,P235/45R18,BCN9 1HL 4620,3,0,1,454.362406013,12,9
2403950,48,127,1-48-2024-127-09,9,2,RF,206,S Fit as,P235/45R18,BCN9 1HL 4620,4,1,1,454.362406013,12,9
2401835,15,69,1-15-2024-069-03,3,1,LR,103,X Tour,P195/65R15,1APTa0N5x4122,99,0,1,17.7674654778176,1,9
2401835,15,69,1-15-2024-069-03,3,1,LF,103,X Tour,P195/65R15,1APTa0N5x4222,99,0,1,17.7674654778176,1,9
2401835,15,69,1-15-2024-069-03,3,1,RF,103,X Tour,P195/65R15,1APTa0N5x4222,99,0,1,17.7674654778176,1,9
2406254,33,110,1-33-2024-110-04,4,2,LF,103,Primacy MXV 4,P215/55R17,B93F 01UX3615,4,0,1,330.088144283669,12,9
2401654,17,54,1-17-2024-054-07,7,1,LF,57,Pro G5,P225/60R17,1DAF58MCR4620,1,0,1,364.699531711488,4,9
2401654,17,54,1-17-2024-054-07,7,1,RF,57,Pro G5,P225/60R17,1DAFC4MCR1019,1,0,1,364.699531711488,4,9
2401654,17,54,1-17-2024-054-07,7,1,RR,57,Pro G5,P225/60R17,1DAFc4MCR1019,2,0,1,364.699531711488,4,9
2401654,17,54,1-17-2024-054-07,7,1,LR,57,Pro G5,P225/60R17,1DAFc4MCR0119,2,0,1,364.699531711488,4,9
2403884,69,85,1-69-2024-085-04,4,3,LF,103,Primacy A/S,P225/65R17,1M33t08Fx0321,6,0,1,89.8384928002341,8,9
2403884,69,85,1-69-2024-085-04,4,3,RF,103,Primacy A/S,P225/65R17,1M33t08Fx0321,6,0,1,89.8384928002341,8,9
2403884,69,85,1-69-2024-085-04,4,3,LR,103,Primacy A/S,P225/65R17,1M33t08Fx0421,6,0,1,89.8384928002341,8,9
2400321,19,8,1-19-2024-008-05,5,1,LR,103,Latitude Tour,P245/60R18,AP4a 02Rx,9,0,1,49.1552833588875,9,9
2400321,19,8,1-19-2024-008-05,5,1,RR,103,Latitude Tour,P245/60R18,AP4a 02Rx,9,0,1,49.1552833588875,9,9
2401037,25,25,1-25-2024-025-09,9,2,RF,206,X Fit HT,P255/65R18,BC68 1KL 3221,4,0,1,483.612196811158,2,9
2403639,22,112,1-22-2024-112-07,7,1,LF,34,EL TIGRE,LT265/70R17,1KADWD0801022,7,0,2,106.715881703067,12,9
2403971,17,125,1-17-2024-125-04,4,2,LF,103,XGREEN,P215/50R17,1B33806KX2222,5,0,1,125.652735779338,4,9
2404718,28,144,1-28-2024-144-06,6,1,LF,203,PATAGONIA H/T,P225/65R17,03XHAPB4A,7,0,1,44.5186799027896,3,9
2404718,28,144,1-28-2024-144-06,6,1,RF,203,PATAGONIA H/T,P225/65R17,03XHAPB4A4523,6,0,1,44.5186799027896,3,9
2404718,28,144,1-28-2024-144-06,6,1,RR,203,PATAGONIA H/T,P225/65R17,03XHAPB4A4523,7,0,1,44.5186799027896,3,9
2404718,28,144,1-28-2024-144-06,6,1,LR,203,PATAGONIA H/T,P225/65R17,03XHAPB4A4523,6,0,1,44.5186799027896,3,9
2404065,73,114,1-73-2024-114-02,2,1,LF,103,PRIMACY A/S,P255/40R19,B9BY 01MX4321,5,0,1,31.8497733664116,3,9
2404065,73,114,1-73-2024-114-02,2,1,LR,103,PRIMACY A/S,P255/40R19,B9BY 01MX4321,5,0,1,31.8497733664116,3,9
2404065,73,114,1-73-2024-114-02,2,1,RR,103,PRIMACY A/S,P255/40R19,B9BY 01MX4321,5,0,1,31.8497733664116,3,9
2404065,73,114,1-73-2024-114-02,2,1,RF,103,PRIMACY A/S,P255/40R19,B9BY 01MX4321,5,0,1,31.8497733664116,3,9
2402442,33,40,1-33-2024-040-03,3,1,LF,103,PRIMACY A/S,P225/60R18,1M314020X1823,7,0,1,51.2513411158493,12,9
2404280,62,122,1-62-2024-122-02,2,5,LF,103,Primacy MXM4,P235/50R19,F3NM 00CX3222,8,0,1,28.5234131836987,7,9
2404280,62,122,1-62-2024-122-02,2,4,LF,103,Defender LTX M/S,P275/60R20,1B38301NX0122,3,0,1,28.5234131836987,7,9
2401469,20,40,1-20-2024-040-04,4,3,LR,206,S FIT AS,P235/55R20,1BC301HL11423,7,0,1,37.925684160105,11,9
2406178,76,186,1-76-2024-186-02,2,1,RF,57,Winterpeak F-Ice,P205/60R16,1R8203MVR2024,10,0,1,69.290638741677,3,9
2403524,21,72,1-21-2024-072-NM1,21,2,LF,83,Edge A/S,P235/55R20,1M78aJH1r3322,6,0,1,9.710167648307,11,9
2402912,13,68,1-13-2024-068-02,2,2,RR,17,Dueller h/l,P245/60R18,7XVd 423 3519,7,0,1,18.738992513569,7,9
2402912,13,68,1-13-2024-068-02,2,2,LR,17,Dueller h/l,P245/60R18,7XVd 423 3519,7,0,1,18.738992513569,7,9
2402912,13,68,1-13-2024-068-02,2,2,RF,17,Dueller h/l,P245/60R18,7XVd 423,7,0,1,18.738992513569,7,9
2402912,13,68,1-13-2024-068-02,2,2,LF,17,Dueller h/l,P245/60R18,7XVd 423 3519,6,0,1,18.738992513569,7,9
2401114,13,29,1-13-2024-029-04,4,2,RF,57,ziex ze 001A a/s,P235/60R18,1R8DcDM2r1121,7,0,1,1687.8283781712,7,9
2401114,13,29,1-13-2024-029-04,4,2,LF,57,ziex ze001a a/s,P235/60R18,1R8DcDM2r1121,7,0,1,1687.8283781712,7,9
2400344,14,4,1-14-2024-004-09,9,1,LR,103,Defender LTX,P275/55R20,B39Y 005X4817,5,0,1,1299.85084492369,8,9
2400344,14,4,1-14-2024-004-09,9,1,RR,103,Defender LTX,P275/55R20,B39Y 005X4817,5,0,1,1299.85084492369,8,9
2400344,14,4,1-14-2024-004-09,9,1,RF,103,Defender LTX,P275/55R20,B39Y 005X,5,0,1,1299.85084492369,8,9
2405013,81,126,1-81-2024-126-02,2,1,LF,17,Turanza Quiettrack,P235/45R18,RBFU TUW 4322,3,1,1,20.6727672091787,8,9
2402415,13,61,1-13-2024-061-02,2,3,LF,57,pro g5 csv,P245/50R20,1DAKH4MCR1622,6,0,1,24.0212654326691,7,9
2404407,48,142,1-48-2024-142-09,9,2,LR,206,X fit ht,P225/65R17,BCH1 1KL,4,0,1,144.242810569893,12,9
2404407,48,142,1-48-2024-142-09,9,2,RR,206,X fit ht,P225/65R17,BCH1 1KL 3222,5,0,1,144.242810569893,12,9
2405587,12,108,1-12-2024-108-04,4,2,LF,17,Alenza A/S 02,P255/65R18,17XAXAA020720,4,0,1,744.518992237318,9,9
2403025,69,58,1-69-2024-058-03,3,2,LF,103,XLT A/S,P285/45R22,1B90L00AX3322,8,0,1,80.4059102739451,8,9
2403689,54,91,1-54-2024-091-10,10,2,RR,103,Latitude Tour,P225/65R17,M33T 006X4312,3,0,1,594.813207503092,9,9
2403689,54,91,1-54-2024-091-10,10,2,LR,103,Latitude Tour,P225/65R17,B53T 031X3815,4,0,1,594.813207503092,9,9
2403720,28,112,1-28-2024-112-10,10,1,LF,57,AKLIMATE,P225/70R16,1R8WA3MAR3123,8,0,1,187.992842110574,3,9
2403720,28,112,1-28-2024-112-10,10,1,RF,57,AKLIMATE,P225/70R16,1R8WA3MAR3123,7,0,1,187.992842110574,3,9
2403720,28,112,1-28-2024-112-10,10,1,RR,57,AKLIMATE,P225/70R16,1R8WA3MAR3123,8,0,1,187.992842110574,3,9
2403720,28,112,1-28-2024-112-10,10,1,LR,57,AKLIMATE,P225/70R16,1R8WA3MAR3123,8,0,1,187.992842110574,3,9
2402392,21,49,1-21-2024-049-03,3,1,LR,77,Raptis,P225/40R18,UAT7 1MFR1819,7,0,1,176.256889010131,11,9
2402392,21,49,1-21-2024-049-03,3,1,RR,103,Pilot sport,P235/40R18,B989 01JX3119,6,0,1,176.256889010131,11,9
2401728,48,58,1-48-2024-058-09,9,1,LF,103,Defender LTX M/S,P285/45R22,B90L 001X3618,4,0,1,244.140868382295,12,9
2401728,48,58,1-48-2024-058-09,9,1,LR,103,Defender LTX M/S,P285/45R22,B90L 001X,3,0,1,244.140868382295,12,9
2401728,48,58,1-48-2024-058-09,9,1,RR,103,Defender LTX M/S,P285/45R22,B90L 001X,3,0,1,244.140868382295,12,9
2401728,48,58,1-48-2024-058-09,9,1,RF,103,Defender LTX M/S,P285/45R22,B90L 001X3618,4,0,1,244.140868382295,12,9
2400394,21,8,1-21-2024-008-06,6,1,LR,17,Potenza,P225/55R17,EJUP,7,0,1,372.971644325078,11,9
2405687,31,120,1-31-2024-120-03,3,1,LF,17,turanza,P215/55R18,1V6E2JB214922,5,0,1,151.964719784207,6,9
2403620,27,115,1-27-2024-115-06,6,2,LF,103,PREMIER A/S,P205/55R16,APWC 0FVX,4,0,1,35.6254961100411,3,9
2401628,30,55,1-30-2024-055-05,5,1,LF,103,Defender LTX,P275/55R20,B39Y 01LX2121,8,0,1,51.5414011291568,10,9
2403102,16,93,1-16-2024-093-NM2,22,1,LF,57,Ziex ZE001 AS,P225/55R18,R800 DM2R1122,5,0,1,346.176563309069,5,9
2403766,33,64,1-33-2024-064-08,8,1,LF,103,DEFENDER T+H,P225/65R17,AP3T 07JX4918,3,0,1,46.8116241353717,12,9
2400225,60,6,1-60-2024-006-03,3,1,RF,103,Primacy MXV4,P215/55R17,B33F 01VX3121,6,0,1,272.233086345417,8,9
2400225,60,6,1-60-2024-006-03,3,1,RR,103,Primacy MXV4,P215/55R17,B33F 01VX2721,6,0,1,272.233086345417,8,9
2405635,23,47,1-23-2024-047-03,3,2,LF,103,LTX M/S2,P245/75R17,1M3CW02AX0222,6,0,1,233.109925396627,5,9
2404430,19,59,1-19-2024-059-02,2,2,LF,17,Turanza,P235/45R18,7XFU JB2 1723,3,0,1,55.4759332833723,9,9
2404430,19,59,1-19-2024-059-02,2,2,RF,17,Turanza,P235/45R18,7XFU JB2 1723,3,0,1,55.4759332833723,9,9
2404430,19,59,1-19-2024-059-02,2,2,LR,17,Turanza,P235/45R18,7XFU JB2 1723,4,1,1,55.4759332833723,9,9
2404430,19,59,1-19-2024-059-02,2,2,RR,17,Turanza,P235/45R18,7XFU JB2 1723,2,0,1,55.4759332833723,9,9
2405288,54,116,1-54-2024-116-01,1,2,RR,103,Defender LTX M/S 2,LT275/70R18,1B715051X2123,6,0,2,135.319434123776,9,9
2405288,54,116,1-54-2024-116-01,1,2,RF,103,Defender LTX M/S 2,LT275/70R18,1B715051X,6,1,2,135.319434123776,9,9
2404790,67,39,1-67-2024-039-06,6,2,LF,103,Defender,P275/60R20,1B38301Nx3022,10,0,1,1404.3802802998,7,9
2404790,67,39,1-67-2024-039-06,6,2,RF,103,Defender,P275/60R20,1B38301Nx3022,7,0,1,1404.3802802998,7,9
2404790,67,39,1-67-2024-039-06,6,2,LR,103,Defender,P275/60R20,1B38301Nx3022,6,0,1,1404.3802802998,7,9
2404790,67,39,1-67-2024-039-06,6,2,RR,103,Defender,P275/60R20,1B38301Nx3022,8,0,1,1404.3802802998,7,9
2403024,81,64,1-81-2024-064-03,3,1,LF,17,S100,P225/45R18,TV64FL11A3322,6,0,1,500.867923811082,8,9
2403024,81,64,1-81-2024-064-03,3,1,LR,17,S100,P225/45R18,TV64FL11A4022,6,0,1,500.867923811082,8,9
2403024,81,64,1-81-2024-064-03,3,1,RR,17,S100,P225/45R18,TV64FL11A4022,6,0,1,500.867923811082,8,9
2403024,81,64,1-81-2024-064-03,3,1,RF,17,S100,P225/45R18,TV64FL11A4022,6,0,1,500.867923811082,8,9
2403614,14,61,1-14-2024-061-07,7,3,LF,103,Defender,P215/55R17,1AP3F0EHX3522,5,0,1,3357.0434635821,8,9
2403614,14,61,1-14-2024-061-07,7,3,LR,103,Defender,P215/55R17,1AP3F0EHX3622,5,0,1,3357.0434635821,8,9
2403614,14,61,1-14-2024-061-07,7,3,RR,103,Defender,P215/55R17,1AP3F0EHX3522,5,0,1,3357.0434635821,8,9
2403614,14,61,1-14-2024-061-07,7,3,RF,103,Defender,P215/55R17,1AP3F0EHX3522,5,0,1,3357.0434635821,8,9
2404447,11,134,1-11-2024-134-02,2,1,LF,57,ztex ze001 a/s,P245/50R20,1V4KH3M2R2923,7,0,1,30.7614595081659,8,9
2402028,10,27,1-10-2024-027-03,3,2,RF,103,PRIMACY A/S,P225/60R17,0CXH 036X,7,0,1,200.267688395763,4,9
2405274,77,167,1-77-2024-167-03,3,1,LF,17,DUELER A/T,P275/60R20,7XW0 RHD 0524,7,0,1,255.781191541611,9,9
2405274,77,167,1-77-2024-167-03,3,1,LR,17,DUELER A/T,P275/60R20,7XW0 RHD 0524,6,0,1,255.781191541611,9,9
2405274,77,167,1-77-2024-167-03,3,1,RR,17,DUELER A/T,P275/60R20,7XW0 RHD 0524,6,0,1,255.781191541611,9,9
2405274,77,167,1-77-2024-167-03,3,1,RF,17,DUELER A/T,P275/60R20,7XW0 RHD 0524,7,0,1,255.781191541611,9,9
2404684,48,151,1-48-2024-151-09,9,1,LF,77,Road tour 455,P225/60R18,U9F4 H9R 3720,5,0,1,1175.94355118661,12,9
2406021,14,122,1-14-2024-122-03,3,1,LF,17,ecopia,P235/55R20,7X8A EC1 5020,6,0,1,136.771072739086,8,9
