CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,GVWR,GAWRFRONT,GAWRREAR,RECFRONT1,RECFRPRESS1,RECREAR1,RECRRPRESS1,RECFRONT2,RECFRPRESS2,RECREAR2,RECRRPRESS2,RECFRONT3,RECFRPRESS3,RECREAR3,RECRRPRESS3,CASEWGT,PSUSTRAT,VERSION
2406011,10,126,1-10-2024-126-05,5,2,2495,1236,1288,P225/60R18,220,P225/60R18,220,,,,,,,,,75.3748060493564,4,9
2404465,14,84,1-14-2024-084-08,8,2,2430,1300,1340,P225/65R17,210,P225/65R17,210,,,,,,,,,95.3393322368294,8,9
2402876,48,94,1-48-2024-094-10,10,2,9999,9999,9999,9999999999,999,9999999999,999,,,,,,,,,187.854526060285,12,9
2405771,57,179,1-57-2024-179-06,6,2,2066,1002,1064,P225/60R16,210,P225/60R16,200,,,,,,,,,210.079816306198,1,9
2405771,57,179,1-57-2024-179-06,6,4,2100,1191,1191,P205/65R16,240,P205/65R16,240,,,,,,,,,210.079816306198,1,9
2402541,16,77,1-16-2024-077-02,2,1,1780,1050,971,P205/55R16,240,P205/55R16,230,,,,,,,,,15.1092509057653,5,9
2401880,54,44,1-54-2024-044-10,10,1,1650,870,850,P185/65R14,220,P185/65R14,220,,,,,,,,,594.813207503092,9,9
2402550,62,66,1-62-2024-066-03,3,1,1963,1097,945,P215/55R17,230,P215/55R17,230,,,,,,,,,324.669436286919,7,9
2400827,59,28,1-59-2024-028-04,4,1,2095,1090,1055,P235/55R19,230,P235/55R19,210,,,,,,,,,210.089582417027,6,9
2406237,73,155,1-73-2024-155-03,3,1,2994,1588,1706,P265/70R16,220,P265/70R16,230,,,,,,,,,27.9333153038062,3,9
2401614,59,50,1-59-2024-050-03,3,1,2090,1075,1125,P225/60R17,240,P225/60R17,240,,,,,,,,,45.7235198932283,6,9
2400764,12,15,1-12-2024-015-05,5,1,1940,1050,900,P215/65R16,240,P215/65R16,240,,,,,,,,,241.497853716308,9,9
2405839,12,113,1-12-2024-113-06,6,2,2025,1175,1200,P225/65R17,240,P225/65R17,240,,,,,,,,,257.996460650317,9,9
2405341,32,147,1-32-2024-147-03,3,1,9999,9999,9999,9999999999,999,9999999999,999,,,,,,,,,534.96996140373,7,9
2401760,17,56,1-17-2024-056-03,3,2,9999,9999,9999,9999999999,999,9999999999,999,,,,,,,,,56.2627107467575,4,9
2401428,32,52,1-32-2024-052-02,2,1,2075,1075,1000,P225/55R19,240,P225/55R19,240,,,,,,,,,5.49389453568411,7,9
2403824,14,68,1-14-2024-068-03,3,2,2540,1335,1490,P245/75R16,220,P245/75R16,220,,,,,,,,,364.189516222934,8,9
2403990,11,119,1-11-2024-119-03,3,2,2100,1260,1200,P235/65R17,241,P235/65R17,241,,,,,,,,,72.7397637397295,8,9
2404488,22,133,1-22-2024-133-07,7,1,1810,972,880,P215/55R16,250,P215/55R16,250,,,,,,,,,67.9415091482,12,9
