CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,LFOH,LFBC,WBLEFT,LRBC,LROH,RFOH,RFBC,WBRIGHT,RRBC,RROH,FRNTBUMP,REARBUMP,FRNTHOOD,FRNTWIND,FRNTPILL,BACKTRUNK,BACKLIGHT,BACKBPILL,SIDEDOOR,SIDEGLAZ,SIDEROOF,VERTROOF,VERTGLAZ,VERTDOOR,BACKPICKUP,PBED,CASEWGT,PSUSTRAT,VERSION
2400021,54,2,1-54-2024-002-09,9,1,887,887,245,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,8,16,106,887,887,887,887,887,339.94783934237,9,9
2400020,54,1,1-54-2024-001-08,8,1,887,887,999,999,999,887,887,887,887,887,887,999,119,887,887,61,999,999,999,999,121,887,887,887,887,887,161.994257211147,9,9
2400039,20,1,1-20-2024-001-03,3,1,887,887,999,887,887,887,887,887,887,887,35,887,99,70,59,887,887,141,14,20,104,887,35,85,887,887,48.9011133058566,11,9
2400039,20,1,1-20-2024-001-03,3,2,887,887,228,887,887,887,887,887,887,887,42,887,97,50,79,122,887,887,10,19,92,7,37,77,887,887,48.9011133058566,11,9
2400040,81,2,1-81-2024-002-03,3,1,887,887,887,887,887,887,887,887,887,887,999,887,102,887,887,887,887,887,887,887,887,887,887,887,887,887,266.037932580766,8,9
2400043,16,1,1-16-2024-001-04,4,1,887,887,887,887,887,887,887,887,887,887,53,887,133,84,60,887,887,887,887,887,887,887,887,887,887,887,1184.77644929998,5,9
2400043,16,1,1-16-2024-001-04,4,2,887,887,887,887,887,887,887,887,887,887,44,887,125,80,63,887,887,887,887,887,887,887,887,887,887,887,1184.77644929998,5,9
2400042,14,1,1-14-2024-001-07,7,1,887,887,887,887,887,887,887,887,887,887,999,887,129,999,999,887,887,887,887,887,887,887,887,887,887,887,1866.51616575165,8,9
2400045,25,1,1-25-2024-001-07,7,1,887,887,887,887,887,887,887,887,887,887,999,887,121,887,887,887,887,160,887,887,115,887,42,86,887,887,4478.5820805509,2,9
2400046,28,1,1-28-2024-001-10,10,1,887,887,275,887,887,887,887,887,887,887,50,887,124,85,79,887,887,887,6,11,119,887,887,887,887,887,80.5683609045318,3,9
2400047,32,1,1-32-2024-001-03,3,2,887,887,290,887,887,887,887,887,887,887,35,45,999,999,999,15,30,12,999,999,999,887,887,887,887,887,320.638176083653,7,9
2400213,14,3,1-14-2024-003-03,3,1,887,887,887,887,887,887,887,887,887,887,42,887,120,999,999,49,887,887,887,887,108,887,887,887,887,887,1131.22927972053,8,9
2400213,14,3,1-14-2024-003-03,3,2,887,887,887,887,887,887,887,887,887,887,40,45,117,999,999,10,999,999,887,887,999,887,999,999,887,887,1131.22927972053,8,9
2400204,54,9,1-54-2024-009-05,5,2,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,887,887,887,999,999,999,887,999,887,999,999,144.976226836895,9,9
2400216,16,6,1-16-2024-006-02,2,1,887,887,310,887,887,887,887,320,887,887,33,887,127,83,73,887,887,887,12,16,156,887,887,887,887,887,15.1092509057653,5,9
2400215,16,5,1-16-2024-005-03,3,1,887,887,887,887,887,887,887,887,887,887,59,887,131,67,67,887,887,887,887,887,887,887,887,887,887,887,644.838532287301,5,9
2400218,76,1,1-76-2024-001-04,4,1,887,887,887,887,887,887,887,887,887,887,27,887,119,999,999,887,887,887,14,17,108,8,35,81,887,887,361.810809583017,3,9
2400221,76,4,1-76-2024-004-03,3,1,887,887,887,887,887,887,887,887,887,887,38,887,120,999,999,887,887,887,887,887,887,887,887,887,887,887,80.9363528734549,3,9
2400223,25,4,1-25-2024-004-06,6,1,887,887,275,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,12,17,111,887,887,887,887,887,1245.50805623473,2,9
2400223,25,4,1-25-2024-004-06,6,2,887,887,887,887,887,887,887,887,887,887,45,887,125,999,999,887,887,887,887,887,887,887,887,887,887,887,1245.50805623473,2,9
2400222,25,3,1-25-2024-003-05,5,1,887,887,887,887,887,887,887,887,887,887,999,887,132,999,999,887,887,887,887,887,887,887,887,887,887,887,47.0105431448925,2,9
2400222,25,3,1-25-2024-003-05,5,2,887,887,281,887,887,887,887,281,887,887,887,887,887,887,887,887,887,887,11,17,109,887,887,887,887,887,47.0105431448925,2,9
2402346,28,67,1-28-2024-067-04,4,1,887,887,887,887,887,887,887,887,887,887,23,887,106,103,94,887,887,887,887,887,887,887,887,887,887,887,47.851485985308,3,9
2402346,28,67,1-28-2024-067-04,4,2,887,887,887,887,887,887,887,295,887,887,887,887,887,887,887,887,887,887,8,7,193,887,887,887,887,887,47.851485985308,3,9
2402343,16,68,1-16-2024-068-04,4,1,887,887,280,887,887,887,887,887,887,887,887,887,136,887,887,887,887,887,12,13,124,887,887,887,887,887,771.44724650232,5,9
2402348,28,69,1-28-2024-069-04,4,1,887,887,887,887,887,887,887,295,887,887,48,887,134,999,999,887,887,887,13,26,112,887,887,887,887,887,47.851485985308,3,9
2402344,16,69,1-16-2024-069-NM1,21,1,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,26.1808531062603,5,9
2402343,16,68,1-16-2024-068-04,4,2,999,999,304,999,999,999,999,999,999,999,62,887,141,88,66,887,887,887,12,10,119,887,887,887,887,887,771.44724650232,5,9
