CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,WHEELBASE,OAL,MAXWIDTH,CURBWT,TRACKWIDTH,OVERHANG_FRT,OVERHANG_REAR,UEW,ENG_CYL,ENG_DISP,TRANSMISSION,DRVWHEELS,ALTVEH,SUSPMODS,WEIGHTDIST,CASEWGT,PSUSTRAT,VERSION
2404012,32,127,1-32-2024-127-NM1,21,1,365,571,202,2262,167,101,105,999,4,2.4,2,2,0,0,60,81.1432128652192,7,9
2404482,82,121,1-82-2024-121-NM2,22,1,266,459,185,1580,161,91,101,999,4,1.5,2,3,9,1,58,375.053029592921,1,9
2400305,73,9,1-73-2024-009-04,4,1,312,526,203,1939,173,96,118,999,6,3.5,2,3,0,0,58,54.3106720874916,3,9
2402377,15,93,1-15-2024-093-NM2,22,1,270,469,189,1610,160,97,102,999,6,2.5,2,4,9,0,57,172.627983004139,1,9
2405595,52,55,1-52-2024-055-NM2,22,1,303,520,200,2222,166,98,119,999,8,5.4,2,3,9,0,99,153.764846051201,12,9
2400079,59,5,1-59-2024-005-NM2,22,1,284,488,186,1775,160,94,110,160,4,2.0,2,4,0,0,59,326.257763636632,6,9
2404019,16,108,1-16-2024-108-02,2,2,299,506,190,2280,163,94,112,163,98,98.0,3,2,0,1,47,24.080851017413,5,9
2401849,29,18,1-29-2024-018-03,3,1,283,488,191,1532,160,94,112,148,4,2.0,2,1,0,0,61,104.719093140208,2,9
2401849,29,18,1-29-2024-018-03,3,2,272,478,188,1701,159,93,113,999,6,3.7,2,2,9,0,53,104.719093140208,2,9
2405015,81,128,1-81-2024-128-07,7,2,300,515,201,1996,173,94,120,180,6,3.4,2,1,0,0,56,11794.2038037789,8,9
2404766,81,118,1-81-2024-118-02,2,1,301,462,188,1903,160,74,87,170,4,2.0,2,3,0,1,52,29.2612564861438,8,9
2400357,25,5,1-25-2024-005-06,6,2,265,438,184,1466,160,93,100,130,4,2.0,2,4,0,0,57,456.185546555652,2,9
2402080,11,53,1-11-2024-053-NM1,21,3,287,516,194,1923,168,103,126,150,6,3.7,2,1,9,0,99,37.1071357763572,8,9
2405732,29,96,1-29-2024-096-NM1,21,1,365,598,203,2371,174,100,108,194,8,6.2,2,3,0,0,58,151.12126186189,2,9
2404235,26,108,1-26-2024-108-NM1,21,1,266,459,185,1580,161,91,101,165,4,2.0,2,4,0,0,58,41.696402482386,10,9
