Event_ID,Event_start,Reaction_start,Impact,Event_end,Event_type,Crash_severity,Incident_type,Conflict_type,Narrative
151864922,0,1300,4200,4700,Near-Crash,Not a Crash,Turn across path,Conflict with vehicle turning across another vehicle path (opposite direction),
147220625,0,600,2300,3000,Near-Crash,Not a Crash,Turn into path (opposite direction),Conflict with vehicle turning into another vehicle path (opposite direction),
144188884,0,1100,2900,4100,Near-Crash,Not a Crash,"Sideswipe, same direction (left or right)",Conflict with vehicle in adjacent lane,
151580962,0,3600,4000,5200,Near-Crash,Not a Crash,"Rear-end, striking",Conflict with vehicle in adjacent lane,
151863131,0,1000,4200,4500,Near-Crash,Not a Crash,Pedestrian-related,Conflict with pedestrian,
151862014,0,200,2500,3200,Near-Crash,Not a Crash,Animal-related,Conflict with animal,
151593374,0,900,1200,3500,Near-Crash,Not a Crash,"Sideswipe, same direction (left or right)",Conflict with vehicle in adjacent lane,
151864865,0,500,1600,2500,Near-Crash,Not a Crash,Turn into path (same direction),Conflict with vehicle turning into another vehicle path (same direction),
151864836,0,1300,2800,3100,Near-Crash,Not a Crash,"Rear-end, striking",Conflict with a lead vehicle,
151864623,0,600,2900,5400,Near-Crash,Not a Crash,"Rear-end, striking",Conflict with a lead vehicle,
151568716,0,,3400,4800,Crash,IV - Low-risk Tire Strike,Road departure (left or right),Single vehicle conflict,
151864866,0,0,2700,3200,Near-Crash,Not a Crash,Turn into path (opposite direction),Conflict with vehicle turning into another vehicle path (opposite direction),
151864874,0,,1600,3300,Crash,IV - Low-risk Tire Strike,Road departure (left or right),Single vehicle conflict,
151856760,0,1600,3700,4400,Near-Crash,Not a Crash,Turn across path,Conflict with vehicle turning across another vehicle path (same direction),
151864832,0,300,900,1200,Near-Crash,Not a Crash,Turn into path (opposite direction),Conflict with vehicle turning into another vehicle path (opposite direction),
151864869,0,400,800,1500,Near-Crash,Not a Crash,"Sideswipe, same direction (left or right)",Conflict with vehicle in adjacent lane,
151569267,0,800,2600,3800,Near-Crash,Not a Crash,"Rear-end, striking",Conflict with a lead vehicle,
151573880,0,800,1200,3100,Near-Crash,Not a Crash,"Sideswipe, same direction (left or right)",Conflict with vehicle in adjacent lane,
151606615,0,,900,2000,Crash,IV - Low-risk Tire Strike,Road departure (left or right),Single vehicle conflict,
29859103,0,,1000,3000,Crash,II - Police-reportable Crash,"Rear-end, struck",Conflict with a following vehicle,
151856665,0,2700,3700,6900,Near-Crash,Not a Crash,Turn into path (opposite direction),Conflict with vehicle turning into another vehicle path (opposite direction),
151581417,0,3300,5700,6300,Near-Crash,Not a Crash,Turn into path (opposite direction),Conflict with vehicle turning into another vehicle path (opposite direction),
151586347,0,2200,4500,5900,Near-Crash,Not a Crash,"Rear-end, striking",Conflict with a lead vehicle,
151570800,0,3100,6400,8200,Near-Crash,Not a Crash,Road departure (left or right),Single vehicle conflict,
151856651,0,,1500,3400,Crash,IV - Low-risk Tire Strike,Road departure (left or right),Single vehicle conflict,
151864826,0,,4200,5400,Crash,III  - Minor Crash,"Backing, fixed object",Single vehicle conflict,
151550440,0,1000,,2100,Near-Crash,Not a Crash,Turn into path (same direction),Conflict with vehicle turning into another vehicle path (same direction),
151568709,0,,2300,6200,Crash,III  - Minor Crash,Other,Conflict with obstacle/object in roadway,
143337346,0,900,3900,6600,Near-Crash,Not a Crash,Other,Conflict with parked vehicle,
2843842,0,,4800,5800,Crash,III  - Minor Crash,"Rear-end, striking",Conflict with a lead vehicle,
29859070,0,1200,2400,3900,Crash,II - Police-reportable Crash,"Rear-end, struck",Conflict with a following vehicle,
10556975,0,500,1200,1400,Near-Crash,Not a Crash,"Rear-end, striking",Conflict with a lead vehicle,
128888406,0,,3500,5300,Crash,IV - Low-risk Tire Strike,Road departure (left or right),Single vehicle conflict,
151550418,0,200,2800,3800,Near-Crash,Not a Crash,"Rear-end, striking",Conflict with a lead vehicle,
151859457,0,700,1000,2000,Near-Crash,Not a Crash,"Sideswipe, same direction (left or right)",Conflict with vehicle in adjacent lane,
151864871,0,2500,3800,4100,Near-Crash,Not a Crash,"Rear-end, striking",Conflict with a lead vehicle,
151864834,0,0,2600,3600,Near-Crash,Not a Crash,Turn into path (same direction),Conflict with vehicle turning into another vehicle path (same direction),
151859419,0,,3100,3400,Near-Crash,Not a Crash,"Rear-end, struck",Conflict with a following vehicle,
151864887,0,1600,2600,2800,Near-Crash,Not a Crash,"Rear-end, striking",Conflict with a lead vehicle,
151864900,0,,2300,3400,Crash,IV - Low-risk Tire Strike,Road departure (left or right),Single vehicle conflict,
151878834,0,700,1400,2000,Near-Crash,Not a Crash,Turn into path (opposite direction),Conflict with vehicle turning into another vehicle path (opposite direction),
142049409,0,3800,6100,7000,Near-Crash,Not a Crash,Turn into path (same direction),Conflict with vehicle turning into another vehicle path (same direction),
142007588,0,0,1300,1600,Near-Crash,Not a Crash,Straight crossing path,Conflict with vehicle moving across another vehicle path (through intersection),
61432360,0,400,1900,3300,Near-Crash,Not a Crash,"Sideswipe, same direction (left or right)",Conflict with vehicle in adjacent lane,
151865144,0,1600,2300,3100,Near-Crash,Not a Crash,Turn across path,Conflict with vehicle turning across another vehicle path (opposite direction),
151568929,0,5900,7400,7600,Near-Crash,Not a Crash,"Sideswipe, same direction (left or right)",Conflict with vehicle in adjacent lane,
151581531,0,3800,5500,6700,Near-Crash,Not a Crash,Turn into path (opposite direction),Conflict with vehicle turning into another vehicle path (opposite direction),
96898051,0,3100,4200,4500,Near-Crash,Not a Crash,Turn across path,Conflict with vehicle turning across another vehicle path (same direction),
151864812,0,900,1700,1900,Near-Crash,Not a Crash,Opposite direction (head-on or sideswipe),Conflict with oncoming traffic,
35257232,0,4300,4600,6000,Crash,II - Police-reportable Crash,Turn into path (opposite direction),Conflict with vehicle turning into another vehicle path (opposite direction),
36842966,0,3400,4600,8000,Near-Crash,Not a Crash,Turn into path (same direction),Conflict with vehicle turning into another vehicle path (same direction),
151582650,0,200,1100,1900,Near-Crash,Not a Crash,"Rear-end, striking",Conflict with vehicle in adjacent lane,
151598431,0,3000,3600,4600,Near-Crash,Not a Crash,Opposite direction (head-on or sideswipe),Conflict with oncoming traffic,
29884179,0,2200,4400,4900,Near-Crash,Not a Crash,"Rear-end, striking",Conflict with a lead vehicle,
151568565,0,900,2000,2500,Near-Crash,Not a Crash,"Sideswipe, same direction (left or right)",Conflict with vehicle in adjacent lane,
151864831,0,400,800,1600,Near-Crash,Not a Crash,Other,Conflict with obstacle/object in roadway,
151864885,0,0,2000,2800,Near-Crash,Not a Crash,Turn into path (opposite direction),Conflict with vehicle turning into another vehicle path (opposite direction),
134933669,0,2500,3600,5300,Near-Crash,Not a Crash,"Sideswipe, same direction (left or right)",Conflict with vehicle in adjacent lane,
151586561,0,1700,3700,3800,Near-Crash,Not a Crash,Turn into path (opposite direction),Conflict with vehicle turning into another vehicle path (opposite direction),
136041498,0,2700,3300,3900,Near-Crash,Not a Crash,"Rear-end, striking",Conflict with a lead vehicle,
151865122,0,,1400,2600,Crash,IV - Low-risk Tire Strike,Road departure (left or right),Single vehicle conflict,
151573032,0,700,2000,4500,Near-Crash,Not a Crash,"Rear-end, striking",Conflict with vehicle in adjacent lane,
138353265,0,1200,1800,2600,Near-Crash,Not a Crash,"Rear-end, striking",Conflict with vehicle in adjacent lane,
61426962,0,2400,5300,5700,Near-Crash,Not a Crash,Straight crossing path,Conflict with vehicle moving across another vehicle path (through intersection),
116168889,0,800,3100,3900,Near-Crash,Not a Crash,Turn across path,Conflict with vehicle turning across another vehicle path (same direction),
